"Period","Banks Business Loans","percent_change","average","three Year Trend","Deviation From 3 Year Trend","Mean of 3 Year Trend","eight Year Trend","Deviation From 8 Year Trend","Mean of 8 Year Trend","GDP","Ratio: Banks Business Loans to GDP","Mean_of_Ratio"
"Q1 1961",4681,NA,6.83265019611559,NA,NA,23728.1217948718,NA,NA,56382.4978966346,40672,NA,0.183723612692649
"Q2 1961",4633,NA,6.83265019611559,NA,NA,23728.1217948718,NA,NA,56382.4978966346,41568,NA,0.183723612692649
"Q3 1961",4685,NA,6.83265019611559,NA,NA,23728.1217948718,NA,NA,56382.4978966346,42680,NA,0.183723612692649
"Q4 1961",4864,NA,6.83265019611559,NA,NA,23728.1217948718,NA,NA,56382.4978966346,43476,NA,0.183723612692649
"Q1 1962",5039,NA,6.83265019611559,NA,NA,23728.1217948718,NA,NA,56382.4978966346,44696,NA,0.183723612692649
"Q2 1962",5357,NA,6.83265019611559,NA,NA,23728.1217948718,NA,NA,56382.4978966346,45200,NA,0.183723612692649
"Q3 1962",5606,NA,6.83265019611559,NA,NA,23728.1217948718,NA,NA,56382.4978966346,46144,NA,0.183723612692649
"Q4 1962",5496,NA,6.83265019611559,NA,NA,23728.1217948718,NA,NA,56382.4978966346,47224,NA,0.183723612692649
"Q1 1963",5472,NA,6.83265019611559,NA,NA,23728.1217948718,NA,NA,56382.4978966346,47668,NA,0.183723612692649
"Q2 1963",5473,NA,6.83265019611559,NA,NA,23728.1217948718,NA,NA,56382.4978966346,48644,NA,0.183723612692649
"Q3 1963",5498,NA,6.83265019611559,NA,NA,23728.1217948718,NA,NA,56382.4978966346,49444,NA,0.183723612692649
"Q4 1963",5684,NA,6.83265019611559,NA,NA,23728.1217948718,NA,NA,56382.4978966346,51452,NA,0.183723612692649
"Q1 1964",5871,NA,6.83265019611559,NA,NA,23728.1217948718,NA,NA,56382.4978966346,52652,NA,0.183723612692649
"Q2 1964",6045,NA,6.83265019611559,NA,NA,23728.1217948718,NA,NA,56382.4978966346,53516,NA,0.183723612692649
"Q3 1964",6162,NA,6.83265019611559,NA,NA,23728.1217948718,NA,NA,56382.4978966346,54676,NA,0.183723612692649
"Q4 1964",6369,NA,6.83265019611559,NA,NA,23728.1217948718,NA,NA,56382.4978966346,55424,NA,0.183723612692649
"Q1 1965",6572,NA,6.83265019611559,NA,NA,23728.1217948718,NA,NA,56382.4978966346,57364,NA,0.183723612692649
"Q2 1965",6946,NA,6.83265019611559,NA,NA,23728.1217948718,NA,NA,56382.4978966346,58764,NA,0.183723612692649
"Q3 1965",7272,NA,6.83265019611559,NA,NA,23728.1217948718,NA,NA,56382.4978966346,60172,NA,0.183723612692649
"Q4 1965",7659,NA,6.83265019611559,NA,NA,23728.1217948718,NA,NA,56382.4978966346,62332,NA,0.183723612692649
"Q1 1966",7643,NA,6.83265019611559,NA,NA,23728.1217948718,NA,NA,56382.4978966346,64428,NA,0.183723612692649
"Q2 1966",7855,NA,6.83265019611559,NA,NA,23728.1217948718,NA,NA,56382.4978966346,66592,NA,0.183723612692649
"Q3 1966",7963,NA,6.83265019611559,NA,NA,23728.1217948718,NA,NA,56382.4978966346,67464,NA,0.183723612692649
"Q4 1966",8124,NA,6.83265019611559,NA,NA,23728.1217948718,NA,NA,56382.4978966346,68756,NA,0.183723612692649
"Q1 1967",8396,NA,6.83265019611559,NA,NA,23728.1217948718,NA,NA,56382.4978966346,69584,NA,0.183723612692649
"Q2 1967",8384,NA,6.83265019611559,NA,NA,23728.1217948718,NA,NA,56382.4978966346,71840,NA,0.183723612692649
"Q3 1967",8829,NA,6.83265019611559,NA,NA,23728.1217948718,NA,NA,56382.4978966346,72484,NA,0.183723612692649
"Q4 1967",9227,NA,6.83265019611559,NA,NA,23728.1217948718,NA,NA,56382.4978966346,73740,NA,0.183723612692649
"Q1 1968",9535,NA,6.83265019611559,NA,NA,23728.1217948718,NA,NA,56382.4978966346,75408,NA,0.183723612692649
"Q2 1968",9740,NA,6.83265019611559,NA,NA,23728.1217948718,NA,NA,56382.4978966346,77760,NA,0.183723612692649
"Q3 1968",9815,NA,6.83265019611559,NA,NA,23728.1217948718,NA,NA,56382.4978966346,79544,NA,0.183723612692649
"Q4 1968",10102,NA,6.83265019611559,NA,NA,23728.1217948718,NA,NA,56382.4978966346,81564,NA,0.183723612692649
"Q1 1969",10536,NA,6.83265019611559,NA,NA,23728.1217948718,NA,NA,56382.4978966346,83876,NA,0.183723612692649
"Q2 1969",11081,NA,6.83265019611559,NA,NA,23728.1217948718,NA,NA,56382.4978966346,85564,NA,0.183723612692649
"Q3 1969",11329,NA,6.83265019611559,NA,NA,23728.1217948718,NA,NA,56382.4978966346,87224,NA,0.183723612692649
"Q4 1969",11779,NA,6.83265019611559,NA,NA,23728.1217948718,NA,NA,56382.4978966346,89408,NA,0.183723612692649
"Q1 1970",11444,NA,6.83265019611559,NA,NA,23728.1217948718,NA,NA,56382.4978966346,91460,NA,0.183723612692649
"Q2 1970",11042,NA,6.83265019611559,NA,NA,23728.1217948718,NA,NA,56382.4978966346,92284,NA,0.183723612692649
"Q3 1970",11495,NA,6.83265019611559,NA,NA,23728.1217948718,NA,NA,56382.4978966346,94196,NA,0.183723612692649
"Q4 1970",11617,NA,6.83265019611559,NA,NA,23728.1217948718,NA,NA,56382.4978966346,95004,NA,0.183723612692649
"Q1 1971",11746,NA,6.83265019611559,NA,NA,23728.1217948718,NA,NA,56382.4978966346,96388,NA,0.183723612692649
"Q2 1971",11931,NA,6.83265019611559,NA,NA,23728.1217948718,NA,NA,56382.4978966346,100420,NA,0.183723612692649
"Q3 1971",12586,NA,6.83265019611559,NA,NA,23728.1217948718,NA,NA,56382.4978966346,103736,NA,0.183723612692649
"Q4 1971",13250,NA,6.83265019611559,NA,NA,23728.1217948718,NA,NA,56382.4978966346,106528,NA,0.183723612692649
"Q1 1972",14242,NA,6.83265019611559,NA,NA,23728.1217948718,NA,NA,56382.4978966346,108256,NA,0.183723612692649
"Q2 1972",15286,NA,6.83265019611559,NA,NA,23728.1217948718,NA,NA,56382.4978966346,112364,NA,0.183723612692649
"Q3 1972",15558,NA,6.83265019611559,NA,NA,23728.1217948718,NA,NA,56382.4978966346,114492,NA,0.183723612692649
"Q4 1972",16208,NA,6.83265019611559,NA,NA,23728.1217948718,NA,NA,56382.4978966346,119384,NA,0.183723612692649
"Q1 1973",17185,NA,6.83265019611559,NA,NA,23728.1217948718,NA,NA,56382.4978966346,124860,NA,0.183723612692649
"Q2 1973",18057,NA,6.83265019611559,NA,NA,23728.1217948718,NA,NA,56382.4978966346,130152,NA,0.183723612692649
"Q3 1973",19058,NA,6.83265019611559,NA,NA,23728.1217948718,NA,NA,56382.4978966346,134652,NA,0.183723612692649
"Q4 1973",20815,NA,6.83265019611559,NA,NA,23728.1217948718,NA,NA,56382.4978966346,142656,NA,0.183723612692649
"Q1 1974",21334,NA,6.83265019611559,NA,NA,23728.1217948718,NA,NA,56382.4978966346,149424,NA,0.183723612692649
"Q2 1974",22688,NA,6.83265019611559,NA,NA,23728.1217948718,NA,NA,56382.4978966346,156088,NA,0.183723612692649
"Q3 1974",23836,NA,6.83265019611559,NA,NA,23728.1217948718,NA,NA,56382.4978966346,162384,NA,0.183723612692649
"Q4 1974",24734,NA,6.83265019611559,NA,NA,23728.1217948718,NA,NA,56382.4978966346,165328,NA,0.183723612692649
"Q1 1975",25368,NA,6.83265019611559,NA,NA,23728.1217948718,NA,NA,56382.4978966346,167572,NA,0.183723612692649
"Q2 1975",25962,NA,6.83265019611559,NA,NA,23728.1217948718,NA,NA,56382.4978966346,173748,NA,0.183723612692649
"Q3 1975",26898,NA,6.83265019611559,NA,NA,23728.1217948718,NA,NA,56382.4978966346,182328,NA,0.183723612692649
