"Period","Banks Consumer Credit","percent_change","average","three Year Trend","Deviation From 3 Year Trend","Mean of 3 Year Trend","eight Year Trend","Deviation From 8 Year Trend","Mean of 8 Year Trend","GDP","Ratio: Banks Consumer Credit to GDP","Mean_of_Ratio"
"Q1 1971",5576,NA,8.32621823793586,NA,NA,24221.9126602564,NA,NA,64433.9957932692,96388,NA,0.166956606549856
"Q2 1971",5940,NA,8.32621823793586,NA,NA,24221.9126602564,NA,NA,64433.9957932692,100420,NA,0.166956606549856
"Q3 1971",6182,NA,8.32621823793586,NA,NA,24221.9126602564,NA,NA,64433.9957932692,103736,NA,0.166956606549856
"Q4 1971",6816,NA,8.32621823793586,NA,NA,24221.9126602564,NA,NA,64433.9957932692,106528,NA,0.166956606549856
"Q1 1972",6813,NA,8.32621823793586,NA,NA,24221.9126602564,NA,NA,64433.9957932692,108256,NA,0.166956606549856
"Q2 1972",7291,NA,8.32621823793586,NA,NA,24221.9126602564,NA,NA,64433.9957932692,112364,NA,0.166956606549856
"Q3 1972",7623,NA,8.32621823793586,NA,NA,24221.9126602564,NA,NA,64433.9957932692,114492,NA,0.166956606549856
"Q4 1972",8311,NA,8.32621823793586,NA,NA,24221.9126602564,NA,NA,64433.9957932692,119384,NA,0.166956606549856
"Q1 1973",8534,NA,8.32621823793586,NA,NA,24221.9126602564,NA,NA,64433.9957932692,124860,NA,0.166956606549856
"Q2 1973",9317,NA,8.32621823793586,NA,NA,24221.9126602564,NA,NA,64433.9957932692,130152,NA,0.166956606549856
"Q3 1973",9566,NA,8.32621823793586,NA,NA,24221.9126602564,NA,NA,64433.9957932692,134652,NA,0.166956606549856
"Q4 1973",10125,NA,8.32621823793586,NA,NA,24221.9126602564,NA,NA,64433.9957932692,142656,NA,0.166956606549856
"Q1 1974",10288,NA,8.32621823793586,NA,NA,24221.9126602564,NA,NA,64433.9957932692,149424,NA,0.166956606549856
"Q2 1974",10955,NA,8.32621823793586,NA,NA,24221.9126602564,NA,NA,64433.9957932692,156088,NA,0.166956606549856
"Q3 1974",11236,NA,8.32621823793586,NA,NA,24221.9126602564,NA,NA,64433.9957932692,162384,NA,0.166956606549856
"Q4 1974",12099,NA,8.32621823793586,NA,NA,24221.9126602564,NA,NA,64433.9957932692,165328,NA,0.166956606549856
"Q1 1975",12276,NA,8.32621823793586,NA,NA,24221.9126602564,NA,NA,64433.9957932692,167572,NA,0.166956606549856
"Q2 1975",12929,NA,8.32621823793586,NA,NA,24221.9126602564,NA,NA,64433.9957932692,173748,NA,0.166956606549856
"Q3 1975",13501,NA,8.32621823793586,NA,NA,24221.9126602564,NA,NA,64433.9957932692,182328,NA,0.166956606549856
"Q4 1975",14548,NA,8.32621823793586,NA,NA,24221.9126602564,NA,NA,64433.9957932692,188532,NA,0.166956606549856
"Q1 1976",14698,NA,8.32621823793586,NA,NA,24221.9126602564,NA,NA,64433.9957932692,196288,NA,0.166956606549856
"Q2 1976",15640,NA,8.32621823793586,NA,NA,24221.9126602564,NA,NA,64433.9957932692,206268,NA,0.166956606549856
"Q3 1976",16397,NA,8.32621823793586,NA,NA,24221.9126602564,NA,NA,64433.9957932692,208464,NA,0.166956606549856
"Q4 1976",17456,NA,8.32621823793586,NA,NA,24221.9126602564,NA,NA,64433.9957932692,213008,NA,0.166956606549856
"Q1 1977",17841,NA,8.32621823793586,NA,NA,24221.9126602564,NA,NA,64433.9957932692,219892,NA,0.166956606549856
"Q2 1977",18566,NA,8.32621823793586,NA,NA,24221.9126602564,NA,NA,64433.9957932692,224772,NA,0.166956606549856
"Q3 1977",19070,NA,8.32621823793586,NA,NA,24221.9126602564,NA,NA,64433.9957932692,229704,NA,0.166956606549856
"Q4 1977",20066,NA,8.32621823793586,NA,NA,24221.9126602564,NA,NA,64433.9957932692,235948,NA,0.166956606549856
"Q1 1978",20380,NA,8.32621823793586,NA,NA,24221.9126602564,NA,NA,64433.9957932692,241296,NA,0.166956606549856
"Q2 1978",21338,NA,8.32621823793586,NA,NA,24221.9126602564,NA,NA,64433.9957932692,248648,NA,0.166956606549856
"Q3 1978",22101,NA,8.32621823793586,NA,NA,24221.9126602564,NA,NA,64433.9957932692,255176,NA,0.166956606549856
"Q4 1978",23201,NA,8.32621823793586,NA,NA,24221.9126602564,NA,NA,64433.9957932692,263056,NA,0.166956606549856
"Q1 1979",23367,NA,8.32621823793586,NA,NA,24221.9126602564,NA,NA,64433.9957932692,271352,NA,0.166956606549856
"Q2 1979",24812,NA,8.32621823793586,NA,NA,24221.9126602564,NA,NA,64433.9957932692,284116,NA,0.166956606549856
"Q3 1979",25888,NA,8.32621823793586,NA,NA,24221.9126602564,NA,NA,64433.9957932692,292900,NA,0.166956606549856
"Q4 1979",26855,NA,8.32621823793586,NA,NA,24221.9126602564,NA,NA,64433.9957932692,301924,NA,0.166956606549856
"Q1 1980",27068,NA,8.32621823793586,NA,NA,24221.9126602564,NA,NA,64433.9957932692,309756,NA,0.166956606549856
"Q2 1980",27709,NA,8.32621823793586,NA,NA,24221.9126602564,NA,NA,64433.9957932692,317208,NA,0.166956606549856
"Q3 1980",28475,NA,8.32621823793586,NA,NA,24221.9126602564,NA,NA,64433.9957932692,324720,NA,0.166956606549856
"Q4 1980",30467,NA,8.32621823793586,NA,NA,24221.9126602564,NA,NA,64433.9957932692,339304,NA,0.166956606549856
"Q1 1981",30929,NA,8.32621823793586,NA,NA,24221.9126602564,NA,NA,64433.9957932692,355992,NA,0.166956606549856
"Q2 1981",32097,NA,8.32621823793586,NA,NA,24221.9126602564,NA,NA,64433.9957932692,367992,NA,0.166956606549856
"Q3 1981",32888,NA,8.32621823793586,NA,NA,24221.9126602564,NA,NA,64433.9957932692,372820,NA,0.166956606549856
"Q4 1981",32564,NA,8.32621823793586,NA,NA,24221.9126602564,NA,NA,64433.9957932692,376628,NA,0.166956606549856
"Q1 1982",31887,NA,8.32621823793586,NA,NA,24221.9126602564,NA,NA,64433.9957932692,383004,NA,0.166956606549856
"Q2 1982",31799,NA,8.32621823793586,NA,NA,24221.9126602564,NA,NA,64433.9957932692,386516,NA,0.166956606549856
"Q3 1982",31290,NA,8.32621823793586,NA,NA,24221.9126602564,NA,NA,64433.9957932692,389560,NA,0.166956606549856
"Q4 1982",31842,NA,8.32621823793586,NA,NA,24221.9126602564,NA,NA,64433.9957932692,393644,NA,0.166956606549856
"Q1 1983",30895,NA,8.32621823793586,NA,NA,24221.9126602564,NA,NA,64433.9957932692,403236,NA,0.166956606549856
"Q2 1983",31271,NA,8.32621823793586,NA,NA,24221.9126602564,NA,NA,64433.9957932692,415804,NA,0.166956606549856
"Q3 1983",31472,NA,8.32621823793586,NA,NA,24221.9126602564,NA,NA,64433.9957932692,428960,NA,0.166956606549856
"Q4 1983",32740,NA,8.32621823793586,NA,NA,24221.9126602564,NA,NA,64433.9957932692,437264,NA,0.166956606549856
"Q1 1984",32698,NA,8.32621823793586,NA,NA,24221.9126602564,NA,NA,64433.9957932692,447840,NA,0.166956606549856
"Q2 1984",33374,NA,8.32621823793586,NA,NA,24221.9126602564,NA,NA,64433.9957932692,459552,NA,0.166956606549856
"Q3 1984",33661,NA,8.32621823793586,NA,NA,24221.9126602564,NA,NA,64433.9957932692,465180,NA,0.166956606549856
"Q4 1984",35749,NA,8.32621823793586,NA,NA,24221.9126602564,NA,NA,64433.9957932692,475372,NA,0.166956606549856
"Q1 1985",35685,NA,8.32621823793586,NA,NA,24221.9126602564,NA,NA,64433.9957932692,486096,NA,0.166956606549856
"Q2 1985",36636,NA,8.32621823793586,NA,NA,24221.9126602564,NA,NA,64433.9957932692,495352,NA,0.166956606549856
"Q3 1985",37484,NA,8.32621823793586,NA,NA,24221.9126602564,NA,NA,64433.9957932692,503872,NA,0.166956606549856
"Q4 1985",40127,NA,8.32621823793586,NA,NA,24221.9126602564,NA,NA,64433.9957932692,514788,NA,0.166956606549856
"Q1 1986",39939,NA,8.32621823793586,NA,NA,24221.9126602564,NA,NA,64433.9957932692,518612,NA,0.166956606549856
"Q2 1986",40404,NA,8.32621823793586,NA,NA,24221.9126602564,NA,NA,64433.9957932692,523844,NA,0.166956606549856
"Q3 1986",41688,NA,8.32621823793586,NA,NA,24221.9126602564,NA,NA,64433.9957932692,530220,NA,0.166956606549856
"Q4 1986",42446,NA,8.32621823793586,NA,NA,24221.9126602564,NA,NA,64433.9957932692,533844,NA,0.166956606549856
"Q1 1987",43237,NA,8.32621823793586,NA,NA,24221.9126602564,NA,NA,64433.9957932692,552484,NA,0.166956606549856
"Q2 1987",45299,NA,8.32621823793586,NA,NA,24221.9126602564,NA,NA,64433.9957932692,567420,NA,0.166956606549856
"Q3 1987",46965,NA,8.32621823793586,NA,NA,24221.9126602564,NA,NA,64433.9957932692,581680,NA,0.166956606549856
"Q4 1987",49134,NA,8.32621823793586,NA,NA,24221.9126602564,NA,NA,64433.9957932692,595760,NA,0.166956606549856
