"Period","Banks External Debt","percent_change","average","three Year Trend","Deviation From 3 Year Trend","Mean of 3 Year Trend","eight Year Trend","Deviation From 8 Year Trend","Mean of 8 Year Trend","GDP","Ratio: Banks External Debt to GDP","Mean_of_Ratio"
"Q1 1990",91508,NA,9.64298099189494,NA,NA,53771.8977272727,NA,NA,129807.54296875,691928,NA,0.234287666650631
"Q2 1990",98724,NA,9.64298099189494,NA,NA,53771.8977272727,NA,NA,129807.54296875,695624,NA,0.234287666650631
"Q3 1990",100913,NA,9.64298099189494,NA,NA,53771.8977272727,NA,NA,129807.54296875,697684,NA,0.234287666650631
"Q4 1990",101235,NA,9.64298099189494,NA,NA,53771.8977272727,NA,NA,129807.54296875,696768,NA,0.234287666650631
"Q1 1991",100717,NA,9.64298099189494,NA,NA,53771.8977272727,NA,NA,129807.54296875,694008,NA,0.234287666650631
"Q2 1991",94666,NA,9.64298099189494,NA,NA,53771.8977272727,NA,NA,129807.54296875,701572,NA,0.234287666650631
"Q3 1991",93906,NA,9.64298099189494,NA,NA,53771.8977272727,NA,NA,129807.54296875,704796,NA,0.234287666650631
"Q4 1991",97697,NA,9.64298099189494,NA,NA,53771.8977272727,NA,NA,129807.54296875,706716,NA,0.234287666650631
"Q1 1992",95729,NA,9.64298099189494,NA,NA,53771.8977272727,NA,NA,129807.54296875,710008,NA,0.234287666650631
"Q2 1992",99198,NA,9.64298099189494,NA,NA,53771.8977272727,NA,NA,129807.54296875,714744,NA,0.234287666650631
"Q3 1992",104447,NA,9.64298099189494,NA,NA,53771.8977272727,NA,NA,129807.54296875,721660,NA,0.234287666650631
"Q4 1992",101154,NA,9.64298099189494,NA,NA,53771.8977272727,NA,NA,129807.54296875,727332,NA,0.234287666650631
"Q1 1993",91177,NA,9.64298099189494,NA,NA,53771.8977272727,NA,NA,129807.54296875,733952,NA,0.234287666650631
"Q2 1993",88207,NA,9.64298099189494,NA,NA,53771.8977272727,NA,NA,129807.54296875,745360,NA,0.234287666650631
"Q3 1993",92253,NA,9.64298099189494,NA,NA,53771.8977272727,NA,NA,129807.54296875,750068,NA,0.234287666650631
"Q4 1993",96582,NA,9.64298099189494,NA,NA,53771.8977272727,NA,NA,129807.54296875,758768,NA,0.234287666650631
"Q1 1994",101470,NA,9.64298099189494,NA,NA,53771.8977272727,NA,NA,129807.54296875,772656,NA,0.234287666650631
"Q2 1994",110804,NA,9.64298099189494,NA,NA,53771.8977272727,NA,NA,129807.54296875,783660,NA,0.234287666650631
"Q3 1994",109353,NA,9.64298099189494,NA,NA,53771.8977272727,NA,NA,129807.54296875,800784,NA,0.234287666650631
"Q4 1994",123832,NA,9.64298099189494,NA,NA,53771.8977272727,NA,NA,129807.54296875,810788,NA,0.234287666650631
"Q1 1995",134347,NA,9.64298099189494,NA,NA,53771.8977272727,NA,NA,129807.54296875,823972,NA,0.234287666650631
"Q2 1995",126168,NA,9.64298099189494,NA,NA,53771.8977272727,NA,NA,129807.54296875,828856,NA,0.234287666650631
"Q3 1995",112735,NA,9.64298099189494,NA,NA,53771.8977272727,NA,NA,129807.54296875,832976,NA,0.234287666650631
"Q4 1995",115466,NA,9.64298099189494,NA,NA,53771.8977272727,NA,NA,129807.54296875,840680,NA,0.234287666650631
"Q1 1996",112047,NA,9.64298099189494,NA,NA,53771.8977272727,NA,NA,129807.54296875,844208,NA,0.234287666650631
"Q2 1996",113894,NA,9.64298099189494,NA,NA,53771.8977272727,NA,NA,129807.54296875,852904,NA,0.234287666650631
"Q3 1996",113183,NA,9.64298099189494,NA,NA,53771.8977272727,NA,NA,129807.54296875,864544,NA,0.234287666650631
"Q4 1996",132176,NA,9.64298099189494,NA,NA,53771.8977272727,NA,NA,129807.54296875,877680,NA,0.234287666650631
"Q1 1997",151680,NA,9.64298099189494,NA,NA,53771.8977272727,NA,NA,129807.54296875,891748,NA,0.234287666650631
"Q2 1997",155792,NA,9.64298099189494,NA,NA,53771.8977272727,NA,NA,129807.54296875,899412,NA,0.234287666650631
"Q3 1997",145902,NA,9.64298099189494,NA,NA,53771.8977272727,NA,NA,129807.54296875,912564,NA,0.234287666650631
"Q4 1997",170983,NA,9.64298099189494,NA,NA,53771.8977272727,NA,NA,129807.54296875,923980,NA,0.234287666650631
"Q1 1998",175223,15.5214926160338,9.64298099189494,135437.416666667,39785.5833333333,53771.8977272727,114426.875,60796.125,129807.54296875,934612,0.187482078124398,0.234287666650631
"Q2 1998",173972,11.6694053609941,9.64298099189494,139421.083333333,34550.9166666667,53771.8977272727,116778.375,57193.625,129807.54296875,935212,0.186024131426885,0.234287666650631
"Q3 1998",179150,22.7878987265425,9.64298099189494,144955.666666667,34194.3333333333,53771.8977272727,119223.28125,59926.71875,129807.54296875,938872,0.190814083282918,0.234287666650631
"Q4 1998",188485,10.2361053438061,9.64298099189494,151040.583333333,37444.4166666667,53771.8977272727,121949.84375,66535.15625,129807.54296875,953496,0.197677808821432,0.234287666650631
"Q1 1999",170239,-2.84437545299418,9.64298099189494,155889.916666667,14349.0833333333,53771.8977272727,124122.40625,46116.59375,129807.54296875,975240,0.174561133669661,0.234287666650631
"Q2 1999",148427,-14.6833973283057,9.64298099189494,158767.666666667,-10340.6666666667,53771.8977272727,125802.4375,22624.5625,129807.54296875,994172,0.149297103519311,0.234287666650631
"Q3 1999",152243,-15.0192576053586,9.64298099189494,162022.666666667,-9779.66666666666,53771.8977272727,127625.46875,24617.53125,129807.54296875,1021308,0.149066687032707,0.234287666650631
"Q4 1999",151571,-19.5845823275062,9.64298099189494,163638.916666667,-12067.9166666667,53771.8977272727,129309.03125,22261.96875,129807.54296875,1040988,0.145603023281728,0.234287666650631
"Q1 2000",149412,-12.2339769383044,9.64298099189494,163449.916666667,-14037.9166666667,53771.8977272727,130986.625,18425.375,129807.54296875,1070188,0.139612853068807,0.234287666650631
"Q2 2000",157130,5.86348844886712,9.64298099189494,163561.416666667,-6431.41666666666,53771.8977272727,132797,24333,129807.54296875,1099448,0.142917172981351,0.234287666650631
"Q3 2000",153522,0.840104306930368,9.64298099189494,164196.416666667,-10674.4166666667,53771.8977272727,134330.59375,19191.40625,129807.54296875,1121768,0.13685717545874,0.234287666650631
"Q4 2000",155322,2.47474780795799,9.64298099189494,162891.333333333,-7569.33333333334,53771.8977272727,136023.34375,19298.65625,129807.54296875,1132880,0.13710366499541,0.234287666650631
"Q1 2001",173395,16.0515888951356,9.64298099189494,162739,10656,53771.8977272727,138592.65625,34802.34375,129807.54296875,1149924,0.150788226004501,0.234287666650631
"Q2 2001",159639,1.59676700820976,9.64298099189494,161544.583333333,-1905.58333333334,53771.8977272727,140824.90625,18814.09375,129807.54296875,1152860,0.138472147528755,0.234287666650631
"Q3 2001",176714,15.106629668712,9.64298099189494,161341.583333333,15372.4166666667,53771.8977272727,143464.3125,33249.6875,129807.54296875,1138804,0.155175078415601,0.234287666650631
"Q4 2001",185004,19.1099779812261,9.64298099189494,161051.5,23952.5,53771.8977272727,146227.5,38776.5,129807.54296875,1136584,0.162771955262436,0.234287666650631
"Q1 2002",191679,10.5447100550766,9.64298099189494,162838.166666667,28840.8333333333,53771.8977272727,149046.53125,42632.46875,129807.54296875,1158640,0.165434474901609,0.234287666650631
"Q2 2002",186470,16.8072964626438,9.64298099189494,166008.416666667,20461.5833333333,53771.8977272727,151411.09375,35058.90625,129807.54296875,1185892,0.157240288323051,0.234287666650631
"Q3 2002",199683,12.9978383150175,9.64298099189494,169961.75,29721.25,53771.8977272727,154233.90625,45449.09375,129807.54296875,1204144,0.165829834305532,0.234287666650631
"Q4 2002",199697,7.94199044344987,9.64298099189494,173972.25,25724.75,53771.8977272727,156604.6875,43092.3125,129807.54296875,1226100,0.162871707038578,0.234287666650631
"Q1 2003",206106,7.52664611146761,9.64298099189494,178696.75,27409.25,53771.8977272727,158847.15625,47258.84375,129807.54296875,1250088,0.164873192927218,0.234287666650631
