"Period","Banks Foreign Currency Assets","percent_change","average","three Year Trend","Deviation From 3 Year Trend","Mean of 3 Year Trend","eight Year Trend","Deviation From 8 Year Trend","Mean of 8 Year Trend","Domestic Assets","Ratio: Banks Foreign Currency Assets to Domestic Assets","Mean_of_Ratio"
"Q1 1994",242611,NA,9.93006382645602,NA,NA,173566.047453704,NA,NA,428400.207899306,527618,NA,0.696442816820392
"Q2 1994",253431,NA,9.93006382645602,NA,NA,173566.047453704,NA,NA,428400.207899306,543835,NA,0.696442816820392
"Q3 1994",252942,NA,9.93006382645602,NA,NA,173566.047453704,NA,NA,428400.207899306,559023,NA,0.696442816820392
"Q4 1994",268371,NA,9.93006382645602,NA,NA,173566.047453704,NA,NA,428400.207899306,578241,NA,0.696442816820392
"Q1 1995",272382,NA,9.93006382645602,NA,NA,173566.047453704,NA,NA,428400.207899306,583942,NA,0.696442816820392
"Q2 1995",272484,NA,9.93006382645602,NA,NA,173566.047453704,NA,NA,428400.207899306,589078,NA,0.696442816820392
"Q3 1995",269555,NA,9.93006382645602,NA,NA,173566.047453704,NA,NA,428400.207899306,602109,NA,0.696442816820392
"Q4 1995",301168,NA,9.93006382645602,NA,NA,173566.047453704,NA,NA,428400.207899306,614815,NA,0.696442816820392
"Q1 1996",310485,NA,9.93006382645602,NA,NA,173566.047453704,NA,NA,428400.207899306,626181,NA,0.696442816820392
"Q2 1996",336175,NA,9.93006382645602,NA,NA,173566.047453704,NA,NA,428400.207899306,640791,NA,0.696442816820392
"Q3 1996",342480,NA,9.93006382645602,NA,NA,173566.047453704,NA,NA,428400.207899306,654893,NA,0.696442816820392
"Q4 1996",421627,NA,9.93006382645602,NA,NA,173566.047453704,NA,NA,428400.207899306,686993,NA,0.696442816820392
"Q1 1997",467363,NA,9.93006382645602,NA,NA,173566.047453704,NA,NA,428400.207899306,708580,NA,0.696442816820392
"Q2 1997",480142,NA,9.93006382645602,NA,NA,173566.047453704,NA,NA,428400.207899306,729644,NA,0.696442816820392
"Q3 1997",463780,NA,9.93006382645602,NA,NA,173566.047453704,NA,NA,428400.207899306,765423,NA,0.696442816820392
"Q4 1997",548638,NA,9.93006382645602,NA,NA,173566.047453704,NA,NA,428400.207899306,784801,NA,0.696442816820392
"Q1 1998",565008,NA,9.93006382645602,NA,NA,173566.047453704,NA,NA,428400.207899306,790173,NA,0.696442816820392
"Q2 1998",589568,NA,9.93006382645602,NA,NA,173566.047453704,NA,NA,428400.207899306,790114,NA,0.696442816820392
"Q3 1998",650906,NA,9.93006382645602,NA,NA,173566.047453704,NA,NA,428400.207899306,810426,NA,0.696442816820392
"Q4 1998",664730,NA,9.93006382645602,NA,NA,173566.047453704,NA,NA,428400.207899306,790673,NA,0.696442816820392
"Q1 1999",598028,NA,9.93006382645602,NA,NA,173566.047453704,NA,NA,428400.207899306,802224,NA,0.696442816820392
"Q2 1999",575766,NA,9.93006382645602,NA,NA,173566.047453704,NA,NA,428400.207899306,823833,NA,0.696442816820392
"Q3 1999",573302,NA,9.93006382645602,NA,NA,173566.047453704,NA,NA,428400.207899306,820710,NA,0.696442816820392
"Q4 1999",562250,NA,9.93006382645602,NA,NA,173566.047453704,NA,NA,428400.207899306,847086,NA,0.696442816820392
"Q1 2000",567005,NA,9.93006382645602,NA,NA,173566.047453704,NA,NA,428400.207899306,910377,NA,0.696442816820392
"Q2 2000",580794,NA,9.93006382645602,NA,NA,173566.047453704,NA,NA,428400.207899306,903093,NA,0.696442816820392
"Q3 2000",602278,NA,9.93006382645602,NA,NA,173566.047453704,NA,NA,428400.207899306,914490,NA,0.696442816820392
"Q4 2000",627922,NA,9.93006382645602,NA,NA,173566.047453704,NA,NA,428400.207899306,926227,NA,0.696442816820392
"Q1 2001",684888,NA,9.93006382645602,NA,NA,173566.047453704,NA,NA,428400.207899306,943733,NA,0.696442816820392
"Q2 2001",623247,NA,9.93006382645602,NA,NA,173566.047453704,NA,NA,428400.207899306,969005,NA,0.696442816820392
"Q3 2001",696652,NA,9.93006382645602,NA,NA,173566.047453704,NA,NA,428400.207899306,977780,NA,0.696442816820392
"Q4 2001",729777,NA,9.93006382645602,NA,NA,173566.047453704,NA,NA,428400.207899306,996485,NA,0.696442816820392
"Q1 2002",697560,1.85022952657953,9.93006382645602,626786.75,70773.25,173566.047453704,495334.5,202225.5,428400.207899306,1008120,0.691941435543388,0.696442816820392
"Q2 2002",667021,7.02353962393722,9.93006382645602,634391.333333333,32629.6666666666,173566.047453704,508259.1875,158761.8125,428400.207899306,1042840,0.639619692378505,0.696442816820392
"Q3 2002",734164,5.38461096788641,9.93006382645602,647796.5,86367.5,173566.047453704,523297.375,210866.625,428400.207899306,1025851,0.715663385813339,0.696442816820392
"Q4 2002",728398,-0.188961833546412,9.93006382645602,661642.166666667,66755.8333333334,173566.047453704,537673.21875,190724.78125,428400.207899306,1041132,0.699621181560071,0.696442816820392
"Q1 2003",687111,-1.49793566144848,9.93006382645602,671651,15460,173566.047453704,550633.5,136477.5,428400.207899306,1081134,0.635546564995643,0.696442816820392
"Q2 2003",645014,-3.29929642395067,9.93006382645602,677002.666666667,-31988.6666666666,173566.047453704,562275.0625,82738.9375,428400.207899306,1117397,0.577246940881352,0.696442816820392
"Q3 2003",643816,-12.3062422020148,9.93006382645602,680464.166666667,-36648.1666666666,173566.047453704,573970.71875,69845.28125,428400.207899306,1114760,0.577537765976533,0.696442816820392
"Q4 2003",639377,-12.2214778184454,9.93006382645602,681418.75,-42041.75,173566.047453704,584539.75,54837.25,428400.207899306,1134055,0.563797170331245,0.696442816820392
"Q1 2004",673262,-2.01554042942116,9.93006382645602,680449.916666667,-7187.91666666663,173566.047453704,595876.53125,77385.46875,428400.207899306,1143534,0.588755559519874,0.696442816820392
"Q2 2004",682493,5.81057155348566,9.93006382645602,685387.083333333,-2894.08333333337,173566.047453704,606698.96875,75794.03125,428400.207899306,1143887,0.596643724423829,0.696442816820392
"Q3 2004",617871,-4.02987810181791,9.93006382645602,678822,-60951,173566.047453704,615304.9375,2566.0625,428400.207899306,1182179,0.522654352682631,0.696442816820392
"Q4 2004",645793,1.00347682196889,9.93006382645602,671823.333333333,-26030.3333333334,173566.047453704,622310.125,23482.875,428400.207899306,1263929,0.510940883546465,0.696442816820392
