"Period","Banks Non-Residential Mortgages","percent_change","average","three Year Trend","Deviation From 3 Year Trend","Mean of 3 Year Trend","eight Year Trend","Deviation From 8 Year Trend","Mean of 8 Year Trend","GDP","Ratio: Banks Non-Residential Mortgages to GDP","Mean_of_Ratio"
"Q1 1973",56,NA,7.14435237256936,NA,NA,3273.64903846154,NA,NA,8363.43930288462,124860,NA,0.0195175107541062
"Q2 1973",58,NA,7.14435237256936,NA,NA,3273.64903846154,NA,NA,8363.43930288462,130152,NA,0.0195175107541062
"Q3 1973",57,NA,7.14435237256936,NA,NA,3273.64903846154,NA,NA,8363.43930288462,134652,NA,0.0195175107541062
"Q4 1973",60,NA,7.14435237256936,NA,NA,3273.64903846154,NA,NA,8363.43930288462,142656,NA,0.0195175107541062
"Q1 1974",46,NA,7.14435237256936,NA,NA,3273.64903846154,NA,NA,8363.43930288462,149424,NA,0.0195175107541062
"Q2 1974",40,NA,7.14435237256936,NA,NA,3273.64903846154,NA,NA,8363.43930288462,156088,NA,0.0195175107541062
"Q3 1974",33,NA,7.14435237256936,NA,NA,3273.64903846154,NA,NA,8363.43930288462,162384,NA,0.0195175107541062
"Q4 1974",31,NA,7.14435237256936,NA,NA,3273.64903846154,NA,NA,8363.43930288462,165328,NA,0.0195175107541062
"Q1 1975",26,NA,7.14435237256936,NA,NA,3273.64903846154,NA,NA,8363.43930288462,167572,NA,0.0195175107541062
"Q2 1975",22,NA,7.14435237256936,NA,NA,3273.64903846154,NA,NA,8363.43930288462,173748,NA,0.0195175107541062
"Q3 1975",23,NA,7.14435237256936,NA,NA,3273.64903846154,NA,NA,8363.43930288462,182328,NA,0.0195175107541062
"Q4 1975",26,NA,7.14435237256936,NA,NA,3273.64903846154,NA,NA,8363.43930288462,188532,NA,0.0195175107541062
"Q1 1976",30,NA,7.14435237256936,NA,NA,3273.64903846154,NA,NA,8363.43930288462,196288,NA,0.0195175107541062
"Q2 1976",34,NA,7.14435237256936,NA,NA,3273.64903846154,NA,NA,8363.43930288462,206268,NA,0.0195175107541062
"Q3 1976",36,NA,7.14435237256936,NA,NA,3273.64903846154,NA,NA,8363.43930288462,208464,NA,0.0195175107541062
"Q4 1976",39,NA,7.14435237256936,NA,NA,3273.64903846154,NA,NA,8363.43930288462,213008,NA,0.0195175107541062
"Q1 1977",73,NA,7.14435237256936,NA,NA,3273.64903846154,NA,NA,8363.43930288462,219892,NA,0.0195175107541062
"Q2 1977",85,NA,7.14435237256936,NA,NA,3273.64903846154,NA,NA,8363.43930288462,224772,NA,0.0195175107541062
"Q3 1977",97,NA,7.14435237256936,NA,NA,3273.64903846154,NA,NA,8363.43930288462,229704,NA,0.0195175107541062
"Q4 1977",111,NA,7.14435237256936,NA,NA,3273.64903846154,NA,NA,8363.43930288462,235948,NA,0.0195175107541062
"Q1 1978",119,NA,7.14435237256936,NA,NA,3273.64903846154,NA,NA,8363.43930288462,241296,NA,0.0195175107541062
"Q2 1978",124,NA,7.14435237256936,NA,NA,3273.64903846154,NA,NA,8363.43930288462,248648,NA,0.0195175107541062
"Q3 1978",133,NA,7.14435237256936,NA,NA,3273.64903846154,NA,NA,8363.43930288462,255176,NA,0.0195175107541062
"Q4 1978",137,NA,7.14435237256936,NA,NA,3273.64903846154,NA,NA,8363.43930288462,263056,NA,0.0195175107541062
"Q1 1979",147,NA,7.14435237256936,NA,NA,3273.64903846154,NA,NA,8363.43930288462,271352,NA,0.0195175107541062
"Q2 1979",166,NA,7.14435237256936,NA,NA,3273.64903846154,NA,NA,8363.43930288462,284116,NA,0.0195175107541062
"Q3 1979",161,NA,7.14435237256936,NA,NA,3273.64903846154,NA,NA,8363.43930288462,292900,NA,0.0195175107541062
