"Period","Banks Res Mortgage Credit","percent_change","average","three Year Trend","Deviation From 3 Year Trend","Mean of 3 Year Trend","eight Year Trend","Deviation From 8 Year Trend","Mean of 8 Year Trend","GDP","Ratio: Banks Res Mortgage Credit to GDP","Mean_of_Ratio"
"Q1 1969",14447,NA,6.58551835669786,NA,NA,66940.1041666667,NA,NA,177043.243088942,83876,NA,0.514001035037831
"Q2 1969",14915,NA,6.58551835669786,NA,NA,66940.1041666667,NA,NA,177043.243088942,85564,NA,0.514001035037831
"Q3 1969",15420,NA,6.58551835669786,NA,NA,66940.1041666667,NA,NA,177043.243088942,87224,NA,0.514001035037831
"Q4 1969",15895,NA,6.58551835669786,NA,NA,66940.1041666667,NA,NA,177043.243088942,89408,NA,0.514001035037831
"Q1 1970",16406,NA,6.58551835669786,NA,NA,66940.1041666667,NA,NA,177043.243088942,91460,NA,0.514001035037831
"Q2 1970",16858,NA,6.58551835669786,NA,NA,66940.1041666667,NA,NA,177043.243088942,92284,NA,0.514001035037831
"Q3 1970",17269,NA,6.58551835669786,NA,NA,66940.1041666667,NA,NA,177043.243088942,94196,NA,0.514001035037831
"Q4 1970",17754,NA,6.58551835669786,NA,NA,66940.1041666667,NA,NA,177043.243088942,95004,NA,0.514001035037831
"Q1 1971",18355,NA,6.58551835669786,NA,NA,66940.1041666667,NA,NA,177043.243088942,96388,NA,0.514001035037831
"Q2 1971",19013,NA,6.58551835669786,NA,NA,66940.1041666667,NA,NA,177043.243088942,100420,NA,0.514001035037831
"Q3 1971",19833,NA,6.58551835669786,NA,NA,66940.1041666667,NA,NA,177043.243088942,103736,NA,0.514001035037831
"Q4 1971",20715,NA,6.58551835669786,NA,NA,66940.1041666667,NA,NA,177043.243088942,106528,NA,0.514001035037831
"Q1 1972",21661,NA,6.58551835669786,NA,NA,66940.1041666667,NA,NA,177043.243088942,108256,NA,0.514001035037831
"Q2 1972",22696,NA,6.58551835669786,NA,NA,66940.1041666667,NA,NA,177043.243088942,112364,NA,0.514001035037831
"Q3 1972",23763,NA,6.58551835669786,NA,NA,66940.1041666667,NA,NA,177043.243088942,114492,NA,0.514001035037831
"Q4 1972",24921,NA,6.58551835669786,NA,NA,66940.1041666667,NA,NA,177043.243088942,119384,NA,0.514001035037831
"Q1 1973",26116,NA,6.58551835669786,NA,NA,66940.1041666667,NA,NA,177043.243088942,124860,NA,0.514001035037831
"Q2 1973",27441,NA,6.58551835669786,NA,NA,66940.1041666667,NA,NA,177043.243088942,130152,NA,0.514001035037831
"Q3 1973",29007,NA,6.58551835669786,NA,NA,66940.1041666667,NA,NA,177043.243088942,134652,NA,0.514001035037831
"Q4 1973",30497,NA,6.58551835669786,NA,NA,66940.1041666667,NA,NA,177043.243088942,142656,NA,0.514001035037831
"Q1 1974",32070,NA,6.58551835669786,NA,NA,66940.1041666667,NA,NA,177043.243088942,149424,NA,0.514001035037831
"Q2 1974",33841,NA,6.58551835669786,NA,NA,66940.1041666667,NA,NA,177043.243088942,156088,NA,0.514001035037831
"Q3 1974",35219,NA,6.58551835669786,NA,NA,66940.1041666667,NA,NA,177043.243088942,162384,NA,0.514001035037831
"Q4 1974",36366,NA,6.58551835669786,NA,NA,66940.1041666667,NA,NA,177043.243088942,165328,NA,0.514001035037831
"Q1 1975",37740,NA,6.58551835669786,NA,NA,66940.1041666667,NA,NA,177043.243088942,167572,NA,0.514001035037831
"Q2 1975",39384,NA,6.58551835669786,NA,NA,66940.1041666667,NA,NA,177043.243088942,173748,NA,0.514001035037831
"Q3 1975",41264,NA,6.58551835669786,NA,NA,66940.1041666667,NA,NA,177043.243088942,182328,NA,0.514001035037831
"Q4 1975",43177,NA,6.58551835669786,NA,NA,66940.1041666667,NA,NA,177043.243088942,188532,NA,0.514001035037831
"Q1 1976",45046,NA,6.58551835669786,NA,NA,66940.1041666667,NA,NA,177043.243088942,196288,NA,0.514001035037831
"Q2 1976",46991,NA,6.58551835669786,NA,NA,66940.1041666667,NA,NA,177043.243088942,206268,NA,0.514001035037831
"Q3 1976",48895,NA,6.58551835669786,NA,NA,66940.1041666667,NA,NA,177043.243088942,208464,NA,0.514001035037831
"Q4 1976",51272,NA,6.58551835669786,NA,NA,66940.1041666667,NA,NA,177043.243088942,213008,NA,0.514001035037831
"Q1 1977",53902,NA,6.58551835669786,NA,NA,66940.1041666667,NA,NA,177043.243088942,219892,NA,0.514001035037831
"Q2 1977",56938,NA,6.58551835669786,NA,NA,66940.1041666667,NA,NA,177043.243088942,224772,NA,0.514001035037831
"Q3 1977",60087,NA,6.58551835669786,NA,NA,66940.1041666667,NA,NA,177043.243088942,229704,NA,0.514001035037831
"Q4 1977",62766,NA,6.58551835669786,NA,NA,66940.1041666667,NA,NA,177043.243088942,235948,NA,0.514001035037831
"Q1 1978",65215,NA,6.58551835669786,NA,NA,66940.1041666667,NA,NA,177043.243088942,241296,NA,0.514001035037831
"Q2 1978",67818,NA,6.58551835669786,NA,NA,66940.1041666667,NA,NA,177043.243088942,248648,NA,0.514001035037831
"Q3 1978",70594,NA,6.58551835669786,NA,NA,66940.1041666667,NA,NA,177043.243088942,255176,NA,0.514001035037831
"Q4 1978",73709,NA,6.58551835669786,NA,NA,66940.1041666667,NA,NA,177043.243088942,263056,NA,0.514001035037831
"Q1 1979",76508,NA,6.58551835669786,NA,NA,66940.1041666667,NA,NA,177043.243088942,271352,NA,0.514001035037831
"Q2 1979",79112,NA,6.58551835669786,NA,NA,66940.1041666667,NA,NA,177043.243088942,284116,NA,0.514001035037831
"Q3 1979",82478,NA,6.58551835669786,NA,NA,66940.1041666667,NA,NA,177043.243088942,292900,NA,0.514001035037831
"Q4 1979",85064,NA,6.58551835669786,NA,NA,66940.1041666667,NA,NA,177043.243088942,301924,NA,0.514001035037831
"Q1 1980",86882,NA,6.58551835669786,NA,NA,66940.1041666667,NA,NA,177043.243088942,309756,NA,0.514001035037831
"Q2 1980",88383,NA,6.58551835669786,NA,NA,66940.1041666667,NA,NA,177043.243088942,317208,NA,0.514001035037831
"Q3 1980",90059,NA,6.58551835669786,NA,NA,66940.1041666667,NA,NA,177043.243088942,324720,NA,0.514001035037831
"Q4 1980",92313,NA,6.58551835669786,NA,NA,66940.1041666667,NA,NA,177043.243088942,339304,NA,0.514001035037831
"Q1 1981",93746,NA,6.58551835669786,NA,NA,66940.1041666667,NA,NA,177043.243088942,355992,NA,0.514001035037831
"Q2 1981",94933,NA,6.58551835669786,NA,NA,66940.1041666667,NA,NA,177043.243088942,367992,NA,0.514001035037831
"Q3 1981",95809,NA,6.58551835669786,NA,NA,66940.1041666667,NA,NA,177043.243088942,372820,NA,0.514001035037831
"Q4 1981",95072,NA,6.58551835669786,NA,NA,66940.1041666667,NA,NA,177043.243088942,376628,NA,0.514001035037831
"Q1 1982",96072,NA,6.58551835669786,NA,NA,66940.1041666667,NA,NA,177043.243088942,383004,NA,0.514001035037831
"Q2 1982",95641,NA,6.58551835669786,NA,NA,66940.1041666667,NA,NA,177043.243088942,386516,NA,0.514001035037831
"Q3 1982",94762,NA,6.58551835669786,NA,NA,66940.1041666667,NA,NA,177043.243088942,389560,NA,0.514001035037831
"Q4 1982",95578,NA,6.58551835669786,NA,NA,66940.1041666667,NA,NA,177043.243088942,393644,NA,0.514001035037831
"Q1 1983",96973,NA,6.58551835669786,NA,NA,66940.1041666667,NA,NA,177043.243088942,403236,NA,0.514001035037831
"Q2 1983",99078,NA,6.58551835669786,NA,NA,66940.1041666667,NA,NA,177043.243088942,415804,NA,0.514001035037831
"Q3 1983",101633,NA,6.58551835669786,NA,NA,66940.1041666667,NA,NA,177043.243088942,428960,NA,0.514001035037831
"Q4 1983",103667,NA,6.58551835669786,NA,NA,66940.1041666667,NA,NA,177043.243088942,437264,NA,0.514001035037831
"Q1 1984",106030,NA,6.58551835669786,NA,NA,66940.1041666667,NA,NA,177043.243088942,447840,NA,0.514001035037831
"Q2 1984",108330,NA,6.58551835669786,NA,NA,66940.1041666667,NA,NA,177043.243088942,459552,NA,0.514001035037831
"Q3 1984",109360,NA,6.58551835669786,NA,NA,66940.1041666667,NA,NA,177043.243088942,465180,NA,0.514001035037831
"Q4 1984",110520,NA,6.58551835669786,NA,NA,66940.1041666667,NA,NA,177043.243088942,475372,NA,0.514001035037831
"Q1 1985",112423,NA,6.58551835669786,NA,NA,66940.1041666667,NA,NA,177043.243088942,486096,NA,0.514001035037831
"Q2 1985",114513,NA,6.58551835669786,NA,NA,66940.1041666667,NA,NA,177043.243088942,495352,NA,0.514001035037831
"Q3 1985",117677,NA,6.58551835669786,NA,NA,66940.1041666667,NA,NA,177043.243088942,503872,NA,0.514001035037831
"Q4 1985",121436,NA,6.58551835669786,NA,NA,66940.1041666667,NA,NA,177043.243088942,514788,NA,0.514001035037831
"Q1 1986",125293,NA,6.58551835669786,NA,NA,66940.1041666667,NA,NA,177043.243088942,518612,NA,0.514001035037831
"Q2 1986",128792,NA,6.58551835669786,NA,NA,66940.1041666667,NA,NA,177043.243088942,523844,NA,0.514001035037831
"Q3 1986",134248,NA,6.58551835669786,NA,NA,66940.1041666667,NA,NA,177043.243088942,530220,NA,0.514001035037831
"Q4 1986",139656,NA,6.58551835669786,NA,NA,66940.1041666667,NA,NA,177043.243088942,533844,NA,0.514001035037831
"Q1 1987",144417,NA,6.58551835669786,NA,NA,66940.1041666667,NA,NA,177043.243088942,552484,NA,0.514001035037831
"Q2 1987",151725,NA,6.58551835669786,NA,NA,66940.1041666667,NA,NA,177043.243088942,567420,NA,0.514001035037831
"Q3 1987",157757,NA,6.58551835669786,NA,NA,66940.1041666667,NA,NA,177043.243088942,581680,NA,0.514001035037831
"Q4 1987",165006,NA,6.58551835669786,NA,NA,66940.1041666667,NA,NA,177043.243088942,595760,NA,0.514001035037831
"Q1 1988",172720,NA,6.58551835669786,NA,NA,66940.1041666667,NA,NA,177043.243088942,610948,NA,0.514001035037831
