"Period","Banks ST Business Loans","percent_change","average","three Year Trend","Deviation From 3 Year Trend","Mean of 3 Year Trend","eight Year Trend","Deviation From 8 Year Trend","Mean of 8 Year Trend","GDP","Ratio: Banks ST Business Loans to GDP","Mean_of_Ratio"
"Q1 1969",11126,NA,5.1887853833418,NA,NA,15981.6137820513,NA,NA,35392.7710336538,83876,NA,0.13891452297148
"Q2 1969",11841,NA,5.1887853833418,NA,NA,15981.6137820513,NA,NA,35392.7710336538,85564,NA,0.13891452297148
"Q3 1969",12047,NA,5.1887853833418,NA,NA,15981.6137820513,NA,NA,35392.7710336538,87224,NA,0.13891452297148
"Q4 1969",12544,NA,5.1887853833418,NA,NA,15981.6137820513,NA,NA,35392.7710336538,89408,NA,0.13891452297148
"Q1 1970",12248,NA,5.1887853833418,NA,NA,15981.6137820513,NA,NA,35392.7710336538,91460,NA,0.13891452297148
"Q2 1970",11948,NA,5.1887853833418,NA,NA,15981.6137820513,NA,NA,35392.7710336538,92284,NA,0.13891452297148
"Q3 1970",12559,NA,5.1887853833418,NA,NA,15981.6137820513,NA,NA,35392.7710336538,94196,NA,0.13891452297148
"Q4 1970",12632,NA,5.1887853833418,NA,NA,15981.6137820513,NA,NA,35392.7710336538,95004,NA,0.13891452297148
"Q1 1971",12641,NA,5.1887853833418,NA,NA,15981.6137820513,NA,NA,35392.7710336538,96388,NA,0.13891452297148
"Q2 1971",12783,NA,5.1887853833418,NA,NA,15981.6137820513,NA,NA,35392.7710336538,100420,NA,0.13891452297148
"Q3 1971",13520,NA,5.1887853833418,NA,NA,15981.6137820513,NA,NA,35392.7710336538,103736,NA,0.13891452297148
"Q4 1971",14112,NA,5.1887853833418,NA,NA,15981.6137820513,NA,NA,35392.7710336538,106528,NA,0.13891452297148
"Q1 1972",15084,NA,5.1887853833418,NA,NA,15981.6137820513,NA,NA,35392.7710336538,108256,NA,0.13891452297148
"Q2 1972",16023,NA,5.1887853833418,NA,NA,15981.6137820513,NA,NA,35392.7710336538,112364,NA,0.13891452297148
"Q3 1972",16319,NA,5.1887853833418,NA,NA,15981.6137820513,NA,NA,35392.7710336538,114492,NA,0.13891452297148
"Q4 1972",17007,NA,5.1887853833418,NA,NA,15981.6137820513,NA,NA,35392.7710336538,119384,NA,0.13891452297148
"Q1 1973",18064,NA,5.1887853833418,NA,NA,15981.6137820513,NA,NA,35392.7710336538,124860,NA,0.13891452297148
"Q2 1973",18982,NA,5.1887853833418,NA,NA,15981.6137820513,NA,NA,35392.7710336538,130152,NA,0.13891452297148
"Q3 1973",19962,NA,5.1887853833418,NA,NA,15981.6137820513,NA,NA,35392.7710336538,134652,NA,0.13891452297148
"Q4 1973",21781,NA,5.1887853833418,NA,NA,15981.6137820513,NA,NA,35392.7710336538,142656,NA,0.13891452297148
"Q1 1974",22261,NA,5.1887853833418,NA,NA,15981.6137820513,NA,NA,35392.7710336538,149424,NA,0.13891452297148
"Q2 1974",23818,NA,5.1887853833418,NA,NA,15981.6137820513,NA,NA,35392.7710336538,156088,NA,0.13891452297148
"Q3 1974",25488,NA,5.1887853833418,NA,NA,15981.6137820513,NA,NA,35392.7710336538,162384,NA,0.13891452297148
"Q4 1974",26554,NA,5.1887853833418,NA,NA,15981.6137820513,NA,NA,35392.7710336538,165328,NA,0.13891452297148
"Q1 1975",27281,NA,5.1887853833418,NA,NA,15981.6137820513,NA,NA,35392.7710336538,167572,NA,0.13891452297148
"Q2 1975",28061,NA,5.1887853833418,NA,NA,15981.6137820513,NA,NA,35392.7710336538,173748,NA,0.13891452297148
