"Period","Banks Total Loans","percent_change","average","three Year Trend","Deviation From 3 Year Trend","Mean of 3 Year Trend","eight Year Trend","Deviation From 8 Year Trend","Mean of 8 Year Trend","GDP","Ratio: Banks Total Loans to GDP","Mean_of_Ratio"
"Q1 1982",168280,NA,6.838958906202,NA,NA,85274.6826923077,NA,NA,221783.49609375,162191,NA,0.930360519381296
"Q2 1982",170958,NA,6.838958906202,NA,NA,85274.6826923077,NA,NA,221783.49609375,161830,NA,0.930360519381296
"Q3 1982",170658,NA,6.838958906202,NA,NA,85274.6826923077,NA,NA,221783.49609375,161026,NA,0.930360519381296
"Q4 1982",174599,NA,6.838958906202,NA,NA,85274.6826923077,NA,NA,221783.49609375,159551,NA,0.930360519381296
"Q1 1983",171464,NA,6.838958906202,NA,NA,85274.6826923077,NA,NA,221783.49609375,157713,NA,0.930360519381296
"Q2 1983",172316,NA,6.838958906202,NA,NA,85274.6826923077,NA,NA,221783.49609375,154783,NA,0.930360519381296
"Q3 1983",169209,NA,6.838958906202,NA,NA,85274.6826923077,NA,NA,221783.49609375,151486,NA,0.930360519381296
"Q4 1983",171538,NA,6.838958906202,NA,NA,85274.6826923077,NA,NA,221783.49609375,152774,NA,0.930360519381296
"Q1 1984",169929,NA,6.838958906202,NA,NA,85274.6826923077,NA,NA,221783.49609375,155758,NA,0.930360519381296
"Q2 1984",172225,NA,6.838958906202,NA,NA,85274.6826923077,NA,NA,221783.49609375,158159,NA,0.930360519381296
"Q3 1984",173671,NA,6.838958906202,NA,NA,85274.6826923077,NA,NA,221783.49609375,160575,NA,0.930360519381296
"Q4 1984",177649,NA,6.838958906202,NA,NA,85274.6826923077,NA,NA,221783.49609375,164357,NA,0.930360519381296
"Q1 1985",177748,NA,6.838958906202,NA,NA,85274.6826923077,NA,NA,221783.49609375,168010,NA,0.930360519381296
"Q2 1985",181164,NA,6.838958906202,NA,NA,85274.6826923077,NA,NA,221783.49609375,170934,NA,0.930360519381296
"Q3 1985",184826,NA,6.838958906202,NA,NA,85274.6826923077,NA,NA,221783.49609375,173338,NA,0.930360519381296
"Q4 1985",187766,NA,6.838958906202,NA,NA,85274.6826923077,NA,NA,221783.49609375,176925,NA,0.930360519381296
"Q1 1986",189742,NA,6.838958906202,NA,NA,85274.6826923077,NA,NA,221783.49609375,188480,NA,0.930360519381296
"Q2 1986",189798,NA,6.838958906202,NA,NA,85274.6826923077,NA,NA,221783.49609375,180359,NA,0.930360519381296
"Q3 1986",191505,NA,6.838958906202,NA,NA,85274.6826923077,NA,NA,221783.49609375,183114,NA,0.930360519381296
"Q4 1986",199632,NA,6.838958906202,NA,NA,85274.6826923077,NA,NA,221783.49609375,184828,NA,0.930360519381296
"Q1 1987",202770,NA,6.838958906202,NA,NA,85274.6826923077,NA,NA,221783.49609375,187905,NA,0.930360519381296
"Q2 1987",208116,NA,6.838958906202,NA,NA,85274.6826923077,NA,NA,221783.49609375,196030,NA,0.930360519381296
"Q3 1987",212686,NA,6.838958906202,NA,NA,85274.6826923077,NA,NA,221783.49609375,203876,NA,0.930360519381296
"Q4 1987",217254,NA,6.838958906202,NA,NA,85274.6826923077,NA,NA,221783.49609375,210225,NA,0.930360519381296
"Q1 1988",219321,NA,6.838958906202,NA,NA,85274.6826923077,NA,NA,221783.49609375,216499,NA,0.930360519381296
"Q2 1988",233079,NA,6.838958906202,NA,NA,85274.6826923077,NA,NA,221783.49609375,227675,NA,0.930360519381296
"Q3 1988",234766,NA,6.838958906202,NA,NA,85274.6826923077,NA,NA,221783.49609375,231592,NA,0.930360519381296
"Q4 1988",241544,NA,6.838958906202,NA,NA,85274.6826923077,NA,NA,221783.49609375,238386,NA,0.930360519381296
"Q1 1989",247834,NA,6.838958906202,NA,NA,85274.6826923077,NA,NA,221783.49609375,245429,NA,0.930360519381296
"Q2 1989",256962,NA,6.838958906202,NA,NA,85274.6826923077,NA,NA,221783.49609375,256632,NA,0.930360519381296
"Q3 1989",262209,NA,6.838958906202,NA,NA,85274.6826923077,NA,NA,221783.49609375,264160,NA,0.930360519381296
"Q4 1989",274630,NA,6.838958906202,NA,NA,85274.6826923077,NA,NA,221783.49609375,270518,NA,0.930360519381296
"Q1 1990",277543,NA,6.838958906202,NA,NA,85274.6826923077,NA,NA,221783.49609375,277186,NA,0.930360519381296
"Q2 1990",282971,NA,6.838958906202,NA,NA,85274.6826923077,NA,NA,221783.49609375,281530,NA,0.930360519381296
"Q3 1990",285641,NA,6.838958906202,NA,NA,85274.6826923077,NA,NA,221783.49609375,286442,NA,0.930360519381296
"Q4 1990",297995,NA,6.838958906202,NA,NA,85274.6826923077,NA,NA,221783.49609375,291865,NA,0.930360519381296
