"Period","Commodities Price Index","percent_change","average","three Year Trend","Deviation From 3 Year Trend","Mean of 3 Year Trend","eight Year Trend","Deviation From 8 Year Trend","Mean of 8 Year Trend","GDP Price Deflator","Ratio: Commodities Price Index to GDP Price Deflator","Mean_of_Ratio"
"Q1 1973",110.33,NA,4.03542916548988,NA,NA,9.50748397435897,NA,NA,26.6977013221154,19,NA,4.71682152606454
"Q2 1973",122.04,NA,4.03542916548988,NA,NA,9.50748397435897,NA,NA,26.6977013221154,19.6,NA,4.71682152606454
"Q3 1973",134.35,NA,4.03542916548988,NA,NA,9.50748397435897,NA,NA,26.6977013221154,20.2,NA,4.71682152606454
"Q4 1973",147.38,NA,4.03542916548988,NA,NA,9.50748397435897,NA,NA,26.6977013221154,21,NA,4.71682152606454
"Q1 1974",153.31,NA,4.03542916548988,NA,NA,9.50748397435897,NA,NA,26.6977013221154,21.8,NA,4.71682152606454
"Q2 1974",170.72,NA,4.03542916548988,NA,NA,9.50748397435897,NA,NA,26.6977013221154,22.5,NA,4.71682152606454
"Q3 1974",170.19,NA,4.03542916548988,NA,NA,9.50748397435897,NA,NA,26.6977013221154,23.5,NA,4.71682152606454
"Q4 1974",177.01,NA,4.03542916548988,NA,NA,9.50748397435897,NA,NA,26.6977013221154,24,NA,4.71682152606454
"Q1 1975",175.87,NA,4.03542916548988,NA,NA,9.50748397435897,NA,NA,26.6977013221154,24.5,NA,4.71682152606454
"Q2 1975",173.55,NA,4.03542916548988,NA,NA,9.50748397435897,NA,NA,26.6977013221154,25,NA,4.71682152606454
"Q3 1975",178.19,NA,4.03542916548988,NA,NA,9.50748397435897,NA,NA,26.6977013221154,25.8,NA,4.71682152606454
"Q4 1975",190.67,NA,4.03542916548988,NA,NA,9.50748397435897,NA,NA,26.6977013221154,26.4,NA,4.71682152606454
"Q1 1976",187.26,NA,4.03542916548988,NA,NA,9.50748397435897,NA,NA,26.6977013221154,27,NA,4.71682152606454
"Q2 1976",184.23,NA,4.03542916548988,NA,NA,9.50748397435897,NA,NA,26.6977013221154,27.8,NA,4.71682152606454
"Q3 1976",187.24,NA,4.03542916548988,NA,NA,9.50748397435897,NA,NA,26.6977013221154,27.9,NA,4.71682152606454
"Q4 1976",184.68,NA,4.03542916548988,NA,NA,9.50748397435897,NA,NA,26.6977013221154,28.5,NA,4.71682152606454
"Q1 1977",181.04,NA,4.03542916548988,NA,NA,9.50748397435897,NA,NA,26.6977013221154,29,NA,4.71682152606454
"Q2 1977",186.27,NA,4.03542916548988,NA,NA,9.50748397435897,NA,NA,26.6977013221154,29.5,NA,4.71682152606454
"Q3 1977",185.8,NA,4.03542916548988,NA,NA,9.50748397435897,NA,NA,26.6977013221154,30,NA,4.71682152606454
"Q4 1977",185.87,NA,4.03542916548988,NA,NA,9.50748397435897,NA,NA,26.6977013221154,30.3,NA,4.71682152606454
"Q1 1978",191.49,NA,4.03542916548988,NA,NA,9.50748397435897,NA,NA,26.6977013221154,30.7,NA,4.71682152606454
"Q2 1978",195.94,NA,4.03542916548988,NA,NA,9.50748397435897,NA,NA,26.6977013221154,31.4,NA,4.71682152606454
"Q3 1978",202.01,NA,4.03542916548988,NA,NA,9.50748397435897,NA,NA,26.6977013221154,32,NA,4.71682152606454
"Q4 1978",204.09,NA,4.03542916548988,NA,NA,9.50748397435897,NA,NA,26.6977013221154,32.7,NA,4.71682152606454
"Q1 1979",208.92,NA,4.03542916548988,NA,NA,9.50748397435897,NA,NA,26.6977013221154,33.4,NA,4.71682152606454
"Q2 1979",224.91,NA,4.03542916548988,NA,NA,9.50748397435897,NA,NA,26.6977013221154,34.5,NA,4.71682152606454
"Q3 1979",237.66,NA,4.03542916548988,NA,NA,9.50748397435897,NA,NA,26.6977013221154,35.4,NA,4.71682152606454
"Q4 1979",257.61,NA,4.03542916548988,NA,NA,9.50748397435897,NA,NA,26.6977013221154,36.2,NA,4.71682152606454
"Q1 1980",268.94,NA,4.03542916548988,NA,NA,9.50748397435897,NA,NA,26.6977013221154,36.9,NA,4.71682152606454
"Q2 1980",279.75,NA,4.03542916548988,NA,NA,9.50748397435897,NA,NA,26.6977013221154,37.8,NA,4.71682152606454
"Q3 1980",285.01,NA,4.03542916548988,NA,NA,9.50748397435897,NA,NA,26.6977013221154,38.7,NA,4.71682152606454
"Q4 1980",296.3,NA,4.03542916548988,NA,NA,9.50748397435897,NA,NA,26.6977013221154,39.9,NA,4.71682152606454
"Q1 1981",297.03,NA,4.03542916548988,NA,NA,9.50748397435897,NA,NA,26.6977013221154,41,NA,4.71682152606454
"Q2 1981",311.69,NA,4.03542916548988,NA,NA,9.50748397435897,NA,NA,26.6977013221154,41.9,NA,4.71682152606454
"Q3 1981",311.88,NA,4.03542916548988,NA,NA,9.50748397435897,NA,NA,26.6977013221154,42.8,NA,4.71682152606454
"Q4 1981",301.86,NA,4.03542916548988,NA,NA,9.50748397435897,NA,NA,26.6977013221154,43.4,NA,4.71682152606454
"Q1 1982",295.84,NA,4.03542916548988,NA,NA,9.50748397435897,NA,NA,26.6977013221154,44.7,NA,4.71682152606454
"Q2 1982",286.81,NA,4.03542916548988,NA,NA,9.50748397435897,NA,NA,26.6977013221154,45.6,NA,4.71682152606454
"Q3 1982",286.26,NA,4.03542916548988,NA,NA,9.50748397435897,NA,NA,26.6977013221154,46.4,NA,4.71682152606454
"Q4 1982",281.45,NA,4.03542916548988,NA,NA,9.50748397435897,NA,NA,26.6977013221154,47.3,NA,4.71682152606454
"Q1 1983",281.42,NA,4.03542916548988,NA,NA,9.50748397435897,NA,NA,26.6977013221154,47.7,NA,4.71682152606454
"Q2 1983",282.15,NA,4.03542916548988,NA,NA,9.50748397435897,NA,NA,26.6977013221154,48.2,NA,4.71682152606454
"Q3 1983",293.51,NA,4.03542916548988,NA,NA,9.50748397435897,NA,NA,26.6977013221154,49.2,NA,4.71682152606454
"Q4 1983",284.01,NA,4.03542916548988,NA,NA,9.50748397435897,NA,NA,26.6977013221154,49.5,NA,4.71682152606454
"Q1 1984",281.38,NA,4.03542916548988,NA,NA,9.50748397435897,NA,NA,26.6977013221154,49.9,NA,4.71682152606454
"Q2 1984",294.02,NA,4.03542916548988,NA,NA,9.50748397435897,NA,NA,26.6977013221154,50.2,NA,4.71682152606454
"Q3 1984",284.07,NA,4.03542916548988,NA,NA,9.50748397435897,NA,NA,26.6977013221154,50.6,NA,4.71682152606454
"Q4 1984",270.78,NA,4.03542916548988,NA,NA,9.50748397435897,NA,NA,26.6977013221154,50.9,NA,4.71682152606454
"Q1 1985",260.19,NA,4.03542916548988,NA,NA,9.50748397435897,NA,NA,26.6977013221154,51.3,NA,4.71682152606454
"Q2 1985",258.55,NA,4.03542916548988,NA,NA,9.50748397435897,NA,NA,26.6977013221154,52.1,NA,4.71682152606454
"Q3 1985",257.33,NA,4.03542916548988,NA,NA,9.50748397435897,NA,NA,26.6977013221154,52.3,NA,4.71682152606454
"Q4 1985",250.32,NA,4.03542916548988,NA,NA,9.50748397435897,NA,NA,26.6977013221154,52.6,NA,4.71682152606454
"Q1 1986",245.53,NA,4.03542916548988,NA,NA,9.50748397435897,NA,NA,26.6977013221154,53,NA,4.71682152606454
"Q2 1986",216.84,NA,4.03542916548988,NA,NA,9.50748397435897,NA,NA,26.6977013221154,53.3,NA,4.71682152606454
"Q3 1986",217.95,NA,4.03542916548988,NA,NA,9.50748397435897,NA,NA,26.6977013221154,53.9,NA,4.71682152606454
"Q4 1986",217.6,NA,4.03542916548988,NA,NA,9.50748397435897,NA,NA,26.6977013221154,54.6,NA,4.71682152606454
"Q1 1987",218.51,NA,4.03542916548988,NA,NA,9.50748397435897,NA,NA,26.6977013221154,55.3,NA,4.71682152606454
"Q2 1987",236.2,NA,4.03542916548988,NA,NA,9.50748397435897,NA,NA,26.6977013221154,56,NA,4.71682152606454
"Q3 1987",251.4,NA,4.03542916548988,NA,NA,9.50748397435897,NA,NA,26.6977013221154,56.6,NA,4.71682152606454
"Q4 1987",247.07,NA,4.03542916548988,NA,NA,9.50748397435897,NA,NA,26.6977013221154,57.2,NA,4.71682152606454
"Q1 1988",248.51,NA,4.03542916548988,NA,NA,9.50748397435897,NA,NA,26.6977013221154,57.8,NA,4.71682152606454
"Q2 1988",261.77,NA,4.03542916548988,NA,NA,9.50748397435897,NA,NA,26.6977013221154,58.3,NA,4.71682152606454
"Q3 1988",282.81,NA,4.03542916548988,NA,NA,9.50748397435897,NA,NA,26.6977013221154,59.2,NA,4.71682152606454
"Q4 1988",260.71,NA,4.03542916548988,NA,NA,9.50748397435897,NA,NA,26.6977013221154,60,NA,4.71682152606454
"Q1 1989",278.72,NA,4.03542916548988,NA,NA,9.50748397435897,NA,NA,26.6977013221154,60.4,NA,4.71682152606454
"Q2 1989",286.24,NA,4.03542916548988,NA,NA,9.50748397435897,NA,NA,26.6977013221154,61.4,NA,4.71682152606454
"Q3 1989",275.22,NA,4.03542916548988,NA,NA,9.50748397435897,NA,NA,26.6977013221154,62.1,NA,4.71682152606454
"Q4 1989",269.12,NA,4.03542916548988,NA,NA,9.50748397435897,NA,NA,26.6977013221154,62.4,NA,4.71682152606454
"Q1 1990",277.84,NA,4.03542916548988,NA,NA,9.50748397435897,NA,NA,26.6977013221154,62.8,NA,4.71682152606454
"Q2 1990",274.1,NA,4.03542916548988,NA,NA,9.50748397435897,NA,NA,26.6977013221154,63.4,NA,4.71682152606454
"Q3 1990",262.68,NA,4.03542916548988,NA,NA,9.50748397435897,NA,NA,26.6977013221154,64,NA,4.71682152606454
"Q4 1990",303.19,NA,4.03542916548988,NA,NA,9.50748397435897,NA,NA,26.6977013221154,64.5,NA,4.71682152606454
"Q1 1991",274.84,NA,4.03542916548988,NA,NA,9.50748397435897,NA,NA,26.6977013221154,65.2,NA,4.71682152606454
"Q2 1991",256.16,NA,4.03542916548988,NA,NA,9.50748397435897,NA,NA,26.6977013221154,65.6,NA,4.71682152606454
"Q3 1991",254.88,NA,4.03542916548988,NA,NA,9.50748397435897,NA,NA,26.6977013221154,65.8,NA,4.71682152606454
"Q4 1991",241.58,NA,4.03542916548988,NA,NA,9.50748397435897,NA,NA,26.6977013221154,65.9,NA,4.71682152606454
"Q1 1992",241.82,NA,4.03542916548988,NA,NA,9.50748397435897,NA,NA,26.6977013221154,66.1,NA,4.71682152606454
"Q2 1992",248.04,NA,4.03542916548988,NA,NA,9.50748397435897,NA,NA,26.6977013221154,66.5,NA,4.71682152606454
"Q3 1992",260.19,NA,4.03542916548988,NA,NA,9.50748397435897,NA,NA,26.6977013221154,66.8,NA,4.71682152606454
"Q4 1992",254.4,NA,4.03542916548988,NA,NA,9.50748397435897,NA,NA,26.6977013221154,66.9,NA,4.71682152606454
"Q1 1993",259.2,NA,4.03542916548988,NA,NA,9.50748397435897,NA,NA,26.6977013221154,67.1,NA,4.71682152606454
"Q2 1993",273.03,NA,4.03542916548988,NA,NA,9.50748397435897,NA,NA,26.6977013221154,67.5,NA,4.71682152606454
"Q3 1993",246.4,NA,4.03542916548988,NA,NA,9.50748397435897,NA,NA,26.6977013221154,67.3,NA,4.71682152606454
"Q4 1993",251.45,NA,4.03542916548988,NA,NA,9.50748397435897,NA,NA,26.6977013221154,67.8,NA,4.71682152606454
"Q1 1994",262.57,1.30015432098766,4.03542916548988,254.143333333333,8.42666666666668,9.50748397435897,256.595,5.97500000000002,26.6977013221154,68,3.86132352941176,4.71682152606454
"Q2 1994",260.59,-4.55627586712083,4.03542916548988,254.5125,6.07749999999999,9.50748397435897,257.9621875,2.6278125,26.6977013221154,68,3.83220588235294,4.71682152606454
"Q3 1994",264.13,7.19561688311688,4.03542916548988,255.283333333333,8.84666666666666,9.50748397435897,259.4053125,4.72468750000002,26.6977013221154,68.6,3.8502915451895,4.71682152606454
"Q4 1994",255.42,1.57884271226884,4.03542916548988,256.436666666667,-1.01666666666668,9.50748397435897,260.5871875,-5.16718749999998,26.6977013221154,69,3.70173913043478,4.71682152606454
