"Period","Cross-Border Financial Assets","percent_change","average","three Year Trend","Deviation From 3 Year Trend","Mean of 3 Year Trend","eight Year Trend","Deviation From 8 Year Trend","Mean of 8 Year Trend","GDP","Ratio: Cross-Border Financial Assets to GDP","Mean_of_Ratio"
"Q1 1990",290964,NA,9.12348993048281,NA,NA,282525.141098485,NA,NA,701306.882102273,691928,NA,1.43629911311935
"Q2 1990",295758,NA,9.12348993048281,NA,NA,282525.141098485,NA,NA,701306.882102273,695624,NA,1.43629911311935
"Q3 1990",291123,NA,9.12348993048281,NA,NA,282525.141098485,NA,NA,701306.882102273,697684,NA,1.43629911311935
"Q4 1990",300669,NA,9.12348993048281,NA,NA,282525.141098485,NA,NA,701306.882102273,696768,NA,1.43629911311935
"Q1 1991",318454,NA,9.12348993048281,NA,NA,282525.141098485,NA,NA,701306.882102273,694008,NA,1.43629911311935
"Q2 1991",316830,NA,9.12348993048281,NA,NA,282525.141098485,NA,NA,701306.882102273,701572,NA,1.43629911311935
"Q3 1991",331139,NA,9.12348993048281,NA,NA,282525.141098485,NA,NA,701306.882102273,704796,NA,1.43629911311935
"Q4 1991",347191,NA,9.12348993048281,NA,NA,282525.141098485,NA,NA,701306.882102273,706716,NA,1.43629911311935
"Q1 1992",340538,NA,9.12348993048281,NA,NA,282525.141098485,NA,NA,701306.882102273,710008,NA,1.43629911311935
"Q2 1992",354787,NA,9.12348993048281,NA,NA,282525.141098485,NA,NA,701306.882102273,714744,NA,1.43629911311935
"Q3 1992",370981,NA,9.12348993048281,NA,NA,282525.141098485,NA,NA,701306.882102273,721660,NA,1.43629911311935
"Q4 1992",375610,NA,9.12348993048281,NA,NA,282525.141098485,NA,NA,701306.882102273,727332,NA,1.43629911311935
"Q1 1993",383392,NA,9.12348993048281,NA,NA,282525.141098485,NA,NA,701306.882102273,733952,NA,1.43629911311935
"Q2 1993",391046,NA,9.12348993048281,NA,NA,282525.141098485,NA,NA,701306.882102273,745360,NA,1.43629911311935
"Q3 1993",425560,NA,9.12348993048281,NA,NA,282525.141098485,NA,NA,701306.882102273,750068,NA,1.43629911311935
"Q4 1993",441768,NA,9.12348993048281,NA,NA,282525.141098485,NA,NA,701306.882102273,758768,NA,1.43629911311935
"Q1 1994",463900,NA,9.12348993048281,NA,NA,282525.141098485,NA,NA,701306.882102273,772656,NA,1.43629911311935
"Q2 1994",470774,NA,9.12348993048281,NA,NA,282525.141098485,NA,NA,701306.882102273,783660,NA,1.43629911311935
"Q3 1994",488403,NA,9.12348993048281,NA,NA,282525.141098485,NA,NA,701306.882102273,800784,NA,1.43629911311935
"Q4 1994",506577,NA,9.12348993048281,NA,NA,282525.141098485,NA,NA,701306.882102273,810788,NA,1.43629911311935
"Q1 1995",537585,NA,9.12348993048281,NA,NA,282525.141098485,NA,NA,701306.882102273,823972,NA,1.43629911311935
"Q2 1995",557941,NA,9.12348993048281,NA,NA,282525.141098485,NA,NA,701306.882102273,828856,NA,1.43629911311935
"Q3 1995",566216,NA,9.12348993048281,NA,NA,282525.141098485,NA,NA,701306.882102273,832976,NA,1.43629911311935
"Q4 1995",608177,NA,9.12348993048281,NA,NA,282525.141098485,NA,NA,701306.882102273,840680,NA,1.43629911311935
"Q1 1996",635972,NA,9.12348993048281,NA,NA,282525.141098485,NA,NA,701306.882102273,844208,NA,1.43629911311935
"Q2 1996",669311,NA,9.12348993048281,NA,NA,282525.141098485,NA,NA,701306.882102273,852904,NA,1.43629911311935
"Q3 1996",681777,NA,9.12348993048281,NA,NA,282525.141098485,NA,NA,701306.882102273,864544,NA,1.43629911311935
"Q4 1996",750184,NA,9.12348993048281,NA,NA,282525.141098485,NA,NA,701306.882102273,877680,NA,1.43629911311935
"Q1 1997",782010,NA,9.12348993048281,NA,NA,282525.141098485,NA,NA,701306.882102273,891748,NA,1.43629911311935
"Q2 1997",863586,NA,9.12348993048281,NA,NA,282525.141098485,NA,NA,701306.882102273,899412,NA,1.43629911311935
"Q3 1997",895172,NA,9.12348993048281,NA,NA,282525.141098485,NA,NA,701306.882102273,912564,NA,1.43629911311935
"Q4 1997",914823,NA,9.12348993048281,NA,NA,282525.141098485,NA,NA,701306.882102273,923980,NA,1.43629911311935
"Q1 1998",968251,23.8156801063925,9.12348993048281,741118.333333333,227132.666666667,282525.141098485,520172.03125,448078.96875,701306.882102273,934612,1.03599247602214,1.43629911311935
"Q2 1998",1038713,20.2790457464572,9.12348993048281,781182.666666667,257530.333333333,282525.141098485,543389.375,495323.625,701306.882102273,935212,1.11067116332981,1.43629911311935
"Q3 1998",954918,6.67424807746444,9.12348993048281,813574.5,141343.5,282525.141098485,564132.96875,390785.03125,701306.882102273,938872,1.01709072163192,1.43629911311935
"Q4 1998",1096507,19.8600166370981,9.12348993048281,854268.666666667,242238.333333333,282525.141098485,589002.90625,507504.09375,701306.882102273,953496,1.14998594645389,1.43629911311935
"Q1 1999",1106706,14.2994946558279,9.12348993048281,893496.5,213209.5,282525.141098485,613635.78125,493070.21875,701306.882102273,975240,1.13480374061769,1.43629911311935
"Q2 1999",1148582,10.5774164759659,9.12348993048281,933435.75,215146.25,282525.141098485,639628.03125,508953.96875,701306.882102273,994172,1.15531517685069,1.43629911311935
"Q3 1999",1201708,25.8441038916431,9.12348993048281,976763.333333333,224944.666666667,282525.141098485,666833.3125,534874.6875,701306.882102273,1021308,1.17663623510244,1.43629911311935
"Q4 1999",1214222,10.7354535812357,9.12348993048281,1015433.16666667,198788.833333333,282525.141098485,693928.03125,520293.96875,701306.882102273,1040988,1.16641306143779,1.43629911311935
"Q1 2000",1263646,14.1808212840628,9.12348993048281,1055569.5,208076.5,282525.141098485,722775.15625,540870.84375,701306.882102273,1070188,1.18077010768201,1.43629911311935
"Q2 2000",1357321,18.1736262626439,9.12348993048281,1096714.08333333,260606.916666667,282525.141098485,754104.34375,603216.65625,701306.882102273,1099448,1.23454770030051,1.43629911311935
"Q3 2000",1349488,12.297496563225,9.12348993048281,1134573.75,214914.25,282525.141098485,784682.6875,564805.3125,701306.882102273,1121768,1.20300097702912,1.43629911311935
"Q4 2000",1336508,10.0711402033566,9.12348993048281,1169714.16666667,166793.833333333,282525.141098485,814710.75,521797.25,701306.882102273,1132880,1.17974366217075,1.43629911311935
"Q1 2001",1288929,2.00079769175861,9.12348993048281,1196437.33333333,92491.6666666667,282525.141098485,843008.78125,445920.21875,701306.882102273,1149924,1.12088190176046,1.43629911311935
"Q2 2001",1269595,-6.46317267617609,9.12348993048281,1215677.5,53917.5,282525.141098485,870463.4375,399131.5625,701306.882102273,1152860,1.10125687420849,1.43629911311935
"Q3 2001",1225764,-9.1682178722597,9.12348993048281,1238248,-12484,282525.141098485,895469.8125,330294.1875,701306.882102273,1138804,1.07636081362552,1.43629911311935
"Q4 2001",1351299,1.10668997117862,9.12348993048281,1259480.66666667,91818.3333333333,282525.141098485,923892.65625,427406.34375,701306.882102273,1136584,1.18891256607519,1.43629911311935
"Q1 2002",1374998,6.6775594311246,9.12348993048281,1281838.33333333,93159.6666666667,282525.141098485,952364.46875,422633.53125,701306.882102273,1158640,1.18673444728302,1.43629911311935
"Q2 2002",1264471,-0.403593271870163,9.12348993048281,1291495.75,-27024.75,282525.141098485,977167.5,287303.5,701306.882102273,1185892,1.06626151453927,1.43629911311935
"Q3 2002",1223367,-0.195551509099631,9.12348993048281,1293300.66666667,-69933.6666666667,282525.141098485,1000135.125,223231.875,701306.882102273,1204144,1.01596403752375,1.43629911311935
