"Period","Cross-Border Financial Liabilities","percent_change","average","three Year Trend","Deviation From 3 Year Trend","Mean of 3 Year Trend","eight Year Trend","Deviation From 8 Year Trend","Mean of 8 Year Trend","GDP","Ratio: Cross-Border Financial Liabilities to GDP","Mean_of_Ratio"
"Q1 1990",560744,NA,6.62727369160135,NA,NA,209795.921401515,NA,NA,545651.97265625,691928,NA,1.47446275287296
"Q2 1990",570757,NA,6.62727369160135,NA,NA,209795.921401515,NA,NA,545651.97265625,695624,NA,1.47446275287296
"Q3 1990",571488,NA,6.62727369160135,NA,NA,209795.921401515,NA,NA,545651.97265625,697684,NA,1.47446275287296
"Q4 1990",577843,NA,6.62727369160135,NA,NA,209795.921401515,NA,NA,545651.97265625,696768,NA,1.47446275287296
"Q1 1991",620344,NA,6.62727369160135,NA,NA,209795.921401515,NA,NA,545651.97265625,694008,NA,1.47446275287296
"Q2 1991",613400,NA,6.62727369160135,NA,NA,209795.921401515,NA,NA,545651.97265625,701572,NA,1.47446275287296
"Q3 1991",630074,NA,6.62727369160135,NA,NA,209795.921401515,NA,NA,545651.97265625,704796,NA,1.47446275287296
"Q4 1991",647866,NA,6.62727369160135,NA,NA,209795.921401515,NA,NA,545651.97265625,706716,NA,1.47446275287296
"Q1 1992",651935,NA,6.62727369160135,NA,NA,209795.921401515,NA,NA,545651.97265625,710008,NA,1.47446275287296
"Q2 1992",669812,NA,6.62727369160135,NA,NA,209795.921401515,NA,NA,545651.97265625,714744,NA,1.47446275287296
"Q3 1992",684790,NA,6.62727369160135,NA,NA,209795.921401515,NA,NA,545651.97265625,721660,NA,1.47446275287296
"Q4 1992",697578,NA,6.62727369160135,NA,NA,209795.921401515,NA,NA,545651.97265625,727332,NA,1.47446275287296
"Q1 1993",738308,NA,6.62727369160135,NA,NA,209795.921401515,NA,NA,545651.97265625,733952,NA,1.47446275287296
"Q2 1993",756874,NA,6.62727369160135,NA,NA,209795.921401515,NA,NA,545651.97265625,745360,NA,1.47446275287296
"Q3 1993",788821,NA,6.62727369160135,NA,NA,209795.921401515,NA,NA,545651.97265625,750068,NA,1.47446275287296
"Q4 1993",815141,NA,6.62727369160135,NA,NA,209795.921401515,NA,NA,545651.97265625,758768,NA,1.47446275287296
"Q1 1994",817258,NA,6.62727369160135,NA,NA,209795.921401515,NA,NA,545651.97265625,772656,NA,1.47446275287296
"Q2 1994",823728,NA,6.62727369160135,NA,NA,209795.921401515,NA,NA,545651.97265625,783660,NA,1.47446275287296
"Q3 1994",840770,NA,6.62727369160135,NA,NA,209795.921401515,NA,NA,545651.97265625,800784,NA,1.47446275287296
"Q4 1994",861650,NA,6.62727369160135,NA,NA,209795.921401515,NA,NA,545651.97265625,810788,NA,1.47446275287296
"Q1 1995",924220,NA,6.62727369160135,NA,NA,209795.921401515,NA,NA,545651.97265625,823972,NA,1.47446275287296
"Q2 1995",933905,NA,6.62727369160135,NA,NA,209795.921401515,NA,NA,545651.97265625,828856,NA,1.47446275287296
"Q3 1995",926388,NA,6.62727369160135,NA,NA,209795.921401515,NA,NA,545651.97265625,832976,NA,1.47446275287296
"Q4 1995",950765,NA,6.62727369160135,NA,NA,209795.921401515,NA,NA,545651.97265625,840680,NA,1.47446275287296
"Q1 1996",988131,NA,6.62727369160135,NA,NA,209795.921401515,NA,NA,545651.97265625,844208,NA,1.47446275287296
"Q2 1996",1009155,NA,6.62727369160135,NA,NA,209795.921401515,NA,NA,545651.97265625,852904,NA,1.47446275287296
"Q3 1996",1014063,NA,6.62727369160135,NA,NA,209795.921401515,NA,NA,545651.97265625,864544,NA,1.47446275287296
"Q4 1996",1081951,NA,6.62727369160135,NA,NA,209795.921401515,NA,NA,545651.97265625,877680,NA,1.47446275287296
"Q1 1997",1112862,NA,6.62727369160135,NA,NA,209795.921401515,NA,NA,545651.97265625,891748,NA,1.47446275287296
"Q2 1997",1170710,NA,6.62727369160135,NA,NA,209795.921401515,NA,NA,545651.97265625,899412,NA,1.47446275287296
"Q3 1997",1196211,NA,6.62727369160135,NA,NA,209795.921401515,NA,NA,545651.97265625,912564,NA,1.47446275287296
"Q4 1997",1208052,NA,6.62727369160135,NA,NA,209795.921401515,NA,NA,545651.97265625,923980,NA,1.47446275287296
"Q1 1998",1259004,13.1320864581592,6.62727369160135,1070933.08333333,188070.916666667,209795.921401515,848557.9375,410446.0625,545651.97265625,934612,1.34708734747681,1.47446275287296
"Q2 1998",1316532,12.455860119073,6.62727369160135,1102818.66666667,213713.333333333,209795.921401515,871863.40625,444668.59375,545651.97265625,935212,1.40773642767629,1.47446275287296
"Q3 1998",1213037,1.40660803152621,6.62727369160135,1126706.08333333,86330.9166666667,209795.921401515,891911.8125,321125.1875,545651.97265625,938872,1.29201531199141,1.47446275287296
"Q4 1998",1307132,8.20163370450941,6.62727369160135,1156403.33333333,150728.666666667,209795.921401515,914702.09375,392429.90625,545651.97265625,953496,1.37088356951681,1.47446275287296
"Q1 1999",1290674,2.51548049092775,6.62727369160135,1181615.25,109058.75,209795.921401515,935649.90625,355024.09375,545651.97265625,975240,1.32344243468274,1.47446275287296
"Q2 1999",1305992,-0.80058821206017,6.62727369160135,1206351.66666667,99640.3333333333,209795.921401515,957293.40625,348698.59375,545651.97265625,994172,1.31364794019546,1.47446275287296
"Q3 1999",1335104,10.0629247088094,6.62727369160135,1233105.08333333,101998.916666667,209795.921401515,979325.59375,355778.40625,545651.97265625,1021308,1.30724913542242,1.47446275287296
"Q4 1999",1325156,1.37889669903269,6.62727369160135,1253372.16666667,71783.8333333333,209795.921401515,1000490.90625,324665.09375,545651.97265625,1040988,1.27297913136367,1.47446275287296
"Q1 2000",1365264,5.77915104821202,6.62727369160135,1274405.66666667,90858.3333333333,209795.921401515,1022782.4375,342481.5625,545651.97265625,1070188,1.27572351773707,1.47446275287296
"Q2 2000",1498955,14.7752053611354,6.62727369160135,1301759.41666667,197195.583333333,209795.921401515,1048693.15625,450261.84375,545651.97265625,1099448,1.36337052775575,1.47446275287296
"Q3 2000",1474114,10.4119229663008,6.62727369160135,1324918,149196,209795.921401515,1073359.53125,400754.46875,545651.97265625,1121768,1.31409881544134,1.47446275287296
"Q4 2000",1399296,5.59481298805575,6.62727369160135,1340855,58441,209795.921401515,1095288.21875,304007.78125,545651.97265625,1132880,1.23516700797966,1.47446275287296
"Q1 2001",1372486,0.528981940489165,6.62727369160135,1350311.83333333,22174.1666666667,209795.921401515,1115106.28125,257379.71875,545651.97265625,1149924,1.19354496471071,1.47446275287296
"Q2 2001",1376036,-8.20031288464297,6.62727369160135,1355270.5,20765.5,209795.921401515,1134455.09375,241580.90625,545651.97265625,1152860,1.19358465034783,1.47446275287296
"Q3 2001",1350765,-8.36767034299925,6.62727369160135,1366747.83333333,-15982.8333333333,209795.921401515,1152015.84375,198749.15625,545651.97265625,1138804,1.18612597075528,1.47446275287296
"Q4 2001",1447112,3.41714690815953,6.62727369160135,1378412.83333333,68699.1666666667,209795.921401515,1171764.9375,275347.0625,545651.97265625,1136584,1.27321165879513,1.47446275287296
"Q1 2002",1484999,8.19775210821823,6.62727369160135,1394606.58333333,90392.4166666667,209795.921401515,1192631.84375,292367.15625,545651.97265625,1158640,1.28167420423945,1.47446275287296
"Q2 2002",1436744,4.41180317956798,6.62727369160135,1405502.58333333,31241.4166666667,209795.921401515,1211788.59375,224955.40625,545651.97265625,1185892,1.21153022366286,1.47446275287296
"Q3 2002",1421681,5.25006200190263,6.62727369160135,1412717.33333333,8963.66666666674,209795.921401515,1229942.0625,191738.9375,545651.97265625,1204144,1.18065696461553,1.47446275287296
"Q4 2002",1437399,-0.67119891203998,6.62727369160135,1422070.91666667,15328.0833333333,209795.921401515,1247934.21875,189464.78125,545651.97265625,1226100,1.17233423048691,1.47446275287296
"Q1 2003",1402362,-5.56478489211104,6.62727369160135,1425162.41666667,-22800.4166666667,209795.921401515,1262876.15625,139485.84375,545651.97265625,1250088,1.12181062453203,1.47446275287296
"Q2 2003",1439308,0.178459071344652,6.62727369160135,1420191.83333333,19116.1666666667,209795.921401515,1278670,160638,545651.97265625,1237720,1.16287043919465,1.47446275287296
"Q3 2003",1466417,3.14669746588721,6.62727369160135,1419550.41666667,46866.5833333333,209795.921401515,1295545.90625,170871.09375,545651.97265625,1258296,1.16539907938991,1.47446275287296
"Q4 2003",1540505,7.17309529226053,6.62727369160135,1431317.83333333,109187.166666667,209795.921401515,1313975.28125,226529.71875,545651.97265625,1272884,1.21024775234821,1.47446275287296
"Q1 2004",1582022,12.8112427461668,6.62727369160135,1448779.16666667,133242.833333333,209795.921401515,1332534.375,249487.625,545651.97265625,1296216,1.22049257222562,1.47446275287296
"Q2 2004",1605213,11.5267197847855,6.62727369160135,1467877.25,137335.75,209795.921401515,1351161.1875,254051.8125,545651.97265625,1328148,1.20861003442387,1.47446275287296
"Q3 2004",1621948,10.6061918267451,6.62727369160135,1490475.83333333,131472.166666667,209795.921401515,1370157.59375,251790.40625,545651.97265625,1351480,1.2001272678841,1.47446275287296
"Q4 2004",1657141,7.57128344276714,6.62727369160135,1507978.25,149162.75,209795.921401515,1388132.28125,269008.71875,545651.97265625,1367080,1.21217558592036,1.47446275287296
"Q1 2005",1694332,7.09914274264201,6.62727369160135,1525422.66666667,168909.333333333,209795.921401515,1406303.21875,288028.78125,545651.97265625,1380324,1.22748861861418,1.47446275287296
"Q2 2005",1731822,7.88736448060164,6.62727369160135,1550012.5,181809.5,209795.921401515,1423837.96875,307984.03125,545651.97265625,1399608,1.23736217569491,1.47446275287296
"Q3 2005",1826400,12.6053362993142,6.62727369160135,1583739.08333333,242660.916666667,209795.921401515,1443531.375,382868.625,545651.97265625,1436992,1.27098828664321,1.47446275287296
"Q4 2005",1820868,9.88008865872005,6.62727369160135,1615694.83333333,205173.166666667,209795.921401515,1462681.875,358186.125,545651.97265625,1469436,1.23916114754232,1.47446275287296
"Q1 2006",1931792,14.0149628290087,6.62727369160135,1659814,271978,209795.921401515,1483706.5,448085.5,545651.97265625,1476000,1.30880216802168,1.47446275287296
