"Period","Current Account","percent_change","average","three Year Trend","Deviation From 3 Year Trend","Mean of 3 Year Trend","eight Year Trend","Deviation From 8 Year Trend","Mean of 8 Year Trend","GDP","Ratio: Current Account to GDP","Mean_of_Ratio"
"Q1 1981",-3685,NA,48.048178591754,NA,NA,-294.213942307692,NA,NA,-1134.22836538462,355992,NA,-0.00221096848221432
"Q2 1981",-4256,NA,48.048178591754,NA,NA,-294.213942307692,NA,NA,-1134.22836538462,367992,NA,-0.00221096848221432
"Q3 1981",-4353,NA,48.048178591754,NA,NA,-294.213942307692,NA,NA,-1134.22836538462,372820,NA,-0.00221096848221432
"Q4 1981",-3104,NA,48.048178591754,NA,NA,-294.213942307692,NA,NA,-1134.22836538462,376628,NA,-0.00221096848221432
"Q1 1982",-427,NA,48.048178591754,NA,NA,-294.213942307692,NA,NA,-1134.22836538462,383004,NA,-0.00221096848221432
"Q2 1982",376,NA,48.048178591754,NA,NA,-294.213942307692,NA,NA,-1134.22836538462,386516,NA,-0.00221096848221432
"Q3 1982",1598,NA,48.048178591754,NA,NA,-294.213942307692,NA,NA,-1134.22836538462,389560,NA,-0.00221096848221432
"Q4 1982",337,NA,48.048178591754,NA,NA,-294.213942307692,NA,NA,-1134.22836538462,393644,NA,-0.00221096848221432
"Q1 1983",-468,NA,48.048178591754,NA,NA,-294.213942307692,NA,NA,-1134.22836538462,403236,NA,-0.00221096848221432
"Q2 1983",92,NA,48.048178591754,NA,NA,-294.213942307692,NA,NA,-1134.22836538462,415804,NA,-0.00221096848221432
"Q3 1983",-1301,NA,48.048178591754,NA,NA,-294.213942307692,NA,NA,-1134.22836538462,428960,NA,-0.00221096848221432
"Q4 1983",-1854,NA,48.048178591754,NA,NA,-294.213942307692,NA,NA,-1134.22836538462,437264,NA,-0.00221096848221432
"Q1 1984",-1410,NA,48.048178591754,NA,NA,-294.213942307692,NA,NA,-1134.22836538462,447840,NA,-0.00221096848221432
"Q2 1984",-804,NA,48.048178591754,NA,NA,-294.213942307692,NA,NA,-1134.22836538462,459552,NA,-0.00221096848221432
"Q3 1984",-400,NA,48.048178591754,NA,NA,-294.213942307692,NA,NA,-1134.22836538462,465180,NA,-0.00221096848221432
"Q4 1984",503,NA,48.048178591754,NA,NA,-294.213942307692,NA,NA,-1134.22836538462,475372,NA,-0.00221096848221432
"Q1 1985",-488,NA,48.048178591754,NA,NA,-294.213942307692,NA,NA,-1134.22836538462,486096,NA,-0.00221096848221432
"Q2 1985",-1981,NA,48.048178591754,NA,NA,-294.213942307692,NA,NA,-1134.22836538462,495352,NA,-0.00221096848221432
"Q3 1985",-3007,NA,48.048178591754,NA,NA,-294.213942307692,NA,NA,-1134.22836538462,503872,NA,-0.00221096848221432
"Q4 1985",-2819,NA,48.048178591754,NA,NA,-294.213942307692,NA,NA,-1134.22836538462,514788,NA,-0.00221096848221432
"Q1 1986",-4137,NA,48.048178591754,NA,NA,-294.213942307692,NA,NA,-1134.22836538462,518612,NA,-0.00221096848221432
"Q2 1986",-3844,NA,48.048178591754,NA,NA,-294.213942307692,NA,NA,-1134.22836538462,523844,NA,-0.00221096848221432
"Q3 1986",-4301,NA,48.048178591754,NA,NA,-294.213942307692,NA,NA,-1134.22836538462,530220,NA,-0.00221096848221432
"Q4 1986",-3833,NA,48.048178591754,NA,NA,-294.213942307692,NA,NA,-1134.22836538462,533844,NA,-0.00221096848221432
"Q1 1987",-3511,NA,48.048178591754,NA,NA,-294.213942307692,NA,NA,-1134.22836538462,552484,NA,-0.00221096848221432
"Q2 1987",-4025,NA,48.048178591754,NA,NA,-294.213942307692,NA,NA,-1134.22836538462,567420,NA,-0.00221096848221432
"Q3 1987",-4602,NA,48.048178591754,NA,NA,-294.213942307692,NA,NA,-1134.22836538462,581680,NA,-0.00221096848221432
"Q4 1987",-6370,NA,48.048178591754,NA,NA,-294.213942307692,NA,NA,-1134.22836538462,595760,NA,-0.00221096848221432
"Q1 1988",-4804,NA,48.048178591754,NA,NA,-294.213942307692,NA,NA,-1134.22836538462,610948,NA,-0.00221096848221432
"Q2 1988",-4145,NA,48.048178591754,NA,NA,-294.213942307692,NA,NA,-1134.22836538462,621168,NA,-0.00221096848221432
"Q3 1988",-5768,NA,48.048178591754,NA,NA,-294.213942307692,NA,NA,-1134.22836538462,631392,NA,-0.00221096848221432
"Q4 1988",-4469,NA,48.048178591754,NA,NA,-294.213942307692,NA,NA,-1134.22836538462,644068,NA,-0.00221096848221432
"Q1 1989",-5214,NA,48.048178591754,NA,NA,-294.213942307692,NA,NA,-1134.22836538462,656160,NA,-0.00221096848221432
"Q2 1989",-7351,NA,48.048178591754,NA,NA,-294.213942307692,NA,NA,-1134.22836538462,669792,NA,-0.00221096848221432
"Q3 1989",-6724,NA,48.048178591754,NA,NA,-294.213942307692,NA,NA,-1134.22836538462,679132,NA,-0.00221096848221432
"Q4 1989",-7278,NA,48.048178591754,NA,NA,-294.213942307692,NA,NA,-1134.22836538462,681232,NA,-0.00221096848221432
"Q1 1990",-7402,NA,48.048178591754,NA,NA,-294.213942307692,NA,NA,-1134.22836538462,691928,NA,-0.00221096848221432
"Q2 1990",-5404,NA,48.048178591754,NA,NA,-294.213942307692,NA,NA,-1134.22836538462,695624,NA,-0.00221096848221432
"Q3 1990",-5093,NA,48.048178591754,NA,NA,-294.213942307692,NA,NA,-1134.22836538462,697684,NA,-0.00221096848221432
"Q4 1990",-5972,NA,48.048178591754,NA,NA,-294.213942307692,NA,NA,-1134.22836538462,696768,NA,-0.00221096848221432
"Q1 1991",-6444,NA,48.048178591754,NA,NA,-294.213942307692,NA,NA,-1134.22836538462,694008,NA,-0.00221096848221432
"Q2 1991",-6067,NA,48.048178591754,NA,NA,-294.213942307692,NA,NA,-1134.22836538462,701572,NA,-0.00221096848221432
"Q3 1991",-7136,NA,48.048178591754,NA,NA,-294.213942307692,NA,NA,-1134.22836538462,704796,NA,-0.00221096848221432
"Q4 1991",-6525,NA,48.048178591754,NA,NA,-294.213942307692,NA,NA,-1134.22836538462,706716,NA,-0.00221096848221432
"Q1 1992",-7265,NA,48.048178591754,NA,NA,-294.213942307692,NA,NA,-1134.22836538462,710008,NA,-0.00221096848221432
"Q2 1992",-6608,NA,48.048178591754,NA,NA,-294.213942307692,NA,NA,-1134.22836538462,714744,NA,-0.00221096848221432
"Q3 1992",-6901,NA,48.048178591754,NA,NA,-294.213942307692,NA,NA,-1134.22836538462,721660,NA,-0.00221096848221432
"Q4 1992",-5142,NA,48.048178591754,NA,NA,-294.213942307692,NA,NA,-1134.22836538462,727332,NA,-0.00221096848221432
"Q1 1993",-6062,NA,48.048178591754,NA,NA,-294.213942307692,NA,NA,-1134.22836538462,733952,NA,-0.00221096848221432
"Q2 1993",-6832,NA,48.048178591754,NA,NA,-294.213942307692,NA,NA,-1134.22836538462,745360,NA,-0.00221096848221432
"Q3 1993",-7758,NA,48.048178591754,NA,NA,-294.213942307692,NA,NA,-1134.22836538462,750068,NA,-0.00221096848221432
"Q4 1993",-8012,NA,48.048178591754,NA,NA,-294.213942307692,NA,NA,-1134.22836538462,758768,NA,-0.00221096848221432
"Q1 1994",-5351,-11.7288023754536,48.048178591754,-6638.25,1287.25,-294.213942307692,-5819.15625,468.15625,-1134.22836538462,772656,-0.00692546230146404,-0.00221096848221432
"Q2 1994",-6395,-6.3963700234192,48.048178591754,-6665.58333333333,270.583333333333,-294.213942307692,-5898.875,-496.125,-1134.22836538462,783660,-0.00816042671566751,-0.00221096848221432
"Q3 1994",-3571,-53.9700953854086,48.048178591754,-6368.5,2797.5,-294.213942307692,-5876.0625,2305.0625,-1134.22836538462,800784,-0.00445937980778837,-0.00221096848221432
"Q4 1994",-3499,-56.328007988018,48.048178591754,-6116.33333333333,2617.33333333333,-294.213942307692,-5865.625,2366.625,-1134.22836538462,810788,-0.00431555474427347,-0.00221096848221432
"Q1 1995",-1706,-68.1181087647169,48.048178591754,-5653.08333333333,3947.08333333333,-294.213942307692,-5809.21875,4103.21875,-1134.22836538462,823972,-0.00207045870490745,-0.00221096848221432
"Q2 1995",-4350,-31.9781078967944,48.048178591754,-5464.91666666667,1114.91666666667,-294.213942307692,-5819.375,1469.375,-1134.22836538462,828856,-0.00524819751561188,-0.00221096848221432
"Q3 1995",-1834,-48.6418370204425,48.048178591754,-5042.66666666667,3208.66666666667,-294.213942307692,-5732.875,3898.875,-1134.22836538462,832976,-0.00220174410787346,-0.00221096848221432
"Q4 1995",1046,-129.894255501572,48.048178591754,-4527,5573,-294.213942307692,-5501.125,6547.125,-1134.22836538462,840680,0.00124423086073179,-0.00221096848221432
"Q1 1996",22,-101.289566236811,48.048178591754,-4020,4042,-294.213942307692,-5350.3125,5372.3125,-1134.22836538462,844208,2.60599283588879e-05,-0.00221096848221432
"Q2 1996",2565,-158.965517241379,48.048178591754,-3236.91666666667,5801.91666666667,-294.213942307692,-5140.625,7705.625,-1134.22836538462,852904,0.00300737245926857,-0.00221096848221432
"Q3 1996",1012,-155.179934569248,48.048178591754,-2506.08333333333,3518.08333333333,-294.213942307692,-4928.75,5940.75,-1134.22836538462,864544,0.00117055927749195,-0.00221096848221432
"Q4 1996",-28,-102.676864244742,48.048178591754,-1840.75,1812.75,-294.213942307692,-4789.96875,4761.96875,-1134.22836538462,877680,-3.19022878497858e-05,-0.00221096848221432
"Q1 1997",-727,-3404.54545454545,48.048178591754,-1455.41666666667,728.416666666667,-294.213942307692,-4649.75,3922.75,-1134.22836538462,891748,-0.000815252739563195,-0.00221096848221432
"Q2 1997",-2314,-190.214424951267,48.048178591754,-1115.33333333333,-1198.66666666667,-294.213942307692,-4492.34375,2178.34375,-1134.22836538462,899412,-0.00257279200188568,-0.00221096848221432
"Q3 1997",-5584,-651.778656126482,48.048178591754,-1283.08333333333,-4300.91666666667,-294.213942307692,-4456.71875,-1127.28125,-1134.22836538462,912564,-0.00611902288497026,-0.00221096848221432
"Q4 1997",-3504,12414.2857142857,48.048178591754,-1283.5,-2220.5,-294.213942307692,-4338.78125,834.78125,-1134.22836538462,923980,-0.00379228987640425,-0.00221096848221432
"Q1 1998",-3901,436.588720770289,48.048178591754,-1466.41666666667,-2434.58333333333,-294.213942307692,-4229.375,328.375,-1134.22836538462,934612,-0.00417392458046762,-0.00221096848221432
"Q2 1998",-3743,61.7545375972342,48.048178591754,-1415.83333333333,-2327.16666666667,-294.213942307692,-4177.46875,434.46875,-1134.22836538462,935212,-0.0040023010825353,-0.00221096848221432
"Q3 1998",-2699,-51.6654727793696,48.048178591754,-1487.91666666667,-1211.08333333333,-294.213942307692,-4102.65625,1403.65625,-1134.22836538462,938872,-0.0028747262672654,-0.00221096848221432
"Q4 1998",-2245,-35.9303652968037,48.048178591754,-1762.16666666667,-482.833333333333,-294.213942307692,-3986.1875,1741.1875,-1134.22836538462,953496,-0.00235449335917508,-0.00221096848221432
"Q1 1999",-358,-90.8228659318124,48.048178591754,-1793.83333333333,1435.83333333333,-294.213942307692,-3796,3438,-1134.22836538462,975240,-0.000367089126779049,-0.00221096848221432
"Q2 1999",-627,-83.248730964467,48.048178591754,-2059.83333333333,1432.83333333333,-294.213942307692,-3626,2999,-1134.22836538462,994172,-0.000630675577264296,-0.00221096848221432
"Q3 1999",1849,-168.506854390515,48.048178591754,-1990.08333333333,3839.08333333333,-294.213942307692,-3345.21875,5194.21875,-1134.22836538462,1021308,0.00181042349614416,-0.00221096848221432
"Q4 1999",937,-141.73719376392,48.048178591754,-1909.66666666667,2846.66666666667,-294.213942307692,-3112.03125,4049.03125,-1134.22836538462,1040988,0.00090010643734606,-0.00221096848221432
"Q1 2000",5582,-1659.21787709497,48.048178591754,-1383.91666666667,6965.91666666667,-294.213942307692,-2710.5625,8292.5625,-1134.22836538462,1070188,0.00521590599034936,-0.00221096848221432
"Q2 2000",6171,-1084.21052631579,48.048178591754,-676.833333333333,6847.83333333333,-294.213942307692,-2311.21875,8482.21875,-1134.22836538462,1099448,0.00561281661342783,-0.00221096848221432
"Q3 2000",7720,317.522985397512,48.048178591754,431.833333333333,7288.16666666667,-294.213942307692,-1854.3125,9574.3125,-1134.22836538462,1121768,0.00688199342466535,-0.00221096848221432
"Q4 2000",8735,832.230522945571,48.048178591754,1451.75,7283.25,-294.213942307692,-1420.65625,10155.65625,-1134.22836538462,1132880,0.00771043711602288,-0.00221096848221432
"Q1 2001",10680,91.3292726621283,48.048178591754,2666.83333333333,8013.16666666667,-294.213942307692,-897.46875,11577.46875,-1134.22836538462,1149924,0.00928757030899433,-0.00221096848221432
"Q2 2001",7332,18.8138065143413,48.048178591754,3589.75,3742.25,-294.213942307692,-454.84375,7786.84375,-1134.22836538462,1152860,0.00635983553944104,-0.00221096848221432
"Q3 2001",4100,-46.8911917098446,48.048178591754,4156.33333333333,-56.333333333333,-294.213942307692,-84.28125,4184.28125,-1134.22836538462,1138804,0.00360026835170934,-0.00221096848221432
"Q4 2001",3213,-63.2169433314253,48.048178591754,4611.16666666667,-1398.16666666667,-294.213942307692,266.5,2946.5,-1134.22836538462,1136584,0.00282689180914037,-0.00221096848221432
"Q1 2002",7087,-33.6423220973783,48.048178591754,5231.58333333333,1855.41666666667,-294.213942307692,655.1875,6431.8125,-1134.22836538462,1158640,0.00611665400814748,-0.00221096848221432
"Q2 2002",5525,-24.645390070922,48.048178591754,5744.25,-219.25,-294.213942307692,1027.6875,4497.3125,-1134.22836538462,1185892,0.0046589402744938,-0.00221096848221432
"Q3 2002",4226,3.07317073170732,48.048178591754,5942.33333333333,-1716.33333333333,-294.213942307692,1271.34375,2954.65625,-1134.22836538462,1204144,0.00350954703091989,-0.00221096848221432
"Q4 2002",3876,20.6349206349206,48.048178591754,6187.25,-2311.25,-294.213942307692,1501.8125,2374.1875,-1134.22836538462,1226100,0.00316124296550037,-0.00221096848221432
"Q1 2003",3645,-48.5678001975448,48.048178591754,6025.83333333333,-2380.83333333333,-294.213942307692,1669.03125,1975.96875,-1134.22836538462,1250088,0.00291579472805115,-0.00221096848221432
"Q2 2003",947,-82.8597285067873,48.048178591754,5590.5,-4643.5,-294.213942307692,1834.5625,-887.5625,-1134.22836538462,1237720,0.000765116504540607,-0.00221096848221432
"Q3 2003",5219,23.4973970657832,48.048178591754,5382.08333333333,-163.083333333333,-294.213942307692,2054.96875,3164.03125,-1134.22836538462,1258296,0.00414767272565438,-0.00221096848221432
"Q4 2003",5636,45.4076367389061,48.048178591754,5123.83333333333,512.166666666667,-294.213942307692,2198.40625,3437.59375,-1134.22836538462,1272884,0.00442774046967359,-0.00221096848221432
"Q1 2004",6825,87.2427983539095,48.048178591754,4802.58333333333,2022.41666666667,-294.213942307692,2411,4414,-1134.22836538462,1296216,0.00526532614934548,-0.00221096848221432
"Q2 2004",9024,852.903907074974,48.048178591754,4943.58333333333,4080.41666666667,-294.213942307692,2612.84375,6411.15625,-1134.22836538462,1328148,0.00679442351304222,-0.00221096848221432
