"Period","Fed Gov Interest Expense","percent_change","average","three Year Trend","Deviation From 3 Year Trend","Mean of 3 Year Trend","eight Year Trend","Deviation From 8 Year Trend","Mean of 8 Year Trend","Revenue","Ratio: Fed Gov Interest Expense to Revenue","Mean_of_Ratio"
"Q1 1990",10093,NA,-2.27635497917352,NA,NA,-314.643939393939,NA,NA,-849.249289772727,28947,NA,0.138769588298382
"Q2 1990",10460,NA,-2.27635497917352,NA,NA,-314.643939393939,NA,NA,-849.249289772727,32632,NA,0.138769588298382
"Q3 1990",10745,NA,-2.27635497917352,NA,NA,-314.643939393939,NA,NA,-849.249289772727,31005,NA,0.138769588298382
"Q4 1990",10846,NA,-2.27635497917352,NA,NA,-314.643939393939,NA,NA,-849.249289772727,28927,NA,0.138769588298382
"Q1 1991",10755,NA,-2.27635497917352,NA,NA,-314.643939393939,NA,NA,-849.249289772727,28250,NA,0.138769588298382
"Q2 1991",10456,NA,-2.27635497917352,NA,NA,-314.643939393939,NA,NA,-849.249289772727,32679,NA,0.138769588298382
"Q3 1991",10346,NA,-2.27635497917352,NA,NA,-314.643939393939,NA,NA,-849.249289772727,31753,NA,0.138769588298382
"Q4 1991",9754,NA,-2.27635497917352,NA,NA,-314.643939393939,NA,NA,-849.249289772727,34647,NA,0.138769588298382
"Q1 1992",10856,NA,-2.27635497917352,NA,NA,-314.643939393939,NA,NA,-849.249289772727,33614,NA,0.138769588298382
"Q2 1992",9842,NA,-2.27635497917352,NA,NA,-314.643939393939,NA,NA,-849.249289772727,32993,NA,0.138769588298382
"Q3 1992",9667,NA,-2.27635497917352,NA,NA,-314.643939393939,NA,NA,-849.249289772727,31907,NA,0.138769588298382
"Q4 1992",9431,NA,-2.27635497917352,NA,NA,-314.643939393939,NA,NA,-849.249289772727,33012,NA,0.138769588298382
"Q1 1993",10077,NA,-2.27635497917352,NA,NA,-314.643939393939,NA,NA,-849.249289772727,33461,NA,0.138769588298382
"Q2 1993",9220,NA,-2.27635497917352,NA,NA,-314.643939393939,NA,NA,-849.249289772727,30795,NA,0.138769588298382
"Q3 1993",10430,NA,-2.27635497917352,NA,NA,-314.643939393939,NA,NA,-849.249289772727,32326,NA,0.138769588298382
"Q4 1993",9762,NA,-2.27635497917352,NA,NA,-314.643939393939,NA,NA,-849.249289772727,33699,NA,0.138769588298382
"Q1 1994",9331,NA,-2.27635497917352,NA,NA,-314.643939393939,NA,NA,-849.249289772727,30390,NA,0.138769588298382
"Q2 1994",9872,NA,-2.27635497917352,NA,NA,-314.643939393939,NA,NA,-849.249289772727,32586,NA,0.138769588298382
"Q3 1994",10544,NA,-2.27635497917352,NA,NA,-314.643939393939,NA,NA,-849.249289772727,35049,NA,0.138769588298382
"Q4 1994",10678,NA,-2.27635497917352,NA,NA,-314.643939393939,NA,NA,-849.249289772727,35373,NA,0.138769588298382
"Q1 1995",11130,NA,-2.27635497917352,NA,NA,-314.643939393939,NA,NA,-849.249289772727,33708,NA,0.138769588298382
"Q2 1995",11783,NA,-2.27635497917352,NA,NA,-314.643939393939,NA,NA,-849.249289772727,34703,NA,0.138769588298382
