"Period","Fed Gov Interest to Foreigners","percent_change","average","three Year Trend","Deviation From 3 Year Trend","Mean of 3 Year Trend","eight Year Trend","Deviation From 8 Year Trend","Mean of 8 Year Trend","Revenue","Ratio: Fed Gov Interest to Foreigners to Revenue","Mean_of_Ratio"
"Q1 1990",1221,NA,-1.75313656927428,NA,NA,-48.436553030303,NA,NA,-124.068181818182,28947,NA,0.0161281486456186
"Q2 1990",1228,NA,-1.75313656927428,NA,NA,-48.436553030303,NA,NA,-124.068181818182,32632,NA,0.0161281486456186
"Q3 1990",1318,NA,-1.75313656927428,NA,NA,-48.436553030303,NA,NA,-124.068181818182,31005,NA,0.0161281486456186
"Q4 1990",1406,NA,-1.75313656927428,NA,NA,-48.436553030303,NA,NA,-124.068181818182,28927,NA,0.0161281486456186
"Q1 1991",1404,NA,-1.75313656927428,NA,NA,-48.436553030303,NA,NA,-124.068181818182,28250,NA,0.0161281486456186
"Q2 1991",1426,NA,-1.75313656927428,NA,NA,-48.436553030303,NA,NA,-124.068181818182,32679,NA,0.0161281486456186
"Q3 1991",1455,NA,-1.75313656927428,NA,NA,-48.436553030303,NA,NA,-124.068181818182,31753,NA,0.0161281486456186
"Q4 1991",1543,NA,-1.75313656927428,NA,NA,-48.436553030303,NA,NA,-124.068181818182,34647,NA,0.0161281486456186
"Q1 1992",1508,NA,-1.75313656927428,NA,NA,-48.436553030303,NA,NA,-124.068181818182,33614,NA,0.0161281486456186
"Q2 1992",1543,NA,-1.75313656927428,NA,NA,-48.436553030303,NA,NA,-124.068181818182,32993,NA,0.0161281486456186
"Q3 1992",1562,NA,-1.75313656927428,NA,NA,-48.436553030303,NA,NA,-124.068181818182,31907,NA,0.0161281486456186
"Q4 1992",1554,NA,-1.75313656927428,NA,NA,-48.436553030303,NA,NA,-124.068181818182,33012,NA,0.0161281486456186
"Q1 1993",1639,NA,-1.75313656927428,NA,NA,-48.436553030303,NA,NA,-124.068181818182,33461,NA,0.0161281486456186
"Q2 1993",1708,NA,-1.75313656927428,NA,NA,-48.436553030303,NA,NA,-124.068181818182,30795,NA,0.0161281486456186
"Q3 1993",1677,NA,-1.75313656927428,NA,NA,-48.436553030303,NA,NA,-124.068181818182,32326,NA,0.0161281486456186
"Q4 1993",1632,NA,-1.75313656927428,NA,NA,-48.436553030303,NA,NA,-124.068181818182,33699,NA,0.0161281486456186
"Q1 1994",1575,NA,-1.75313656927428,NA,NA,-48.436553030303,NA,NA,-124.068181818182,30390,NA,0.0161281486456186
"Q2 1994",1576,NA,-1.75313656927428,NA,NA,-48.436553030303,NA,NA,-124.068181818182,32586,NA,0.0161281486456186
"Q3 1994",1630,NA,-1.75313656927428,NA,NA,-48.436553030303,NA,NA,-124.068181818182,35049,NA,0.0161281486456186
"Q4 1994",1555,NA,-1.75313656927428,NA,NA,-48.436553030303,NA,NA,-124.068181818182,35373,NA,0.0161281486456186
"Q1 1995",1444,NA,-1.75313656927428,NA,NA,-48.436553030303,NA,NA,-124.068181818182,33708,NA,0.0161281486456186
"Q2 1995",1500,NA,-1.75313656927428,NA,NA,-48.436553030303,NA,NA,-124.068181818182,34703,NA,0.0161281486456186
"Q3 1995",1676,NA,-1.75313656927428,NA,NA,-48.436553030303,NA,NA,-124.068181818182,36768,NA,0.0161281486456186
"Q4 1995",1697,NA,-1.75313656927428,NA,NA,-48.436553030303,NA,NA,-124.068181818182,36984,NA,0.0161281486456186
"Q1 1996",1631,NA,-1.75313656927428,NA,NA,-48.436553030303,NA,NA,-124.068181818182,34699,NA,0.0161281486456186
