"Period","Fed Gov Interest-Bearing Debt","percent_change","average","three Year Trend","Deviation From 3 Year Trend","Mean of 3 Year Trend","eight Year Trend","Deviation From 8 Year Trend","Mean of 8 Year Trend","GDP","Ratio: Fed Gov Interest-Bearing Debt to GDP","Mean_of_Ratio"
"Q1 1990",407428,NA,2.12157112832393,NA,NA,21915.8551587302,NA,NA,66560.8746279762,691928,NA,0.497860412757959
"Q2 1990",412200,NA,2.12157112832393,NA,NA,21915.8551587302,NA,NA,66560.8746279762,695624,NA,0.497860412757959
"Q3 1990",420117,NA,2.12157112832393,NA,NA,21915.8551587302,NA,NA,66560.8746279762,697684,NA,0.497860412757959
"Q4 1990",428271,NA,2.12157112832393,NA,NA,21915.8551587302,NA,NA,66560.8746279762,696768,NA,0.497860412757959
"Q1 1991",447271,NA,2.12157112832393,NA,NA,21915.8551587302,NA,NA,66560.8746279762,694008,NA,0.497860412757959
"Q2 1991",454225,NA,2.12157112832393,NA,NA,21915.8551587302,NA,NA,66560.8746279762,701572,NA,0.497860412757959
"Q3 1991",465653,NA,2.12157112832393,NA,NA,21915.8551587302,NA,NA,66560.8746279762,704796,NA,0.497860412757959
"Q4 1991",472021,NA,2.12157112832393,NA,NA,21915.8551587302,NA,NA,66560.8746279762,706716,NA,0.497860412757959
"Q1 1992",481427,NA,2.12157112832393,NA,NA,21915.8551587302,NA,NA,66560.8746279762,710008,NA,0.497860412757959
"Q2 1992",488631,NA,2.12157112832393,NA,NA,21915.8551587302,NA,NA,66560.8746279762,714744,NA,0.497860412757959
"Q3 1992",503114,NA,2.12157112832393,NA,NA,21915.8551587302,NA,NA,66560.8746279762,721660,NA,0.497860412757959
"Q4 1992",506587,NA,2.12157112832393,NA,NA,21915.8551587302,NA,NA,66560.8746279762,727332,NA,0.497860412757959
"Q1 1993",527020,NA,2.12157112832393,NA,NA,21915.8551587302,NA,NA,66560.8746279762,733952,NA,0.497860412757959
"Q2 1993",537967,NA,2.12157112832393,NA,NA,21915.8551587302,NA,NA,66560.8746279762,745360,NA,0.497860412757959
"Q3 1993",548682,NA,2.12157112832393,NA,NA,21915.8551587302,NA,NA,66560.8746279762,750068,NA,0.497860412757959
"Q4 1993",560265,NA,2.12157112832393,NA,NA,21915.8551587302,NA,NA,66560.8746279762,758768,NA,0.497860412757959
"Q1 1994",579149,NA,2.12157112832393,NA,NA,21915.8551587302,NA,NA,66560.8746279762,772656,NA,0.497860412757959
"Q2 1994",584640,NA,2.12157112832393,NA,NA,21915.8551587302,NA,NA,66560.8746279762,783660,NA,0.497860412757959
"Q3 1994",592578,NA,2.12157112832393,NA,NA,21915.8551587302,NA,NA,66560.8746279762,800784,NA,0.497860412757959
"Q4 1994",599859,NA,2.12157112832393,NA,NA,21915.8551587302,NA,NA,66560.8746279762,810788,NA,0.497860412757959
"Q1 1995",620032,NA,2.12157112832393,NA,NA,21915.8551587302,NA,NA,66560.8746279762,823972,NA,0.497860412757959
"Q2 1995",622860,NA,2.12157112832393,NA,NA,21915.8551587302,NA,NA,66560.8746279762,828856,NA,0.497860412757959
"Q3 1995",638862,NA,2.12157112832393,NA,NA,21915.8551587302,NA,NA,66560.8746279762,832976,NA,0.497860412757959
"Q4 1995",641366,NA,2.12157112832393,NA,NA,21915.8551587302,NA,NA,66560.8746279762,840680,NA,0.497860412757959
"Q1 1996",662969,NA,2.12157112832393,NA,NA,21915.8551587302,NA,NA,66560.8746279762,844208,NA,0.497860412757959
"Q2 1996",659358,NA,2.12157112832393,NA,NA,21915.8551587302,NA,NA,66560.8746279762,852904,NA,0.497860412757959
"Q3 1996",664876,NA,2.12157112832393,NA,NA,21915.8551587302,NA,NA,66560.8746279762,864544,NA,0.497860412757959
"Q4 1996",669468,NA,2.12157112832393,NA,NA,21915.8551587302,NA,NA,66560.8746279762,877680,NA,0.497860412757959
"Q1 1997",687564,NA,2.12157112832393,NA,NA,21915.8551587302,NA,NA,66560.8746279762,891748,NA,0.497860412757959
"Q2 1997",676352,NA,2.12157112832393,NA,NA,21915.8551587302,NA,NA,66560.8746279762,899412,NA,0.497860412757959
"Q3 1997",672671,NA,2.12157112832393,NA,NA,21915.8551587302,NA,NA,66560.8746279762,912564,NA,0.497860412757959
"Q4 1997",678018,NA,2.12157112832393,NA,NA,21915.8551587302,NA,NA,66560.8746279762,923980,NA,0.497860412757959
"Q1 1998",686554,NA,2.12157112832393,NA,NA,21915.8551587302,NA,NA,66560.8746279762,934612,NA,0.497860412757959
"Q2 1998",673011,NA,2.12157112832393,NA,NA,21915.8551587302,NA,NA,66560.8746279762,935212,NA,0.497860412757959
"Q3 1998",664787,NA,2.12157112832393,NA,NA,21915.8551587302,NA,NA,66560.8746279762,938872,NA,0.497860412757959
"Q4 1998",680047,NA,2.12157112832393,NA,NA,21915.8551587302,NA,NA,66560.8746279762,953496,NA,0.497860412757959
"Q1 1999",684047,-0.365157001488594,2.12157112832393,674729.416666667,9317.58333333337,21915.8551587302,599520.625,84526.375,66560.8746279762,975240,0.701414010910135,0.497860412757959
"Q2 1999",667701,-0.78899156180211,2.12157112832393,675424.666666667,-7723.66666666663,21915.8551587302,606191.75,61509.25,66560.8746279762,994172,0.671615173229582,0.497860412757959
"Q3 1999",660399,-0.660061042108224,2.12157112832393,675051.583333333,-14652.5833333334,21915.8551587302,612277.5625,48121.4375,66560.8746279762,1021308,0.64662080391028,0.497860412757959
"Q4 1999",666075,-2.05456387573212,2.12157112832393,674768.833333333,-8693.83333333337,21915.8551587302,618341.75,47733.25,66560.8746279762,1040988,0.639848874338609,0.497860412757959
"Q1 2000",665331,-2.73606930517932,2.12157112832393,672916.083333333,-7585.08333333337,21915.8551587302,624088.75,41242.25,66560.8746279762,1070188,0.621695440427289,0.497860412757959
"Q2 2000",655970,-1.75692413220888,2.12157112832393,671217.583333333,-15247.5833333334,21915.8551587302,629318.09375,26651.90625,66560.8746279762,1099448,0.596635766311822,0.497860412757959
"Q3 2000",649602,-1.63492070702712,2.12157112832393,669295.166666667,-19693.1666666666,21915.8551587302,633895.84375,15706.15625,66560.8746279762,1121768,0.579087654488272,0.497860412757959
"Q4 2000",648058,-2.70495064369628,2.12157112832393,666798.5,-18740.5,21915.8551587302,638316.8125,9741.1875,66560.8746279762,1132880,0.572044700233034,0.497860412757959
"Q1 2001",669832,0.676505378525877,2.12157112832393,665405,4427,21915.8551587302,642779.6875,27052.3125,66560.8746279762,1149924,0.582501104420814,0.497860412757959
"Q2 2001",634928,-3.20776864795646,2.12157112832393,662231.416666667,-27303.4166666666,21915.8551587302,645809.71875,-10881.71875,66560.8746279762,1152860,0.55074163384973,0.497860412757959
"Q3 2001",647628,-0.303878374758698,2.12157112832393,660801.5,-13173.5,21915.8551587302,648901.78125,-1273.78125,66560.8746279762,1138804,0.56869136392215,0.497860412757959
"Q4 2001",656040,1.23167988050452,2.12157112832393,658800.916666667,-2760.91666666663,21915.8551587302,651894.75,4145.25,66560.8746279762,1136584,0.577203268742126,0.497860412757959
"Q1 2002",657663,-1.81672419352912,2.12157112832393,656602.25,1060.75,21915.8551587302,654348.3125,3314.6875,66560.8746279762,1158640,0.56761634329904,0.497860412757959
"Q2 2002",649064,2.22639417382758,2.12157112832393,655049.166666667,-5985.16666666663,21915.8551587302,656361.5625,-7297.5625,66560.8746279762,1185892,0.547321341235121,0.497860412757959
"Q3 2002",648862,0.190541483691255,2.12157112832393,654087.75,-5225.75,21915.8551587302,658120.4375,-9258.4375,66560.8746279762,1204144,0.53885747883974,0.497860412757959
"Q4 2002",644681,-1.73144930187184,2.12157112832393,652304.916666667,-7623.91666666663,21915.8551587302,659521.125,-14840.125,66560.8746279762,1226100,0.525798058885898,0.497860412757959
"Q1 2003",653639,-0.611863522807274,2.12157112832393,651330.583333333,2308.41666666663,21915.8551587302,660571.34375,-6932.34375,66560.8746279762,1250088,0.522874389642969,0.497860412757959
"Q2 2003",651669,0.401347170695032,2.12157112832393,650972.166666667,696.833333333372,21915.8551587302,661471.625,-9802.625,66560.8746279762,1237720,0.526507610768187,0.497860412757959
"Q3 2003",641737,-1.09807632439563,2.12157112832393,650316.75,-8579.75,21915.8551587302,661561.46875,-19824.46875,66560.8746279762,1258296,0.510004800142415,0.497860412757959
"Q4 2003",641657,-0.469069198564872,2.12157112832393,649783.333333333,-8126.33333333337,21915.8551587302,661570.5625,-19913.5625,66560.8746279762,1272884,0.50409699548427,0.497860412757959
"Q1 2004",657298,0.559789119070312,2.12157112832393,648738.833333333,8559.16666666663,21915.8551587302,661393.34375,-4095.34375,66560.8746279762,1296216,0.507089867738093,0.497860412757959
"Q2 2004",642191,-1.45441934479007,2.12157112832393,649344.083333333,-7153.08333333337,21915.8551587302,660856.875,-18665.875,66560.8746279762,1328148,0.4835236735665,0.497860412757959
"Q3 2004",629947,-1.83720122106096,2.12157112832393,647870.666666667,-17923.6666666666,21915.8551587302,659765.34375,-29818.34375,66560.8746279762,1351480,0.466116405718176,0.497860412757959
"Q4 2004",624293,-2.70611868958026,2.12157112832393,645225.083333333,-20932.0833333334,21915.8551587302,658353.625,-34060.625,66560.8746279762,1367080,0.456661643795535,0.497860412757959
"Q1 2005",648924,-1.27400357220013,2.12157112832393,644496.833333333,4427.16666666663,21915.8551587302,657146.125,-8222.125,66560.8746279762,1380324,0.470124405574343,0.497860412757959
"Q2 2005",651394,1.43306274924438,2.12157112832393,644691,6703,21915.8551587302,656366.1875,-4972.1875,66560.8746279762,1399608,0.465411743859709,0.497860412757959
"Q3 2005",651977,3.49711959895039,2.12157112832393,644950.583333333,7026.41666666663,21915.8551587302,655719.5,-3742.5,66560.8746279762,1436992,0.45370955440253,0.497860412757959
"Q4 2005",653392,4.66111265063039,2.12157112832393,645676.5,7715.5,21915.8551587302,654949.9375,-1557.9375,66560.8746279762,1469436,0.444654956051165,0.497860412757959
"Q1 2006",660509,1.78526298919442,2.12157112832393,646249,14260,21915.8551587302,654136.03125,6372.96875,66560.8746279762,1476000,0.447499322493225,0.497860412757959
"Q2 2006",637643,-2.11101115453934,2.12157112832393,645080.166666667,-7437.16666666663,21915.8551587302,653030.78125,-15387.78125,66560.8746279762,1490716,0.427742775954642,0.497860412757959
"Q3 2006",635960,-2.45668175411096,2.12157112832393,644598.75,-8638.75,21915.8551587302,652129.9375,-16169.9375,66560.8746279762,1504936,0.422582754349687,0.497860412757959
"Q4 2006",646135,-1.11066557288733,2.12157112832393,644971.916666667,1163.08333333337,21915.8551587302,651070.1875,-4935.1875,66560.8746279762,1514764,0.426558196524343,0.497860412757959
"Q1 2007",646916,-2.05795833213476,2.12157112832393,644106.75,2809.25,21915.8551587302,649909.84375,-2993.84375,66560.8746279762,1547276,0.418099938213997,0.497860412757959
"Q2 2007",625471,-1.90890513970984,2.12157112832393,642713.416666667,-17242.4166666666,21915.8551587302,648590.15625,-23119.15625,66560.8746279762,1576612,0.396718406304151,0.497860412757959
"Q3 2007",611052,-3.91659852820932,2.12157112832393,641138.833333333,-30086.8333333334,21915.8551587302,647048.0625,-35996.0625,66560.8746279762,1582248,0.386192303608537,0.497860412757959
"Q4 2007",615892,-4.68060080323771,2.12157112832393,640438.75,-24546.75,21915.8551587302,645479.84375,-29587.84375,66560.8746279762,1604508,0.383850999808041,0.497860412757959
"Q1 2008",636904,-1.54765069962715,2.12157112832393,639437.083333333,-2533.08333333337,21915.8551587302,644591.5,-7687.5,66560.8746279762,1637296,0.388997468997664,0.497860412757959
"Q2 2008",660767,5.6431073542978,2.12157112832393,640218.166666667,20548.8333333334,21915.8551587302,644741.40625,16025.59375,66560.8746279762,1677448,0.393912061655562,0.497860412757959
"Q3 2008",663759,8.62561615050765,2.12157112832393,641200,22559,21915.8551587302,645183.8125,18575.1875,66560.8746279762,1694512,0.39171100588252,0.497860412757959
"Q4 2008",721293,17.1135523760659,2.12157112832393,646858.416666667,74434.5833333334,21915.8551587302,647472.40625,73820.59375,66560.8746279762,1618908,0.44554292152488,0.497860412757959
"Q1 2009",781846,22.7572758217879,2.12157112832393,656969.833333333,124876.166666667,21915.8551587302,650972.84375,130873.15625,66560.8746279762,1557232,0.502074193183803,0.497860412757959
"Q2 2009",768784,16.3472146762777,2.12157112832393,667898.25,100885.75,21915.8551587302,655155.84375,113628.15625,66560.8746279762,1548488,0.496473979778984,0.497860412757959
"Q3 2009",805992,21.4284100102597,2.12157112832393,682067.583333333,123924.416666667,21915.8551587302,660104.71875,145887.28125,66560.8746279762,1567924,0.514050425913501,0.497860412757959
"Q4 2009",817603,13.3524101855973,2.12157112832393,696356.583333333,121246.416666667,21915.8551587302,665153.5625,152449.4375,66560.8746279762,1611692,0.507294818116613,0.497860412757959
"Q1 2010",843624,7.90155606091225,2.12157112832393,712748.916666667,130875.083333333,21915.8551587302,670964.84375,172659.15625,66560.8746279762,1644032,0.513143296480847,0.497860412757959
"Q2 2010",835539,8.68319319860975,2.12157112832393,730254.583333333,105284.416666667,21915.8551587302,676792.1875,158746.8125,66560.8746279762,1653240,0.505394861000218,0.497860412757959
