"Period","General Gov External Debt","percent_change","average","three Year Trend","Deviation From 3 Year Trend","Mean of 3 Year Trend","eight Year Trend","Deviation From 8 Year Trend","Mean of 8 Year Trend","GDP","Ratio: General Gov External Debt to GDP","Mean_of_Ratio"
"Q1 1990",111922,NA,3.29079087377488,NA,NA,12842.9725378788,NA,NA,37160.1484375,691928,NA,0.184148064749742
"Q2 1990",113009,NA,3.29079087377488,NA,NA,12842.9725378788,NA,NA,37160.1484375,695624,NA,0.184148064749742
"Q3 1990",120486,NA,3.29079087377488,NA,NA,12842.9725378788,NA,NA,37160.1484375,697684,NA,0.184148064749742
"Q4 1990",127705,NA,3.29079087377488,NA,NA,12842.9725378788,NA,NA,37160.1484375,696768,NA,0.184148064749742
"Q1 1991",136508,NA,3.29079087377488,NA,NA,12842.9725378788,NA,NA,37160.1484375,694008,NA,0.184148064749742
"Q2 1991",137986,NA,3.29079087377488,NA,NA,12842.9725378788,NA,NA,37160.1484375,701572,NA,0.184148064749742
"Q3 1991",147352,NA,3.29079087377488,NA,NA,12842.9725378788,NA,NA,37160.1484375,704796,NA,0.184148064749742
"Q4 1991",157567,NA,3.29079087377488,NA,NA,12842.9725378788,NA,NA,37160.1484375,706716,NA,0.184148064749742
"Q1 1992",163085,NA,3.29079087377488,NA,NA,12842.9725378788,NA,NA,37160.1484375,710008,NA,0.184148064749742
"Q2 1992",171126,NA,3.29079087377488,NA,NA,12842.9725378788,NA,NA,37160.1484375,714744,NA,0.184148064749742
"Q3 1992",174605,NA,3.29079087377488,NA,NA,12842.9725378788,NA,NA,37160.1484375,721660,NA,0.184148064749742
"Q4 1992",180218,NA,3.29079087377488,NA,NA,12842.9725378788,NA,NA,37160.1484375,727332,NA,0.184148064749742
"Q1 1993",217009,NA,3.29079087377488,NA,NA,12842.9725378788,NA,NA,37160.1484375,733952,NA,0.184148064749742
"Q2 1993",222791,NA,3.29079087377488,NA,NA,12842.9725378788,NA,NA,37160.1484375,745360,NA,0.184148064749742
"Q3 1993",235140,NA,3.29079087377488,NA,NA,12842.9725378788,NA,NA,37160.1484375,750068,NA,0.184148064749742
"Q4 1993",233307,NA,3.29079087377488,NA,NA,12842.9725378788,NA,NA,37160.1484375,758768,NA,0.184148064749742
"Q1 1994",226305,NA,3.29079087377488,NA,NA,12842.9725378788,NA,NA,37160.1484375,772656,NA,0.184148064749742
"Q2 1994",239241,NA,3.29079087377488,NA,NA,12842.9725378788,NA,NA,37160.1484375,783660,NA,0.184148064749742
"Q3 1994",236841,NA,3.29079087377488,NA,NA,12842.9725378788,NA,NA,37160.1484375,800784,NA,0.184148064749742
"Q4 1994",236984,NA,3.29079087377488,NA,NA,12842.9725378788,NA,NA,37160.1484375,810788,NA,0.184148064749742
"Q1 1995",261442,NA,3.29079087377488,NA,NA,12842.9725378788,NA,NA,37160.1484375,823972,NA,0.184148064749742
"Q2 1995",263966,NA,3.29079087377488,NA,NA,12842.9725378788,NA,NA,37160.1484375,828856,NA,0.184148064749742
"Q3 1995",265779,NA,3.29079087377488,NA,NA,12842.9725378788,NA,NA,37160.1484375,832976,NA,0.184148064749742
"Q4 1995",263667,NA,3.29079087377488,NA,NA,12842.9725378788,NA,NA,37160.1484375,840680,NA,0.184148064749742
"Q1 1996",269395,NA,3.29079087377488,NA,NA,12842.9725378788,NA,NA,37160.1484375,844208,NA,0.184148064749742
"Q2 1996",264217,NA,3.29079087377488,NA,NA,12842.9725378788,NA,NA,37160.1484375,852904,NA,0.184148064749742
"Q3 1996",263873,NA,3.29079087377488,NA,NA,12842.9725378788,NA,NA,37160.1484375,864544,NA,0.184148064749742
"Q4 1996",265942,NA,3.29079087377488,NA,NA,12842.9725378788,NA,NA,37160.1484375,877680,NA,0.184148064749742
