"Period","General Gov Gross Debt","percent_change","average","three Year Trend","Deviation From 3 Year Trend","Mean of 3 Year Trend","eight Year Trend","Deviation From 8 Year Trend","Mean of 8 Year Trend","GDP","Ratio: General Gov Gross Debt to GDP","Mean_of_Ratio"
"Q1 1990",680517,NA,3.65886660965548,NA,NA,82495.4479166667,NA,NA,228011.432883523,691928,NA,1.0385999661551
"Q2 1990",686565,NA,3.65886660965548,NA,NA,82495.4479166667,NA,NA,228011.432883523,695624,NA,1.0385999661551
"Q3 1990",697617,NA,3.65886660965548,NA,NA,82495.4479166667,NA,NA,228011.432883523,697684,NA,1.0385999661551
"Q4 1990",710924,NA,3.65886660965548,NA,NA,82495.4479166667,NA,NA,228011.432883523,696768,NA,1.0385999661551
"Q1 1991",738948,NA,3.65886660965548,NA,NA,82495.4479166667,NA,NA,228011.432883523,694008,NA,1.0385999661551
"Q2 1991",751334,NA,3.65886660965548,NA,NA,82495.4479166667,NA,NA,228011.432883523,701572,NA,1.0385999661551
"Q3 1991",771252,NA,3.65886660965548,NA,NA,82495.4479166667,NA,NA,228011.432883523,704796,NA,1.0385999661551
"Q4 1991",785328,NA,3.65886660965548,NA,NA,82495.4479166667,NA,NA,228011.432883523,706716,NA,1.0385999661551
"Q1 1992",805551,NA,3.65886660965548,NA,NA,82495.4479166667,NA,NA,228011.432883523,710008,NA,1.0385999661551
"Q2 1992",825037,NA,3.65886660965548,NA,NA,82495.4479166667,NA,NA,228011.432883523,714744,NA,1.0385999661551
"Q3 1992",846427,NA,3.65886660965548,NA,NA,82495.4479166667,NA,NA,228011.432883523,721660,NA,1.0385999661551
"Q4 1992",854695,NA,3.65886660965548,NA,NA,82495.4479166667,NA,NA,228011.432883523,727332,NA,1.0385999661551
"Q1 1993",895736,NA,3.65886660965548,NA,NA,82495.4479166667,NA,NA,228011.432883523,733952,NA,1.0385999661551
"Q2 1993",915550,NA,3.65886660965548,NA,NA,82495.4479166667,NA,NA,228011.432883523,745360,NA,1.0385999661551
"Q3 1993",927893,NA,3.65886660965548,NA,NA,82495.4479166667,NA,NA,228011.432883523,750068,NA,1.0385999661551
"Q4 1993",942781,NA,3.65886660965548,NA,NA,82495.4479166667,NA,NA,228011.432883523,758768,NA,1.0385999661551
"Q1 1994",968462,NA,3.65886660965548,NA,NA,82495.4479166667,NA,NA,228011.432883523,772656,NA,1.0385999661551
"Q2 1994",988888,NA,3.65886660965548,NA,NA,82495.4479166667,NA,NA,228011.432883523,783660,NA,1.0385999661551
