"Period","Household Debt Service","percent_change","average","three Year Trend","Deviation From 3 Year Trend","Mean of 3 Year Trend","eight Year Trend","Deviation From 8 Year Trend","Mean of 8 Year Trend","Disposable Income","Ratio: Household Debt Service to Disposable Income","Mean_of_Ratio"
"Q1 1990",54768,NA,5.61201251016508,NA,NA,8645.64393939394,NA,NA,21809.5838068182,451180,NA,0.133844412494179
"Q2 1990",55796,NA,5.61201251016508,NA,NA,8645.64393939394,NA,NA,21809.5838068182,441968,NA,0.133844412494179
"Q3 1990",56544,NA,5.61201251016508,NA,NA,8645.64393939394,NA,NA,21809.5838068182,455472,NA,0.133844412494179
"Q4 1990",56716,NA,5.61201251016508,NA,NA,8645.64393939394,NA,NA,21809.5838068182,463380,NA,0.133844412494179
"Q1 1991",56824,NA,5.61201251016508,NA,NA,8645.64393939394,NA,NA,21809.5838068182,468720,NA,0.133844412494179
"Q2 1991",55844,NA,5.61201251016508,NA,NA,8645.64393939394,NA,NA,21809.5838068182,462652,NA,0.133844412494179
"Q3 1991",55884,NA,5.61201251016508,NA,NA,8645.64393939394,NA,NA,21809.5838068182,470252,NA,0.133844412494179
"Q4 1991",55596,NA,5.61201251016508,NA,NA,8645.64393939394,NA,NA,21809.5838068182,473276,NA,0.133844412494179
"Q1 1992",54808,NA,5.61201251016508,NA,NA,8645.64393939394,NA,NA,21809.5838068182,467892,NA,0.133844412494179
"Q2 1992",54740,NA,5.61201251016508,NA,NA,8645.64393939394,NA,NA,21809.5838068182,476264,NA,0.133844412494179
"Q3 1992",54432,NA,5.61201251016508,NA,NA,8645.64393939394,NA,NA,21809.5838068182,489052,NA,0.133844412494179
"Q4 1992",55416,NA,5.61201251016508,NA,NA,8645.64393939394,NA,NA,21809.5838068182,482600,NA,0.133844412494179
"Q1 1993",53876,NA,5.61201251016508,NA,NA,8645.64393939394,NA,NA,21809.5838068182,483656,NA,0.133844412494179
"Q2 1993",53236,NA,5.61201251016508,NA,NA,8645.64393939394,NA,NA,21809.5838068182,502508,NA,0.133844412494179
"Q3 1993",53028,NA,5.61201251016508,NA,NA,8645.64393939394,NA,NA,21809.5838068182,487656,NA,0.133844412494179
"Q4 1993",53400,NA,5.61201251016508,NA,NA,8645.64393939394,NA,NA,21809.5838068182,484864,NA,0.133844412494179
"Q1 1994",54180,NA,5.61201251016508,NA,NA,8645.64393939394,NA,NA,21809.5838068182,492732,NA,0.133844412494179
"Q2 1994",54716,NA,5.61201251016508,NA,NA,8645.64393939394,NA,NA,21809.5838068182,497228,NA,0.133844412494179
"Q3 1994",56140,NA,5.61201251016508,NA,NA,8645.64393939394,NA,NA,21809.5838068182,498148,NA,0.133844412494179
"Q4 1994",57280,NA,5.61201251016508,NA,NA,8645.64393939394,NA,NA,21809.5838068182,504648,NA,0.133844412494179
"Q1 1995",60204,NA,5.61201251016508,NA,NA,8645.64393939394,NA,NA,21809.5838068182,509136,NA,0.133844412494179
"Q2 1995",60520,NA,5.61201251016508,NA,NA,8645.64393939394,NA,NA,21809.5838068182,514488,NA,0.133844412494179
"Q3 1995",60604,NA,5.61201251016508,NA,NA,8645.64393939394,NA,NA,21809.5838068182,514180,NA,0.133844412494179
"Q4 1995",60920,NA,5.61201251016508,NA,NA,8645.64393939394,NA,NA,21809.5838068182,517280,NA,0.133844412494179
"Q1 1996",61240,NA,5.61201251016508,NA,NA,8645.64393939394,NA,NA,21809.5838068182,520056,NA,0.133844412494179
"Q2 1996",61732,NA,5.61201251016508,NA,NA,8645.64393939394,NA,NA,21809.5838068182,521268,NA,0.133844412494179
"Q3 1996",62124,NA,5.61201251016508,NA,NA,8645.64393939394,NA,NA,21809.5838068182,522120,NA,0.133844412494179
"Q4 1996",61860,NA,5.61201251016508,NA,NA,8645.64393939394,NA,NA,21809.5838068182,526812,NA,0.133844412494179
"Q1 1997",62248,NA,5.61201251016508,NA,NA,8645.64393939394,NA,NA,21809.5838068182,529584,NA,0.133844412494179
"Q2 1997",62608,NA,5.61201251016508,NA,NA,8645.64393939394,NA,NA,21809.5838068182,531280,NA,0.133844412494179
"Q3 1997",63376,NA,5.61201251016508,NA,NA,8645.64393939394,NA,NA,21809.5838068182,545144,NA,0.133844412494179
"Q4 1997",64824,NA,5.61201251016508,NA,NA,8645.64393939394,NA,NA,21809.5838068182,550224,NA,0.133844412494179
"Q1 1998",66900,7.47333247654543,5.61201251016508,62413,4487,8645.64393939394,58050.5,8849.5,21809.5838068182,553956,0.12076771440331,0.133844412494179
"Q2 1998",67824,8.33120368004089,5.61201251016508,63021.6666666667,4802.33333333334,8645.64393939394,58426.375,9397.625,21809.5838068182,556584,0.121857617179078,0.133844412494179
"Q3 1998",69832,10.1868215097198,5.61201251016508,63790.6666666667,6041.33333333334,8645.64393939394,58841.625,10990.375,21809.5838068182,570504,0.1224040497525,0.133844412494179
"Q4 1998",70592,8.89793903492534,5.61201251016508,64596.6666666667,5995.33333333334,8645.64393939394,59275.25,11316.75,21809.5838068182,579940,0.121722936855537,0.133844412494179
"Q1 1999",70748,5.75186846038864,5.61201251016508,65389,5359,8645.64393939394,59710.375,11037.625,21809.5838068182,581368,0.121692284405058,0.133844412494179
"Q2 1999",70348,3.72139655579146,5.61201251016508,66107,4241,8645.64393939394,60163.625,10184.375,21809.5838068182,589616,0.119311551925321,0.133844412494179
"Q3 1999",70832,1.43200824836751,5.61201251016508,66832.6666666667,3999.33333333333,8645.64393939394,60630.75,10201.25,21809.5838068182,596788,0.118688713580032,0.133844412494179
"Q4 1999",72392,2.54986400725295,5.61201251016508,67710.3333333333,4681.66666666667,8645.64393939394,61155.625,11236.375,21809.5838068182,603696,0.119914659033686,0.133844412494179
"Q1 2000",74228,4.91886696443716,5.61201251016508,68708.6666666667,5519.33333333333,8645.64393939394,61762.5,12465.5,21809.5838068182,613284,0.121033648358672,0.133844412494179
"Q2 2000",76532,8.79058395405697,5.61201251016508,69869,6663,8645.64393939394,62443.5,14088.5,21809.5838068182,625544,0.122344711163403,0.133844412494179
"Q3 2000",78064,10.2100745425796,5.61201251016508,71093,6971,8645.64393939394,63182,14882,21809.5838068182,639336,0.122101680493512,0.133844412494179
"Q4 2000",79492,9.80771355950934,5.61201251016508,72315.3333333333,7176.66666666667,8645.64393939394,63934.375,15557.625,21809.5838068182,650680,0.122167578533227,0.133844412494179
"Q1 2001",80032,7.81915180255429,5.61201251016508,73409.6666666667,6622.33333333333,8645.64393939394,64751.75,15280.25,21809.5838068182,669880,0.119472144264644,0.133844412494179
"Q2 2001",79904,4.40600010453144,5.61201251016508,74416.3333333333,5487.66666666667,8645.64393939394,65585.125,14318.875,21809.5838068182,656916,0.121635034007392,0.133844412494179
"Q3 2001",79776,2.19307235089158,5.61201251016508,75245,4531,8645.64393939394,66421,13355,21809.5838068182,671612,0.118782868680131,0.133844412494179
"Q4 2001",78836,-0.825240275751019,5.61201251016508,75932,2904,8645.64393939394,67215.875,11620.125,21809.5838068182,675520,0.116704168640455,0.133844412494179
"Q1 2002",79164,-1.08456617353059,5.61201251016508,76633.3333333333,2530.66666666667,8645.64393939394,67996.625,11167.375,21809.5838068182,683328,0.115850660297836,0.133844412494179
"Q2 2002",80096,0.240288346015218,5.61201251016508,77445.6666666667,2650.33333333333,8645.64393939394,68789.75,11306.25,21809.5838068182,684816,0.116959884114857,0.133844412494179
"Q3 2002",82084,2.89310068190935,5.61201251016508,78383.3333333333,3700.66666666667,8645.64393939394,69600.5,12483.5,21809.5838068182,697192,0.117735143260393,0.133844412494179
"Q4 2002",83388,5.77401187274849,5.61201251016508,79299.6666666667,4088.33333333333,8645.64393939394,70416.375,12971.625,21809.5838068182,704576,0.118352030157144,0.133844412494179
"Q1 2003",85252,7.69036430700824,5.61201251016508,80218.3333333333,5033.66666666667,8645.64393939394,71199.125,14052.875,21809.5838068182,714180,0.119370466829091,0.133844412494179
"Q2 2003",86928,8.52976428286057,5.61201251016508,81084.6666666667,5843.33333333333,8645.64393939394,72024.375,14903.625,21809.5838068182,711440,0.122185988980097,0.133844412494179
"Q3 2003",88112,7.3436967009405,5.61201251016508,81922,6190,8645.64393939394,72884,15228,21809.5838068182,715120,0.123212887347578,0.133844412494179
"Q4 2003",89256,7.03698373866743,5.61201251016508,82735.6666666667,6520.33333333333,8645.64393939394,73769.5,15486.5,21809.5838068182,722328,0.123567132936838,0.133844412494179
"Q1 2004",90428,6.07141181438559,5.61201251016508,83602,6826,8645.64393939394,74681.625,15746.375,21809.5838068182,732408,0.123466701619862,0.133844412494179
"Q2 2004",91560,5.32854776366648,5.61201251016508,84573.3333333333,6986.66666666667,8645.64393939394,75613.75,15946.25,21809.5838068182,748368,0.122346225386441,0.133844412494179
"Q3 2004",92912,5.44761213001634,5.61201251016508,85668,7244,8645.64393939394,76575.875,16336.125,21809.5838068182,756484,0.122820839568319,0.133844412494179
"Q4 2004",95396,6.87908936093932,5.61201251016508,87048,8348,8645.64393939394,77623.875,17772.125,21809.5838068182,760552,0.125429950877783,0.133844412494179
"Q1 2005",98648,9.09010483478569,5.61201251016508,88671.6666666667,9976.33333333333,8645.64393939394,78761.375,19886.625,21809.5838068182,760708,0.129679193593337,0.133844412494179
"Q2 2005",101268,10.6028833551769,5.61201251016508,90436,10832,8645.64393939394,79969.5,21298.5,21809.5838068182,777676,0.130218754339854,0.133844412494179
"Q3 2005",103152,11.0211813328741,5.61201251016508,92191.6666666667,10960.3333333333,8645.64393939394,81212.5,21939.5,21809.5838068182,783996,0.131572099857652,0.133844412494179
"Q4 2005",106472,11.6105497085832,5.61201251016508,94115.3333333333,12356.6666666667,8645.64393939394,82514,23958,21809.5838068182,796660,0.133647980317827,0.133844412494179
"Q1 2006",109820,11.3251155624037,5.61201251016508,96162.6666666667,13657.3333333333,8645.64393939394,83855.25,25964.75,21809.5838068182,823580,0.133344665970519,0.133844412494179
"Q2 2006",114104,12.6752774815341,5.61201251016508,98427.3333333333,15676.6666666667,8645.64393939394,85301.5,28802.5,21809.5838068182,827784,0.137842722256047,0.133844412494179
"Q3 2006",117920,14.3167364665736,5.61201251016508,100911.333333333,17008.6666666667,8645.64393939394,86804.25,31115.75,21809.5838068182,851648,0.138460960396784,0.133844412494179
"Q4 2006",120968,13.6148470959501,5.61201251016508,103554,17414,8645.64393939394,88378.5,32589.5,21809.5838068182,868544,0.139276766634736,0.133844412494179
"Q1 2007",124360,13.2398470224003,5.61201251016508,106381.666666667,17978.3333333333,8645.64393939394,90053.875,34306.125,21809.5838068182,886796,0.140235183740116,0.133844412494179
"Q2 2007",127816,12.0171072004487,5.61201251016508,109403,18413,8645.64393939394,91849.75,35966.25,21809.5838068182,887956,0.143944069300731,0.133844412494179
"Q3 2007",131704,11.6892808683853,5.61201251016508,112635.666666667,19068.3333333333,8645.64393939394,93752,37952,21809.5838068182,894304,0.147269832182345,0.133844412494179
"Q4 2007",135416,11.9436545202037,5.61201251016508,115970.666666667,19445.3333333333,8645.64393939394,95721.5,39694.5,21809.5838068182,910768,0.148683309031499,0.133844412494179
"Q1 2008",136272,9.57864265036989,5.61201251016508,119106,17166,8645.64393939394,97660.375,38611.625,21809.5838068182,926692,0.147052094978698,0.133844412494179
"Q2 2008",137192,7.33554484571572,5.61201251016508,122099.666666667,15092.3333333333,8645.64393939394,99556,37636,21809.5838068182,940840,0.145818630160282,0.133844412494179
"Q3 2008",137724,4.57085585859199,5.61201251016508,124980.666666667,12743.3333333333,8645.64393939394,101420.375,36303.625,21809.5838068182,957392,0.143853301468991,0.133844412494179
"Q4 2008",136224,0.596679860577775,5.61201251016508,127460,8764,8645.64393939394,103193.25,33030.75,21809.5838068182,952360,0.143038346843631,0.133844412494179
"Q1 2009",132836,-2.52142773276975,5.61201251016508,129378,3458,8645.64393939394,104843.375,27992.625,21809.5838068182,945244,0.140530910537385,0.133844412494179
"Q2 2009",132024,-3.76698349758003,5.61201251016508,130871.333333333,1152.66666666667,8645.64393939394,106472.125,25551.875,21809.5838068182,946432,0.139496551257777,0.133844412494179
"Q3 2009",131932,-4.20551247422381,5.61201251016508,132039,-107,8645.64393939394,108102,23830,21809.5838068182,962956,0.137007298360465,0.133844412494179
"Q4 2009",133088,-2.3020906741837,5.61201251016508,133049,39,8645.64393939394,109797.375,23290.625,21809.5838068182,975580,0.136419360790504,0.133844412494179
"Q1 2010",135460,1.97536812309916,5.61201251016508,133974,1486,8645.64393939394,111556.625,23903.375,21809.5838068182,997484,0.135801677019381,0.133844412494179
"Q2 2010",137788,4.3658728715991,5.61201251016508,134805,2983,8645.64393939394,113359.5,24428.5,21809.5838068182,987456,0.139538369304556,0.133844412494179
"Q3 2010",139744,5.9212321498954,5.61201251016508,135475,4269,8645.64393939394,115161.375,24582.625,21809.5838068182,1001348,0.139555878675545,0.133844412494179
"Q4 2010",141340,6.20040875210387,5.61201251016508,135968.666666667,5371.33333333334,8645.64393939394,116972.375,24367.625,21809.5838068182,1019584,0.138625164773084,0.133844412494179
"Q1 2011",142644,5.3034106009154,5.61201251016508,136499.666666667,6144.33333333334,8645.64393939394,118765.875,23878.125,21809.5838068182,1026676,0.13893769796898,0.133844412494179
"Q2 2011",143920,4.45031497663077,5.61201251016508,137060.333333333,6859.66666666666,8645.64393939394,120546.875,23373.125,21809.5838068182,1028388,0.139947179469228,0.133844412494179
"Q3 2011",144592,3.46920082436455,5.61201251016508,137632.666666667,6959.33333333334,8645.64393939394,122311.875,22280.125,21809.5838068182,1037960,0.139304019422714,0.133844412494179
