"Period","Households Interest Paid","percent_change","average","three Year Trend","Deviation From 3 Year Trend","Mean of 3 Year Trend","eight Year Trend","Deviation From 8 Year Trend","Mean of 8 Year Trend","GDP","Ratio: Households Interest Paid to GDP","Mean_of_Ratio"
"Q1 1990",47900,NA,4.18062916160539,NA,NA,3301.64772727273,NA,NA,7363.04119318182,403280,NA,0.0804215013388317
"Q2 1990",49316,NA,4.18062916160539,NA,NA,3301.64772727273,NA,NA,7363.04119318182,392652,NA,0.0804215013388317
"Q3 1990",50484,NA,4.18062916160539,NA,NA,3301.64772727273,NA,NA,7363.04119318182,404988,NA,0.0804215013388317
"Q4 1990",51148,NA,4.18062916160539,NA,NA,3301.64772727273,NA,NA,7363.04119318182,412232,NA,0.0804215013388317
"Q1 1991",51488,NA,4.18062916160539,NA,NA,3301.64772727273,NA,NA,7363.04119318182,417232,NA,0.0804215013388317
"Q2 1991",50612,NA,4.18062916160539,NA,NA,3301.64772727273,NA,NA,7363.04119318182,412040,NA,0.0804215013388317
"Q3 1991",50052,NA,4.18062916160539,NA,NA,3301.64772727273,NA,NA,7363.04119318182,420200,NA,0.0804215013388317
"Q4 1991",49208,NA,4.18062916160539,NA,NA,3301.64772727273,NA,NA,7363.04119318182,424068,NA,0.0804215013388317
"Q1 1992",47964,NA,4.18062916160539,NA,NA,3301.64772727273,NA,NA,7363.04119318182,419928,NA,0.0804215013388317
"Q2 1992",47448,NA,4.18062916160539,NA,NA,3301.64772727273,NA,NA,7363.04119318182,428816,NA,0.0804215013388317
"Q3 1992",46736,NA,4.18062916160539,NA,NA,3301.64772727273,NA,NA,7363.04119318182,442316,NA,0.0804215013388317
"Q4 1992",47076,NA,4.18062916160539,NA,NA,3301.64772727273,NA,NA,7363.04119318182,435524,NA,0.0804215013388317
"Q1 1993",44380,NA,4.18062916160539,NA,NA,3301.64772727273,NA,NA,7363.04119318182,439276,NA,0.0804215013388317
"Q2 1993",43924,NA,4.18062916160539,NA,NA,3301.64772727273,NA,NA,7363.04119318182,458584,NA,0.0804215013388317
"Q3 1993",42952,NA,4.18062916160539,NA,NA,3301.64772727273,NA,NA,7363.04119318182,444704,NA,0.0804215013388317
"Q4 1993",42768,NA,4.18062916160539,NA,NA,3301.64772727273,NA,NA,7363.04119318182,442096,NA,0.0804215013388317
"Q1 1994",42724,NA,4.18062916160539,NA,NA,3301.64772727273,NA,NA,7363.04119318182,450008,NA,0.0804215013388317
"Q2 1994",42708,NA,4.18062916160539,NA,NA,3301.64772727273,NA,NA,7363.04119318182,454520,NA,0.0804215013388317
"Q3 1994",44004,NA,4.18062916160539,NA,NA,3301.64772727273,NA,NA,7363.04119318182,454144,NA,0.0804215013388317
"Q4 1994",45012,NA,4.18062916160539,NA,NA,3301.64772727273,NA,NA,7363.04119318182,459636,NA,0.0804215013388317
"Q1 1995",47220,NA,4.18062916160539,NA,NA,3301.64772727273,NA,NA,7363.04119318182,461916,NA,0.0804215013388317
"Q2 1995",48604,NA,4.18062916160539,NA,NA,3301.64772727273,NA,NA,7363.04119318182,465884,NA,0.0804215013388317
"Q3 1995",48344,NA,4.18062916160539,NA,NA,3301.64772727273,NA,NA,7363.04119318182,465836,NA,0.0804215013388317
"Q4 1995",48208,NA,4.18062916160539,NA,NA,3301.64772727273,NA,NA,7363.04119318182,469072,NA,0.0804215013388317
"Q1 1996",47896,NA,4.18062916160539,NA,NA,3301.64772727273,NA,NA,7363.04119318182,472160,NA,0.0804215013388317
"Q2 1996",47568,NA,4.18062916160539,NA,NA,3301.64772727273,NA,NA,7363.04119318182,473700,NA,0.0804215013388317
"Q3 1996",46788,NA,4.18062916160539,NA,NA,3301.64772727273,NA,NA,7363.04119318182,475332,NA,0.0804215013388317
"Q4 1996",45892,NA,4.18062916160539,NA,NA,3301.64772727273,NA,NA,7363.04119318182,480920,NA,0.0804215013388317
"Q1 1997",44288,NA,4.18062916160539,NA,NA,3301.64772727273,NA,NA,7363.04119318182,485296,NA,0.0804215013388317
"Q2 1997",43944,NA,4.18062916160539,NA,NA,3301.64772727273,NA,NA,7363.04119318182,487336,NA,0.0804215013388317
"Q3 1997",43864,NA,4.18062916160539,NA,NA,3301.64772727273,NA,NA,7363.04119318182,501280,NA,0.0804215013388317
"Q4 1997",44412,NA,4.18062916160539,NA,NA,3301.64772727273,NA,NA,7363.04119318182,505812,NA,0.0804215013388317
"Q1 1998",45588,2.9353323699422,4.18062916160539,46283,-695,3301.64772727273,46644.375,-1056.375,7363.04119318182,508368,0.0896751959210651,0.0804215013388317
"Q2 1998",45964,4.59675951210632,4.18062916160539,46063,-99,3301.64772727273,46539.625,-575.625,7363.04119318182,510620,0.0900160589087776,0.0804215013388317
"Q3 1998",47112,7.40470545321904,4.18062916160539,45960.3333333333,1151.66666666666,3301.64772727273,46434.25,677.75,7363.04119318182,523392,0.0900128393250183,0.0804215013388317
"Q4 1998",47972,8.0158515716473,4.18062916160539,45940.6666666667,2031.33333333334,3301.64772727273,46335,1637,7363.04119318182,531968,0.0901783565928778,0.0804215013388317
"Q1 1999",47064,3.23769413003422,4.18062916160539,45871.3333333333,1192.66666666666,3301.64772727273,46196.75,867.25,7363.04119318182,534304,0.0880846858717135,0.0804215013388317
"Q2 1999",46476,1.11391523801236,4.18062916160539,45780.3333333333,695.666666666664,3301.64772727273,46067.5,408.5,7363.04119318182,543140,0.0855690982067239,0.0804215013388317
"Q3 1999",46276,-1.77449482085244,4.18062916160539,45737.6666666667,538.333333333336,3301.64772727273,45949.5,326.5,7363.04119318182,550512,0.0840599296654751,0.0804215013388317
"Q4 1999",46612,-2.83498707579421,4.18062916160539,45797.6666666667,814.333333333336,3301.64772727273,45868.375,743.625,7363.04119318182,557084,0.0836714032354187,0.0804215013388317
"Q1 2000",49616,5.42240353561108,4.18062916160539,46241.6666666667,3374.33333333334,3301.64772727273,45920,3696,7363.04119318182,563668,0.0880234464259103,0.0804215013388317
"Q2 2000",52336,12.6086582322059,4.18062916160539,46941,5395,3301.64772727273,46072.75,6263.25,7363.04119318182,573208,0.091303680339423,0.0804215013388317
"Q3 2000",53300,15.17849425188,4.18062916160539,47727.3333333333,5572.66666666666,3301.64772727273,46277.875,7022.125,7363.04119318182,586036,0.0909500440245992,0.0804215013388317
"Q4 2000",54876,17.7293400840985,4.18062916160539,48599.3333333333,6276.66666666666,3301.64772727273,46521.625,8354.375,7363.04119318182,595804,0.0921041147760002,0.0804215013388317
