"Period","Income Cross-Border Financial Asset","percent_change","average","three Year Trend","Deviation From 3 Year Trend","Mean of 3 Year Trend","eight Year Trend","Deviation From 8 Year Trend","Mean of 8 Year Trend","GDP","Ratio: Income Cross-Border Financial Asset to GDP","Mean_of_Ratio"
"Q1 1981",2191,NA,8.79394507192908,NA,NA,1711.61363636364,NA,NA,4051.07421875,355992,NA,0.00982547485180916
"Q2 1981",2911,NA,8.79394507192908,NA,NA,1711.61363636364,NA,NA,4051.07421875,367992,NA,0.00982547485180916
"Q3 1981",3002,NA,8.79394507192908,NA,NA,1711.61363636364,NA,NA,4051.07421875,372820,NA,0.00982547485180916
"Q4 1981",3064,NA,8.79394507192908,NA,NA,1711.61363636364,NA,NA,4051.07421875,376628,NA,0.00982547485180916
"Q1 1982",3788,NA,8.79394507192908,NA,NA,1711.61363636364,NA,NA,4051.07421875,383004,NA,0.00982547485180916
"Q2 1982",3637,NA,8.79394507192908,NA,NA,1711.61363636364,NA,NA,4051.07421875,386516,NA,0.00982547485180916
"Q3 1982",3620,NA,8.79394507192908,NA,NA,1711.61363636364,NA,NA,4051.07421875,389560,NA,0.00982547485180916
"Q4 1982",2994,NA,8.79394507192908,NA,NA,1711.61363636364,NA,NA,4051.07421875,393644,NA,0.00982547485180916
"Q1 1983",2478,NA,8.79394507192908,NA,NA,1711.61363636364,NA,NA,4051.07421875,403236,NA,0.00982547485180916
"Q2 1983",2439,NA,8.79394507192908,NA,NA,1711.61363636364,NA,NA,4051.07421875,415804,NA,0.00982547485180916
"Q3 1983",2735,NA,8.79394507192908,NA,NA,1711.61363636364,NA,NA,4051.07421875,428960,NA,0.00982547485180916
"Q4 1983",2544,NA,8.79394507192908,NA,NA,1711.61363636364,NA,NA,4051.07421875,437264,NA,0.00982547485180916
"Q1 1984",3084,NA,8.79394507192908,NA,NA,1711.61363636364,NA,NA,4051.07421875,447840,NA,0.00982547485180916
"Q2 1984",3524,NA,8.79394507192908,NA,NA,1711.61363636364,NA,NA,4051.07421875,459552,NA,0.00982547485180916
"Q3 1984",4026,NA,8.79394507192908,NA,NA,1711.61363636364,NA,NA,4051.07421875,465180,NA,0.00982547485180916
"Q4 1984",3653,NA,8.79394507192908,NA,NA,1711.61363636364,NA,NA,4051.07421875,475372,NA,0.00982547485180916
"Q1 1985",3621,NA,8.79394507192908,NA,NA,1711.61363636364,NA,NA,4051.07421875,486096,NA,0.00982547485180916
"Q2 1985",3188,NA,8.79394507192908,NA,NA,1711.61363636364,NA,NA,4051.07421875,495352,NA,0.00982547485180916
"Q3 1985",3508,NA,8.79394507192908,NA,NA,1711.61363636364,NA,NA,4051.07421875,503872,NA,0.00982547485180916
"Q4 1985",3286,NA,8.79394507192908,NA,NA,1711.61363636364,NA,NA,4051.07421875,514788,NA,0.00982547485180916
"Q1 1986",2772,NA,8.79394507192908,NA,NA,1711.61363636364,NA,NA,4051.07421875,518612,NA,0.00982547485180916
"Q2 1986",2877,NA,8.79394507192908,NA,NA,1711.61363636364,NA,NA,4051.07421875,523844,NA,0.00982547485180916
"Q3 1986",2833,NA,8.79394507192908,NA,NA,1711.61363636364,NA,NA,4051.07421875,530220,NA,0.00982547485180916
"Q4 1986",2942,NA,8.79394507192908,NA,NA,1711.61363636364,NA,NA,4051.07421875,533844,NA,0.00982547485180916
"Q1 1987",2694,NA,8.79394507192908,NA,NA,1711.61363636364,NA,NA,4051.07421875,552484,NA,0.00982547485180916
"Q2 1987",3005,NA,8.79394507192908,NA,NA,1711.61363636364,NA,NA,4051.07421875,567420,NA,0.00982547485180916
"Q3 1987",2848,NA,8.79394507192908,NA,NA,1711.61363636364,NA,NA,4051.07421875,581680,NA,0.00982547485180916
"Q4 1987",3416,NA,8.79394507192908,NA,NA,1711.61363636364,NA,NA,4051.07421875,595760,NA,0.00982547485180916
"Q1 1988",4142,NA,8.79394507192908,NA,NA,1711.61363636364,NA,NA,4051.07421875,610948,NA,0.00982547485180916
"Q2 1988",3296,NA,8.79394507192908,NA,NA,1711.61363636364,NA,NA,4051.07421875,621168,NA,0.00982547485180916
"Q3 1988",3720,NA,8.79394507192908,NA,NA,1711.61363636364,NA,NA,4051.07421875,631392,NA,0.00982547485180916
"Q4 1988",5288,NA,8.79394507192908,NA,NA,1711.61363636364,NA,NA,4051.07421875,644068,NA,0.00982547485180916
"Q1 1989",4040,NA,8.79394507192908,NA,NA,1711.61363636364,NA,NA,4051.07421875,656160,NA,0.00982547485180916
"Q2 1989",4075,NA,8.79394507192908,NA,NA,1711.61363636364,NA,NA,4051.07421875,669792,NA,0.00982547485180916
"Q3 1989",3703,NA,8.79394507192908,NA,NA,1711.61363636364,NA,NA,4051.07421875,679132,NA,0.00982547485180916
"Q4 1989",4196,NA,8.79394507192908,NA,NA,1711.61363636364,NA,NA,4051.07421875,681232,NA,0.00982547485180916
"Q1 1990",4142,NA,8.79394507192908,NA,NA,1711.61363636364,NA,NA,4051.07421875,691928,NA,0.00982547485180916
