"Period","Inward Cross-Border Deposits","percent_change","average","three Year Trend","Deviation From 3 Year Trend","Mean of 3 Year Trend","eight Year Trend","Deviation From 8 Year Trend","Mean of 8 Year Trend","GDP","Ratio: Inward Cross-Border Deposits to GDP","Mean_of_Ratio"
"Q1 1990",86828,NA,7.47130501398267,NA,NA,29680.7935606061,NA,NA,74239.4350142045,691928,NA,0.183929252820305
"Q2 1990",93897,NA,7.47130501398267,NA,NA,29680.7935606061,NA,NA,74239.4350142045,695624,NA,0.183929252820305
"Q3 1990",95996,NA,7.47130501398267,NA,NA,29680.7935606061,NA,NA,74239.4350142045,697684,NA,0.183929252820305
"Q4 1990",96099,NA,7.47130501398267,NA,NA,29680.7935606061,NA,NA,74239.4350142045,696768,NA,0.183929252820305
"Q1 1991",95726,NA,7.47130501398267,NA,NA,29680.7935606061,NA,NA,74239.4350142045,694008,NA,0.183929252820305
"Q2 1991",89915,NA,7.47130501398267,NA,NA,29680.7935606061,NA,NA,74239.4350142045,701572,NA,0.183929252820305
"Q3 1991",89350,NA,7.47130501398267,NA,NA,29680.7935606061,NA,NA,74239.4350142045,704796,NA,0.183929252820305
"Q4 1991",93035,NA,7.47130501398267,NA,NA,29680.7935606061,NA,NA,74239.4350142045,706716,NA,0.183929252820305
"Q1 1992",90837,NA,7.47130501398267,NA,NA,29680.7935606061,NA,NA,74239.4350142045,710008,NA,0.183929252820305
"Q2 1992",94892,NA,7.47130501398267,NA,NA,29680.7935606061,NA,NA,74239.4350142045,714744,NA,0.183929252820305
"Q3 1992",100036,NA,7.47130501398267,NA,NA,29680.7935606061,NA,NA,74239.4350142045,721660,NA,0.183929252820305
"Q4 1992",96504,NA,7.47130501398267,NA,NA,29680.7935606061,NA,NA,74239.4350142045,727332,NA,0.183929252820305
"Q1 1993",86001,NA,7.47130501398267,NA,NA,29680.7935606061,NA,NA,74239.4350142045,733952,NA,0.183929252820305
"Q2 1993",82843,NA,7.47130501398267,NA,NA,29680.7935606061,NA,NA,74239.4350142045,745360,NA,0.183929252820305
"Q3 1993",86641,NA,7.47130501398267,NA,NA,29680.7935606061,NA,NA,74239.4350142045,750068,NA,0.183929252820305
"Q4 1993",91379,NA,7.47130501398267,NA,NA,29680.7935606061,NA,NA,74239.4350142045,758768,NA,0.183929252820305
"Q1 1994",96364,NA,7.47130501398267,NA,NA,29680.7935606061,NA,NA,74239.4350142045,772656,NA,0.183929252820305
"Q2 1994",105271,NA,7.47130501398267,NA,NA,29680.7935606061,NA,NA,74239.4350142045,783660,NA,0.183929252820305
"Q3 1994",103927,NA,7.47130501398267,NA,NA,29680.7935606061,NA,NA,74239.4350142045,800784,NA,0.183929252820305
"Q4 1994",118054,NA,7.47130501398267,NA,NA,29680.7935606061,NA,NA,74239.4350142045,810788,NA,0.183929252820305
"Q1 1995",127774,NA,7.47130501398267,NA,NA,29680.7935606061,NA,NA,74239.4350142045,823972,NA,0.183929252820305
"Q2 1995",119549,NA,7.47130501398267,NA,NA,29680.7935606061,NA,NA,74239.4350142045,828856,NA,0.183929252820305
"Q3 1995",107031,NA,7.47130501398267,NA,NA,29680.7935606061,NA,NA,74239.4350142045,832976,NA,0.183929252820305
"Q4 1995",109462,NA,7.47130501398267,NA,NA,29680.7935606061,NA,NA,74239.4350142045,840680,NA,0.183929252820305
"Q1 1996",106832,NA,7.47130501398267,NA,NA,29680.7935606061,NA,NA,74239.4350142045,844208,NA,0.183929252820305
"Q2 1996",109020,NA,7.47130501398267,NA,NA,29680.7935606061,NA,NA,74239.4350142045,852904,NA,0.183929252820305
"Q3 1996",108301,NA,7.47130501398267,NA,NA,29680.7935606061,NA,NA,74239.4350142045,864544,NA,0.183929252820305
"Q4 1996",126992,NA,7.47130501398267,NA,NA,29680.7935606061,NA,NA,74239.4350142045,877680,NA,0.183929252820305
"Q1 1997",146071,NA,7.47130501398267,NA,NA,29680.7935606061,NA,NA,74239.4350142045,891748,NA,0.183929252820305
"Q2 1997",150051,NA,7.47130501398267,NA,NA,29680.7935606061,NA,NA,74239.4350142045,899412,NA,0.183929252820305
"Q3 1997",140538,NA,7.47130501398267,NA,NA,29680.7935606061,NA,NA,74239.4350142045,912564,NA,0.183929252820305
"Q4 1997",165629,NA,7.47130501398267,NA,NA,29680.7935606061,NA,NA,74239.4350142045,923980,NA,0.183929252820305
"Q1 1998",170048,16.4146202873945,7.47130501398267,129960.333333333,40087.6666666667,29680.7935606061,109189.53125,60858.46875,74239.4350142045,934612,0.181945021035467,0.183929252820305
"Q2 1998",168374,12.2111815316126,7.47130501398267,134029.083333333,34344.9166666667,29680.7935606061,111516.9375,56857.0625,74239.4350142045,935212,0.180038322861554,0.183929252820305
"Q3 1998",173684,23.5850801918342,7.47130501398267,139583.5,34100.5,29680.7935606061,113944.6875,59739.3125,74239.4350142045,938872,0.18499220341005,0.183929252820305
"Q4 1998",183589,10.8435117038683,7.47130501398267,145760.75,37828.25,29680.7935606061,116678.75,66910.25,74239.4350142045,953496,0.192543020631445,0.183929252820305
"Q1 1999",165180,-2.86272111403839,7.47130501398267,150623.083333333,14556.9166666667,29680.7935606061,118849.1875,46330.8125,74239.4350142045,975240,0.169373692629507,0.183929252820305
"Q2 1999",143835,-14.5741028899949,7.47130501398267,153524.333333333,-9689.33333333334,29680.7935606061,120534.1875,23300.8125,74239.4350142045,994172,0.144678184459027,0.183929252820305
"Q3 1999",147625,-15.0036848529513,7.47130501398267,156801.333333333,-9176.33333333334,29680.7935606061,122355.28125,25269.71875,74239.4350142045,1021308,0.144545034406859,0.183929252820305
"Q4 1999",147476,-19.6705684981126,7.47130501398267,158508.333333333,-11032.3333333333,29680.7935606061,124056.5625,23419.4375,74239.4350142045,1040988,0.141669260356507,0.183929252820305
"Q1 2000",144913,-12.2696452355007,7.47130501398267,158411.833333333,-13498.8333333333,29680.7935606061,125746.4375,19166.5625,74239.4350142045,1070188,0.135408918806789,0.183929252820305
"Q2 2000",152614,6.10352139604408,7.47130501398267,158625.416666667,-6011.41666666666,29680.7935606061,127550.25,25063.75,74239.4350142045,1099448,0.1388096572098,0.183929252820305
"Q3 2000",149006,0.935478408128705,7.47130501398267,159331.083333333,-10325.0833333333,29680.7935606061,129080.5625,19925.4375,74239.4350142045,1121768,0.132831387595296,0.183929252820305
"Q4 2000",150714,2.19561148932708,7.47130501398267,158088.166666667,-7374.16666666666,29680.7935606061,130774.625,19939.375,74239.4350142045,1132880,0.133036155638726,0.183929252820305
"Q1 2001",168939,16.5796029341743,7.47130501398267,157995.75,10943.25,29680.7935606061,133366.4375,35572.5625,74239.4350142045,1149924,0.146913187306292,0.183929252820305
"Q2 2001",156147,2.31499076100489,7.47130501398267,156976.833333333,-829.833333333343,29680.7935606061,135657.1875,20489.8125,74239.4350142045,1152860,0.135443158753014,0.183929252820305
"Q3 2001",173292,16.2986725366764,7.47130501398267,156944.166666667,16347.8333333333,29680.7935606061,138365.03125,34926.96875,74239.4350142045,1138804,0.152170171513272,0.183929252820305
"Q4 2001",181679,20.5455365792163,7.47130501398267,156785,24894,29680.7935606061,141186.90625,40492.09375,74239.4350142045,1136584,0.159846522562345,0.183929252820305
"Q1 2002",187514,10.9950929033556,7.47130501398267,158646.166666667,28867.8333333333,29680.7935606061,144035.34375,43478.65625,74239.4350142045,1158640,0.161839743147138,0.183929252820305
"Q2 2002",182558,16.9141898339385,7.47130501398267,161873.083333333,20684.9166666667,29680.7935606061,146450.5625,36107.4375,74239.4350142045,1185892,0.153941505634577,0.183929252820305
"Q3 2002",195322,12.712646861944,7.47130501398267,165847.833333333,29474.1666666667,29680.7935606061,149306.65625,46015.34375,74239.4350142045,1204144,0.162208174437609,0.183929252820305
"Q4 2002",195672,7.70204591614881,7.47130501398267,169864.166666667,25807.8333333333,29680.7935606061,151732.21875,43939.78125,74239.4350142045,1226100,0.159588940543186,0.183929252820305
"Q1 2003",202183,7.82288255810233,7.47130501398267,174636.666666667,27546.3333333333,29680.7935606061,154057.5,48125.5,74239.4350142045,1250088,0.161735013855025,0.183929252820305
"Q2 2003",170737,-6.47520240142859,7.47130501398267,176146.916666667,-5409.91666666666,29680.7935606061,155657.125,15079.875,74239.4350142045,1237720,0.13794476941473,0.183929252820305
"Q3 2003",178793,-8.46243638709413,7.47130501398267,178629.166666667,163.833333333343,29680.7935606061,157899.6875,20893.3125,74239.4350142045,1258296,0.142091368008799,0.183929252820305
