"Period","Inward Cross-Border Loans","percent_change","average","three Year Trend","Deviation From 3 Year Trend","Mean of 3 Year Trend","eight Year Trend","Deviation From 8 Year Trend","Mean of 8 Year Trend","GDP","Ratio: Inward Cross-Border Loans to GDP","Mean_of_Ratio"
"Q1 1990",35986,NA,6.0640275944488,NA,NA,6678.36363636364,NA,NA,15188.65625,691928,NA,0.048892053565645
"Q2 1990",36470,NA,6.0640275944488,NA,NA,6678.36363636364,NA,NA,15188.65625,695624,NA,0.048892053565645
"Q3 1990",39483,NA,6.0640275944488,NA,NA,6678.36363636364,NA,NA,15188.65625,697684,NA,0.048892053565645
"Q4 1990",40063,NA,6.0640275944488,NA,NA,6678.36363636364,NA,NA,15188.65625,696768,NA,0.048892053565645
"Q1 1991",40971,NA,6.0640275944488,NA,NA,6678.36363636364,NA,NA,15188.65625,694008,NA,0.048892053565645
"Q2 1991",40881,NA,6.0640275944488,NA,NA,6678.36363636364,NA,NA,15188.65625,701572,NA,0.048892053565645
"Q3 1991",40651,NA,6.0640275944488,NA,NA,6678.36363636364,NA,NA,15188.65625,704796,NA,0.048892053565645
"Q4 1991",42375,NA,6.0640275944488,NA,NA,6678.36363636364,NA,NA,15188.65625,706716,NA,0.048892053565645
"Q1 1992",43772,NA,6.0640275944488,NA,NA,6678.36363636364,NA,NA,15188.65625,710008,NA,0.048892053565645
"Q2 1992",44892,NA,6.0640275944488,NA,NA,6678.36363636364,NA,NA,15188.65625,714744,NA,0.048892053565645
"Q3 1992",46955,NA,6.0640275944488,NA,NA,6678.36363636364,NA,NA,15188.65625,721660,NA,0.048892053565645
"Q4 1992",48321,NA,6.0640275944488,NA,NA,6678.36363636364,NA,NA,15188.65625,727332,NA,0.048892053565645
"Q1 1993",48050,NA,6.0640275944488,NA,NA,6678.36363636364,NA,NA,15188.65625,733952,NA,0.048892053565645
"Q2 1993",48297,NA,6.0640275944488,NA,NA,6678.36363636364,NA,NA,15188.65625,745360,NA,0.048892053565645
"Q3 1993",49043,NA,6.0640275944488,NA,NA,6678.36363636364,NA,NA,15188.65625,750068,NA,0.048892053565645
"Q4 1993",47588,NA,6.0640275944488,NA,NA,6678.36363636364,NA,NA,15188.65625,758768,NA,0.048892053565645
"Q1 1994",47428,NA,6.0640275944488,NA,NA,6678.36363636364,NA,NA,15188.65625,772656,NA,0.048892053565645
"Q2 1994",46197,NA,6.0640275944488,NA,NA,6678.36363636364,NA,NA,15188.65625,783660,NA,0.048892053565645
"Q3 1994",45095,NA,6.0640275944488,NA,NA,6678.36363636364,NA,NA,15188.65625,800784,NA,0.048892053565645
"Q4 1994",44654,NA,6.0640275944488,NA,NA,6678.36363636364,NA,NA,15188.65625,810788,NA,0.048892053565645
"Q1 1995",45261,NA,6.0640275944488,NA,NA,6678.36363636364,NA,NA,15188.65625,823972,NA,0.048892053565645
"Q2 1995",46285,NA,6.0640275944488,NA,NA,6678.36363636364,NA,NA,15188.65625,828856,NA,0.048892053565645
"Q3 1995",45590,NA,6.0640275944488,NA,NA,6678.36363636364,NA,NA,15188.65625,832976,NA,0.048892053565645
"Q4 1995",49126,NA,6.0640275944488,NA,NA,6678.36363636364,NA,NA,15188.65625,840680,NA,0.048892053565645
"Q1 1996",49149,NA,6.0640275944488,NA,NA,6678.36363636364,NA,NA,15188.65625,844208,NA,0.048892053565645
"Q2 1996",52170,NA,6.0640275944488,NA,NA,6678.36363636364,NA,NA,15188.65625,852904,NA,0.048892053565645
"Q3 1996",51799,NA,6.0640275944488,NA,NA,6678.36363636364,NA,NA,15188.65625,864544,NA,0.048892053565645
"Q4 1996",51318,NA,6.0640275944488,NA,NA,6678.36363636364,NA,NA,15188.65625,877680,NA,0.048892053565645
"Q1 1997",54424,NA,6.0640275944488,NA,NA,6678.36363636364,NA,NA,15188.65625,891748,NA,0.048892053565645
"Q2 1997",58493,NA,6.0640275944488,NA,NA,6678.36363636364,NA,NA,15188.65625,899412,NA,0.048892053565645
"Q3 1997",58046,NA,6.0640275944488,NA,NA,6678.36363636364,NA,NA,15188.65625,912564,NA,0.048892053565645
"Q4 1997",51684,NA,6.0640275944488,NA,NA,6678.36363636364,NA,NA,15188.65625,923980,NA,0.048892053565645
"Q1 1998",52141,-4.19484051153903,6.0640275944488,51685.4166666667,455.583333333336,6678.36363636364,47083.5,5057.5,15188.65625,934612,0.0557889263138072,0.048892053565645
"Q2 1998",57129,-2.33190296274768,6.0640275944488,52589.0833333333,4539.91666666666,6678.36363636364,47729.09375,9399.90625,15188.65625,935212,0.0610866840887414,0.048892053565645
"Q3 1998",59037,1.70726665058747,6.0640275944488,53709.6666666667,5327.33333333334,6678.36363636364,48340.15625,10696.84375,15188.65625,938872,0.0628807760802324,0.048892053565645
"Q4 1998",55461,7.30787090782447,6.0640275944488,54237.5833333333,1223.41666666666,6678.36363636364,48821.34375,6639.65625,15188.65625,953496,0.0581659493065519,0.048892053565645
"Q1 1999",55997,7.39533188853302,6.0640275944488,54808.25,1188.75,6678.36363636364,49290.90625,6706.09375,15188.65625,975240,0.0574186866822526,0.048892053565645
"Q2 1999",54600,-4.42682350469989,6.0640275944488,55010.75,-410.75,6678.36363636364,49719.625,4880.375,15188.65625,994172,0.0549200741923933,0.048892053565645
"Q3 1999",56932,-3.56556058065281,6.0640275944488,55438.5,1493.5,6678.36363636364,50228.40625,6703.59375,15188.65625,1021308,0.0557442025324388,0.048892053565645
"Q4 1999",57481,3.6421990227367,6.0640275944488,55952.0833333333,1528.91666666666,6678.36363636364,50700.46875,6780.53125,15188.65625,1040988,0.0552177354590063,0.048892053565645
"Q1 2000",58141,3.82877654160044,6.0640275944488,56261.8333333333,1879.16666666666,6678.36363636364,51149.5,6991.5,15188.65625,1070188,0.054327837725708,0.048892053565645
"Q2 2000",59643,9.23626373626374,6.0640275944488,56357.6666666667,3285.33333333334,6678.36363636364,51610.46875,8032.53125,15188.65625,1099448,0.0542481317897709,0.048892053565645
"Q3 2000",60599,6.44101735403639,6.0640275944488,56570.4166666667,4028.58333333334,6678.36363636364,52036.84375,8562.15625,15188.65625,1121768,0.0540209740338466,0.048892053565645
"Q4 2000",60591,5.41048346410118,6.0640275944488,57312.6666666667,3278.33333333334,6678.36363636364,52420.28125,8170.71875,15188.65625,1132880,0.0534840406750936,0.048892053565645
"Q1 2001",55922,-3.81658382208768,6.0640275944488,57627.75,-1705.75,6678.36363636364,52666.28125,3255.71875,15188.65625,1149924,0.0486310399643803,0.048892053565645
"Q2 2001",57866,-2.97939406133159,6.0640275944488,57689.1666666667,176.833333333336,6678.36363636364,52965.3125,4900.6875,15188.65625,1152860,0.0501934319865378,0.048892053565645
"Q3 2001",62899,3.79544216901269,6.0640275944488,58011,4888,6678.36363636364,53398.3125,9500.6875,15188.65625,1138804,0.0552325070863819,0.048892053565645
"Q4 2001",55823,-7.86915548513806,6.0640275944488,58041.1666666667,-2218.16666666666,6678.36363636364,53655.65625,2167.34375,15188.65625,1136584,0.0491147156743364,0.048892053565645
"Q1 2002",58376,4.38825506956117,6.0640275944488,58239.4166666667,136.583333333336,6678.36363636364,53997.78125,4378.21875,15188.65625,1158640,0.050383207898916,0.048892053565645
"Q2 2002",53776,-7.06805377942142,6.0640275944488,58170.75,-4394.75,6678.36363636364,54234.625,-458.625,15188.65625,1185892,0.0453464565070006,0.048892053565645
"Q3 2002",58241,-7.4055231402725,6.0640275944488,58279.8333333333,-38.8333333333358,6678.36363636364,54645.4375,3595.5625,15188.65625,1204144,0.0483671388139625,0.048892053565645
"Q4 2002",59250,6.13904662952546,6.0640275944488,58427.25,822.75,6678.36363636364,55101.5625,4148.4375,15188.65625,1226100,0.0483239540004894,0.048892053565645
"Q1 2003",56793,-2.71173084829382,6.0640275944488,58314.9166666667,-1521.91666666666,6678.36363636364,55461.9375,1331.0625,15188.65625,1250088,0.0454312016434043,0.048892053565645
