"Period","Inward FDI","percent_change","average","three Year Trend","Deviation From 3 Year Trend","Mean of 3 Year Trend","eight Year Trend","Deviation From 8 Year Trend","Mean of 8 Year Trend","GDP","Ratio: Inward FDI to GDP","Mean_of_Ratio"
"Q1 1990",193406,NA,6.50649996321927,NA,NA,60766.3541666667,NA,NA,171813.219105114,691928,NA,0.537485456744167
"Q2 1990",192378,NA,6.50649996321927,NA,NA,60766.3541666667,NA,NA,171813.219105114,695624,NA,0.537485456744167
"Q3 1990",183076,NA,6.50649996321927,NA,NA,60766.3541666667,NA,NA,171813.219105114,697684,NA,0.537485456744167
"Q4 1990",179602,NA,6.50649996321927,NA,NA,60766.3541666667,NA,NA,171813.219105114,696768,NA,0.537485456744167
"Q1 1991",205821,NA,6.50649996321927,NA,NA,60766.3541666667,NA,NA,171813.219105114,694008,NA,0.537485456744167
"Q2 1991",201854,NA,6.50649996321927,NA,NA,60766.3541666667,NA,NA,171813.219105114,701572,NA,0.537485456744167
"Q3 1991",210419,NA,6.50649996321927,NA,NA,60766.3541666667,NA,NA,171813.219105114,704796,NA,0.537485456744167
"Q4 1991",208795,NA,6.50649996321927,NA,NA,60766.3541666667,NA,NA,171813.219105114,706716,NA,0.537485456744167
"Q1 1992",205904,NA,6.50649996321927,NA,NA,60766.3541666667,NA,NA,171813.219105114,710008,NA,0.537485456744167
"Q2 1992",205313,NA,6.50649996321927,NA,NA,60766.3541666667,NA,NA,171813.219105114,714744,NA,0.537485456744167
"Q3 1992",205919,NA,6.50649996321927,NA,NA,60766.3541666667,NA,NA,171813.219105114,721660,NA,0.537485456744167
"Q4 1992",215918,NA,6.50649996321927,NA,NA,60766.3541666667,NA,NA,171813.219105114,727332,NA,0.537485456744167
"Q1 1993",216600,NA,6.50649996321927,NA,NA,60766.3541666667,NA,NA,171813.219105114,733952,NA,0.537485456744167
"Q2 1993",222470,NA,6.50649996321927,NA,NA,60766.3541666667,NA,NA,171813.219105114,745360,NA,0.537485456744167
"Q3 1993",228814,NA,6.50649996321927,NA,NA,60766.3541666667,NA,NA,171813.219105114,750068,NA,0.537485456744167
"Q4 1993",248790,NA,6.50649996321927,NA,NA,60766.3541666667,NA,NA,171813.219105114,758768,NA,0.537485456744167
