"Period","Inward FPI - Bonds","percent_change","average","three Year Trend","Deviation From 3 Year Trend","Mean of 3 Year Trend","eight Year Trend","Deviation From 8 Year Trend","Mean of 8 Year Trend","GDP","Ratio: Inward FPI - Bonds to GDP","Mean_of_Ratio"
"Q1 1990",172140,NA,6.42163329718335,NA,NA,65156.8399621212,NA,NA,167023.789772727,691928,NA,0.424167754099787
"Q2 1990",175094,NA,6.42163329718335,NA,NA,65156.8399621212,NA,NA,167023.789772727,695624,NA,0.424167754099787
"Q3 1990",181268,NA,6.42163329718335,NA,NA,65156.8399621212,NA,NA,167023.789772727,697684,NA,0.424167754099787
"Q4 1990",186612,NA,6.42163329718335,NA,NA,65156.8399621212,NA,NA,167023.789772727,696768,NA,0.424167754099787
"Q1 1991",203972,NA,6.42163329718335,NA,NA,65156.8399621212,NA,NA,167023.789772727,694008,NA,0.424167754099787
"Q2 1991",207288,NA,6.42163329718335,NA,NA,65156.8399621212,NA,NA,167023.789772727,701572,NA,0.424167754099787
"Q3 1991",214132,NA,6.42163329718335,NA,NA,65156.8399621212,NA,NA,167023.789772727,704796,NA,0.424167754099787
"Q4 1991",224721,NA,6.42163329718335,NA,NA,65156.8399621212,NA,NA,167023.789772727,706716,NA,0.424167754099787
"Q1 1992",228353,NA,6.42163329718335,NA,NA,65156.8399621212,NA,NA,167023.789772727,710008,NA,0.424167754099787
"Q2 1992",239909,NA,6.42163329718335,NA,NA,65156.8399621212,NA,NA,167023.789772727,714744,NA,0.424167754099787
"Q3 1992",251160,NA,6.42163329718335,NA,NA,65156.8399621212,NA,NA,167023.789772727,721660,NA,0.424167754099787
"Q4 1992",251851,NA,6.42163329718335,NA,NA,65156.8399621212,NA,NA,167023.789772727,727332,NA,0.424167754099787
"Q1 1993",296954,NA,6.42163329718335,NA,NA,65156.8399621212,NA,NA,167023.789772727,733952,NA,0.424167754099787
"Q2 1993",301405,NA,6.42163329718335,NA,NA,65156.8399621212,NA,NA,167023.789772727,745360,NA,0.424167754099787
"Q3 1993",318372,NA,6.42163329718335,NA,NA,65156.8399621212,NA,NA,167023.789772727,750068,NA,0.424167754099787
"Q4 1993",311100,NA,6.42163329718335,NA,NA,65156.8399621212,NA,NA,167023.789772727,758768,NA,0.424167754099787
"Q1 1994",302746,NA,6.42163329718335,NA,NA,65156.8399621212,NA,NA,167023.789772727,772656,NA,0.424167754099787
"Q2 1994",308618,NA,6.42163329718335,NA,NA,65156.8399621212,NA,NA,167023.789772727,783660,NA,0.424167754099787
"Q3 1994",314066,NA,6.42163329718335,NA,NA,65156.8399621212,NA,NA,167023.789772727,800784,NA,0.424167754099787
"Q4 1994",315086,NA,6.42163329718335,NA,NA,65156.8399621212,NA,NA,167023.789772727,810788,NA,0.424167754099787
"Q1 1995",353982,NA,6.42163329718335,NA,NA,65156.8399621212,NA,NA,167023.789772727,823972,NA,0.424167754099787
"Q2 1995",357923,NA,6.42163329718335,NA,NA,65156.8399621212,NA,NA,167023.789772727,828856,NA,0.424167754099787
"Q3 1995",361462,NA,6.42163329718335,NA,NA,65156.8399621212,NA,NA,167023.789772727,832976,NA,0.424167754099787
"Q4 1995",366326,NA,6.42163329718335,NA,NA,65156.8399621212,NA,NA,167023.789772727,840680,NA,0.424167754099787
"Q1 1996",365135,NA,6.42163329718335,NA,NA,65156.8399621212,NA,NA,167023.789772727,844208,NA,0.424167754099787
"Q2 1996",371674,NA,6.42163329718335,NA,NA,65156.8399621212,NA,NA,167023.789772727,852904,NA,0.424167754099787
"Q3 1996",372163,NA,6.42163329718335,NA,NA,65156.8399621212,NA,NA,167023.789772727,864544,NA,0.424167754099787
"Q4 1996",381934,NA,6.42163329718335,NA,NA,65156.8399621212,NA,NA,167023.789772727,877680,NA,0.424167754099787
"Q1 1997",390116,NA,6.42163329718335,NA,NA,65156.8399621212,NA,NA,167023.789772727,891748,NA,0.424167754099787
"Q2 1997",392924,NA,6.42163329718335,NA,NA,65156.8399621212,NA,NA,167023.789772727,899412,NA,0.424167754099787
"Q3 1997",400675,NA,6.42163329718335,NA,NA,65156.8399621212,NA,NA,167023.789772727,912564,NA,0.424167754099787
"Q4 1997",402671,NA,6.42163329718335,NA,NA,65156.8399621212,NA,NA,167023.789772727,923980,NA,0.424167754099787
"Q1 1998",409787,5.04234637902573,6.42163329718335,381065.833333333,28721.1666666667,65156.8399621212,304983.71875,104803.28125,167023.789772727,934612,0.438456814164595,0.424167754099787
"Q2 1998",430390,9.53517728619275,6.42163329718335,387104.75,43285.25,65156.8399621212,312961.71875,117428.28125,167023.789772727,935212,0.460205814296651,0.424167754099787
"Q3 1998",434484,8.43801085667935,6.42163329718335,393189.916666667,41294.0833333333,65156.8399621212,320874.71875,113609.28125,167023.789772727,938872,0.462772348094309,0.424167754099787
"Q4 1998",447759,11.1972304933805,6.42163329718335,399976,47783,65156.8399621212,329035.5625,118723.4375,167023.789772727,953496,0.469597145661859,0.424167754099787
"Q1 1999",429298,4.76125401733095,6.42163329718335,405322.916666667,23975.0833333333,65156.8399621212,336077,93221,167023.789772727,975240,0.440197284770928,0.424167754099787
"Q2 1999",413951,-3.81955900462371,6.42163329718335,408846,5105,65156.8399621212,342535.21875,71415.78125,167023.789772727,994172,0.416377648938011,0.424167754099787
"Q3 1999",416509,-4.13709135434216,6.42163329718335,412541.5,3967.5,65156.8399621212,348859.5,67649.5,167023.789772727,1021308,0.407819188726613,0.424167754099787
"Q4 1999",407803,-8.92355039206359,6.42163329718335,414697.25,-6894.25,65156.8399621212,354580.8125,53222.1875,167023.789772727,1040988,0.391746110425865,0.424167754099787
"Q1 2000",397361,-7.43935448103648,6.42163329718335,415301,-17940,65156.8399621212,359862.3125,37498.6875,167023.789772727,1070188,0.371300182771625,0.424167754099787
"Q2 2000",396087,-4.31548661556561,6.42163329718335,415564.583333333,-19477.5833333333,65156.8399621212,364742.875,31344.125,167023.789772727,1099448,0.36025987586498,0.424167754099787
"Q3 2000",395027,-5.15763164781553,6.42163329718335,415093.916666667,-20066.9166666667,65156.8399621212,369238.71875,25788.28125,167023.789772727,1121768,0.352146789710528,0.424167754099787
"Q4 2000",389477,-4.49383648477329,6.42163329718335,413994.416666667,-24517.4166666667,65156.8399621212,373539.53125,15937.46875,167023.789772727,1132880,0.343793693948168,0.424167754099787
"Q1 2001",416372,4.7843145150128,6.42163329718335,414543.166666667,1828.83333333331,65156.8399621212,377271.34375,39100.65625,167023.789772727,1149924,0.362086537892939,0.424167754099787
"Q2 2001",405832,2.460318061436,6.42163329718335,412496.666666667,-6664.66666666669,65156.8399621212,380534.6875,25297.3125,167023.789772727,1152860,0.352021928074528,0.424167754099787
"Q3 2001",427858,8.3110774706539,6.42163329718335,411944.5,15913.5,65156.8399621212,383956.125,43901.875,167023.789772727,1138804,0.375708199128208,0.424167754099787
"Q4 2001",447772,14.967507709056,6.42163329718335,411945.583333333,35826.4166666667,65156.8399621212,388227.125,59544.875,167023.789772727,1136584,0.393962962702273,0.424167754099787
"Q1 2002",444982,6.87125935461558,6.42163329718335,413252.583333333,31729.4166666667,65156.8399621212,392672,52310,167023.789772727,1158640,0.384055444314023,0.424167754099787
"Q2 2002",439442,8.28175205503755,6.42163329718335,415376.833333333,24065.1666666667,65156.8399621212,396760.25,42681.75,167023.789772727,1185892,0.370558195855946,0.424167754099787
"Q3 2002",475380,11.1069560461648,6.42163329718335,420282.75,55097.25,65156.8399621212,401801.3125,73578.6875,167023.789772727,1204144,0.39478667003282,0.424167754099787
"Q4 2002",482819,7.82697444235012,6.42163329718335,426534.083333333,56284.9166666667,65156.8399621212,407042.96875,75776.03125,167023.789772727,1226100,0.393784356904005,0.424167754099787
"Q1 2003",465572,4.62715345789268,6.42163329718335,432218.333333333,33353.6666666667,65156.8399621212,410530.15625,55041.84375,167023.789772727,1250088,0.37243138083079,0.424167754099787
"Q2 2003",459237,4.50457625807274,6.42163329718335,437480.833333333,21756.1666666667,65156.8399621212,413696.21875,45540.78125,167023.789772727,1237720,0.371034644346056,0.424167754099787
"Q3 2003",438404,-7.77819849383651,6.42163329718335,441095.583333333,-2691.58333333331,65156.8399621212,416100.65625,22303.34375,167023.789772727,1258296,0.348410866759491,0.424167754099787
"Q4 2003",434207,-10.0683693060961,6.42163329718335,444823.083333333,-10616.0833333333,65156.8399621212,418221.9375,15985.0625,167023.789772727,1272884,0.34112063628736,0.424167754099787
"Q1 2004",449042,-3.55047124827094,6.42163329718335,447545.583333333,1496.41666666669,65156.8399621212,420844.03125,28197.96875,167023.789772727,1296216,0.346425287143501,0.424167754099787
"Q2 2004",439894,-4.21198640353456,6.42163329718335,450384.083333333,-10490.0833333333,65156.8399621212,422975.90625,16918.09375,167023.789772727,1328148,0.331208570129233,0.424167754099787
"Q3 2004",438597,0.0440233209551008,6.42163329718335,451279,-12682,65156.8399621212,425051.96875,13545.03125,167023.789772727,1351480,0.32453088465978,0.424167754099787
"Q4 2004",433894,-0.0720854339059481,6.42163329718335,450122.5,-16228.5,65156.8399621212,426675.71875,7218.28125,167023.789772727,1367080,0.31738742429119,0.424167754099787
"Q1 2005",434661,-3.2025957482819,6.42163329718335,449262.416666667,-14601.4166666667,65156.8399621212,428067.75,6593.25,167023.789772727,1380324,0.314897806601928,0.424167754099787
"Q2 2005",446113,1.41374967605832,6.42163329718335,449818.333333333,-3705.33333333331,65156.8399621212,429729.90625,16383.09375,167023.789772727,1399608,0.318741390446468,0.424167754099787
"Q3 2005",423601,-3.41908403386252,6.42163329718335,445503.416666667,-21902.4166666667,65156.8399621212,430446.34375,-6845.34375,167023.789772727,1436992,0.294783130316661,0.424167754099787
"Q4 2005",415665,-4.20125652809211,6.42163329718335,439907.25,-24242.25,65156.8399621212,430852.40625,-15187.40625,167023.789772727,1469436,0.282873837309008,0.424167754099787
"Q1 2006",410460,-5.56778731011064,6.42163329718335,435314.583333333,-24854.5833333333,65156.8399621212,430873.4375,-20413.4375,167023.789772727,1476000,0.278089430894309,0.424167754099787
