"Period","Inward FPI - Equity","percent_change","average","three Year Trend","Deviation From 3 Year Trend","Mean of 3 Year Trend","eight Year Trend","Deviation From 8 Year Trend","Mean of 8 Year Trend","GDP","Ratio: Inward FPI - Equity to GDP","Mean_of_Ratio"
"Q1 1990",38078,NA,11.5930592704085,NA,NA,41193.3333333333,NA,NA,102682.268821023,691928,NA,0.231919039581427
"Q2 1990",37776,NA,11.5930592704085,NA,NA,41193.3333333333,NA,NA,102682.268821023,695624,NA,0.231919039581427
"Q3 1990",34324,NA,11.5930592704085,NA,NA,41193.3333333333,NA,NA,102682.268821023,697684,NA,0.231919039581427
"Q4 1990",34929,NA,11.5930592704085,NA,NA,41193.3333333333,NA,NA,102682.268821023,696768,NA,0.231919039581427
"Q1 1991",35686,NA,11.5930592704085,NA,NA,41193.3333333333,NA,NA,102682.268821023,694008,NA,0.231919039581427
"Q2 1991",34220,NA,11.5930592704085,NA,NA,41193.3333333333,NA,NA,102682.268821023,701572,NA,0.231919039581427
"Q3 1991",33065,NA,11.5930592704085,NA,NA,41193.3333333333,NA,NA,102682.268821023,704796,NA,0.231919039581427
"Q4 1991",33474,NA,11.5930592704085,NA,NA,41193.3333333333,NA,NA,102682.268821023,706716,NA,0.231919039581427
"Q1 1992",32865,NA,11.5930592704085,NA,NA,41193.3333333333,NA,NA,102682.268821023,710008,NA,0.231919039581427
"Q2 1992",32704,NA,11.5930592704085,NA,NA,41193.3333333333,NA,NA,102682.268821023,714744,NA,0.231919039581427
"Q3 1992",31670,NA,11.5930592704085,NA,NA,41193.3333333333,NA,NA,102682.268821023,721660,NA,0.231919039581427
"Q4 1992",33168,NA,11.5930592704085,NA,NA,41193.3333333333,NA,NA,102682.268821023,727332,NA,0.231919039581427
"Q1 1993",37565,NA,11.5930592704085,NA,NA,41193.3333333333,NA,NA,102682.268821023,733952,NA,0.231919039581427
"Q2 1993",44019,NA,11.5930592704085,NA,NA,41193.3333333333,NA,NA,102682.268821023,745360,NA,0.231919039581427
"Q3 1993",47894,NA,11.5930592704085,NA,NA,41193.3333333333,NA,NA,102682.268821023,750068,NA,0.231919039581427
"Q4 1993",54292,NA,11.5930592704085,NA,NA,41193.3333333333,NA,NA,102682.268821023,758768,NA,0.231919039581427
"Q1 1994",58337,NA,11.5930592704085,NA,NA,41193.3333333333,NA,NA,102682.268821023,772656,NA,0.231919039581427
"Q2 1994",56499,NA,11.5930592704085,NA,NA,41193.3333333333,NA,NA,102682.268821023,783660,NA,0.231919039581427
"Q3 1994",63858,NA,11.5930592704085,NA,NA,41193.3333333333,NA,NA,102682.268821023,800784,NA,0.231919039581427
"Q4 1994",62863,NA,11.5930592704085,NA,NA,41193.3333333333,NA,NA,102682.268821023,810788,NA,0.231919039581427
"Q1 1995",65815,NA,11.5930592704085,NA,NA,41193.3333333333,NA,NA,102682.268821023,823972,NA,0.231919039581427
"Q2 1995",70702,NA,11.5930592704085,NA,NA,41193.3333333333,NA,NA,102682.268821023,828856,NA,0.231919039581427
"Q3 1995",72619,NA,11.5930592704085,NA,NA,41193.3333333333,NA,NA,102682.268821023,832976,NA,0.231919039581427
"Q4 1995",77891,NA,11.5930592704085,NA,NA,41193.3333333333,NA,NA,102682.268821023,840680,NA,0.231919039581427
"Q1 1996",84365,NA,11.5930592704085,NA,NA,41193.3333333333,NA,NA,102682.268821023,844208,NA,0.231919039581427
"Q2 1996",90601,NA,11.5930592704085,NA,NA,41193.3333333333,NA,NA,102682.268821023,852904,NA,0.231919039581427
"Q3 1996",95385,NA,11.5930592704085,NA,NA,41193.3333333333,NA,NA,102682.268821023,864544,NA,0.231919039581427
"Q4 1996",109450,NA,11.5930592704085,NA,NA,41193.3333333333,NA,NA,102682.268821023,877680,NA,0.231919039581427
"Q1 1997",104834,NA,11.5930592704085,NA,NA,41193.3333333333,NA,NA,102682.268821023,891748,NA,0.231919039581427
"Q2 1997",113925,NA,11.5930592704085,NA,NA,41193.3333333333,NA,NA,102682.268821023,899412,NA,0.231919039581427
"Q3 1997",126444,NA,11.5930592704085,NA,NA,41193.3333333333,NA,NA,102682.268821023,912564,NA,0.231919039581427
"Q4 1997",121437,NA,11.5930592704085,NA,NA,41193.3333333333,NA,NA,102682.268821023,923980,NA,0.231919039581427
"Q1 1998",142556,35.9826010645401,11.5930592704085,100850.75,41705.25,41193.3333333333,64851,77705,102682.268821023,934612,0.152529605868532,0.231919039581427
