"Period","Inward FPI - Money Markets","percent_change","average","three Year Trend","Deviation From 3 Year Trend","Mean of 3 Year Trend","eight Year Trend","Deviation From 8 Year Trend","Mean of 8 Year Trend","GDP","Ratio: Inward FPI - Money Markets to GDP","Mean_of_Ratio"
"Q1 1990",21026,NA,7.83288952810754,NA,NA,3882.53125,NA,NA,9418.18288352273,691928,NA,0.0296628054415963
"Q2 1990",21770,NA,7.83288952810754,NA,NA,3882.53125,NA,NA,9418.18288352273,695624,NA,0.0296628054415963
"Q3 1990",23903,NA,7.83288952810754,NA,NA,3882.53125,NA,NA,9418.18288352273,697684,NA,0.0296628054415963
"Q4 1990",26402,NA,7.83288952810754,NA,NA,3882.53125,NA,NA,9418.18288352273,696768,NA,0.0296628054415963
"Q1 1991",23887,NA,7.83288952810754,NA,NA,3882.53125,NA,NA,9418.18288352273,694008,NA,0.0296628054415963
"Q2 1991",24802,NA,7.83288952810754,NA,NA,3882.53125,NA,NA,9418.18288352273,701572,NA,0.0296628054415963
"Q3 1991",28100,NA,7.83288952810754,NA,NA,3882.53125,NA,NA,9418.18288352273,704796,NA,0.0296628054415963
"Q4 1991",30534,NA,7.83288952810754,NA,NA,3882.53125,NA,NA,9418.18288352273,706716,NA,0.0296628054415963
"Q1 1992",35376,NA,7.83288952810754,NA,NA,3882.53125,NA,NA,9418.18288352273,710008,NA,0.0296628054415963
"Q2 1992",37060,NA,7.83288952810754,NA,NA,3882.53125,NA,NA,9418.18288352273,714744,NA,0.0296628054415963
"Q3 1992",33483,NA,7.83288952810754,NA,NA,3882.53125,NA,NA,9418.18288352273,721660,NA,0.0296628054415963
"Q4 1992",36104,NA,7.83288952810754,NA,NA,3882.53125,NA,NA,9418.18288352273,727332,NA,0.0296628054415963
"Q1 1993",37119,NA,7.83288952810754,NA,NA,3882.53125,NA,NA,9418.18288352273,733952,NA,0.0296628054415963
"Q2 1993",41675,NA,7.83288952810754,NA,NA,3882.53125,NA,NA,9418.18288352273,745360,NA,0.0296628054415963
"Q3 1993",41502,NA,7.83288952810754,NA,NA,3882.53125,NA,NA,9418.18288352273,750068,NA,0.0296628054415963
"Q4 1993",45901,NA,7.83288952810754,NA,NA,3882.53125,NA,NA,9418.18288352273,758768,NA,0.0296628054415963
"Q1 1994",47272,NA,7.83288952810754,NA,NA,3882.53125,NA,NA,9418.18288352273,772656,NA,0.0296628054415963
"Q2 1994",54618,NA,7.83288952810754,NA,NA,3882.53125,NA,NA,9418.18288352273,783660,NA,0.0296628054415963
"Q3 1994",44131,NA,7.83288952810754,NA,NA,3882.53125,NA,NA,9418.18288352273,800784,NA,0.0296628054415963
"Q4 1994",47529,NA,7.83288952810754,NA,NA,3882.53125,NA,NA,9418.18288352273,810788,NA,0.0296628054415963
"Q1 1995",53579,NA,7.83288952810754,NA,NA,3882.53125,NA,NA,9418.18288352273,823972,NA,0.0296628054415963
"Q2 1995",49871,NA,7.83288952810754,NA,NA,3882.53125,NA,NA,9418.18288352273,828856,NA,0.0296628054415963
"Q3 1995",48975,NA,7.83288952810754,NA,NA,3882.53125,NA,NA,9418.18288352273,832976,NA,0.0296628054415963
"Q4 1995",44113,NA,7.83288952810754,NA,NA,3882.53125,NA,NA,9418.18288352273,840680,NA,0.0296628054415963
"Q1 1996",51435,NA,7.83288952810754,NA,NA,3882.53125,NA,NA,9418.18288352273,844208,NA,0.0296628054415963
"Q2 1996",43896,NA,7.83288952810754,NA,NA,3882.53125,NA,NA,9418.18288352273,852904,NA,0.0296628054415963
"Q3 1996",44130,NA,7.83288952810754,NA,NA,3882.53125,NA,NA,9418.18288352273,864544,NA,0.0296628054415963
"Q4 1996",38134,NA,7.83288952810754,NA,NA,3882.53125,NA,NA,9418.18288352273,877680,NA,0.0296628054415963
"Q1 1997",41823,NA,7.83288952810754,NA,NA,3882.53125,NA,NA,9418.18288352273,891748,NA,0.0296628054415963
"Q2 1997",35422,NA,7.83288952810754,NA,NA,3882.53125,NA,NA,9418.18288352273,899412,NA,0.0296628054415963
"Q3 1997",35325,NA,7.83288952810754,NA,NA,3882.53125,NA,NA,9418.18288352273,912564,NA,0.0296628054415963
"Q4 1997",40501,NA,7.83288952810754,NA,NA,3882.53125,NA,NA,9418.18288352273,923980,NA,0.0296628054415963
"Q1 1998",40783,-2.48667001410707,7.83288952810754,42867.3333333333,-2084.33333333334,3882.53125,39036.09375,1746.90625,9418.18288352273,934612,0.0436362897116664,0.0296628054415963
"Q2 1998",36741,3.72367455253797,7.83288952810754,41773.1666666667,-5032.16666666666,3882.53125,39503.9375,-2762.9375,9418.18288352273,935212,0.0392862794746004,0.0296628054415963
"Q3 1998",39522,11.8811040339703,7.83288952810754,40985.4166666667,-1463.41666666666,3882.53125,39992.03125,-470.03125,9418.18288352273,938872,0.042095195085166,0.0296628054415963
"Q4 1998",41269,1.8962494753216,7.83288952810754,40748.4166666667,520.583333333336,3882.53125,40456.625,812.375,9418.18288352273,953496,0.0432817756970139,0.0296628054415963
"Q1 1999",35515,-12.9171468504034,7.83288952810754,39421.75,-3906.75,3882.53125,40820,-5305,9418.18288352273,975240,0.0364166769205529,0.0296628054415963
"Q2 1999",30965,-15.7208568084701,7.83288952810754,38344.1666666667,-7379.16666666666,3882.53125,41012.59375,-10047.59375,9418.18288352273,994172,0.0311465219298069,0.0296628054415963
"Q3 1999",28461,-27.9869439805678,7.83288952810754,37038.4166666667,-8577.41666666666,3882.53125,41023.875,-12562.875,9418.18288352273,1021308,0.0278672055834283,0.0296628054415963
"Q4 1999",27675,-32.9399791611137,7.83288952810754,36166.8333333333,-8491.83333333334,3882.53125,40934.53125,-13259.53125,9418.18288352273,1040988,0.0265853208682521,0.0296628054415963
"Q1 2000",30712,-13.5238631564128,7.83288952810754,35240.9166666667,-4528.91666666666,3882.53125,40788.78125,-10076.78125,9418.18288352273,1070188,0.0286977615147993,0.0296628054415963
"Q2 2000",28445,-8.13822057161311,7.83288952810754,34659.5,-6214.5,3882.53125,40519.5625,-12074.5625,9418.18288352273,1099448,0.0258720739862185,0.0296628054415963
"Q3 2000",24987,-12.2061768736165,7.83288952810754,33798,-8811,3882.53125,40254.0625,-15267.0625,9418.18288352273,1121768,0.0222746592878385,0.0296628054415963
"Q4 2000",27961,1.03342366757001,7.83288952810754,32753,-4792,3882.53125,39999.59375,-12038.59375,9418.18288352273,1132880,0.0246813431254855,0.0296628054415963
"Q1 2001",23251,-24.2934357905705,7.83288952810754,31292,-8041,3882.53125,39566.21875,-16315.21875,9418.18288352273,1149924,0.0202195971212011,0.0296628054415963
"Q2 2001",23197,-18.4496396554755,7.83288952810754,30163.3333333333,-6966.33333333333,3882.53125,38988.78125,-15791.78125,9418.18288352273,1152860,0.020121263639991,0.0296628054415963
"Q3 2001",19470,-22.0794813302918,7.83288952810754,28492.3333333333,-9022.33333333333,3882.53125,38300.28125,-18830.28125,9418.18288352273,1138804,0.0170968840994587,0.0296628054415963
"Q4 2001",21463,-23.239512177676,7.83288952810754,26841.8333333333,-5378.83333333333,3882.53125,37536.59375,-16073.59375,9418.18288352273,1136584,0.018883778057759,0.0296628054415963
"Q1 2002",25102,7.96094791621866,7.83288952810754,25974.0833333333,-872.083333333332,3882.53125,36843.78125,-11741.78125,9418.18288352273,1158640,0.021665055582407,0.0296628054415963
"Q2 2002",23972,3.34094926068026,7.83288952810754,25391.3333333333,-1419.33333333333,3882.53125,35886.09375,-11914.09375,9418.18288352273,1185892,0.0202143196850978,0.0296628054415963
"Q3 2002",22897,17.6014381099127,7.83288952810754,24927.6666666667,-2030.66666666667,3882.53125,35222.53125,-12325.53125,9418.18288352273,1204144,0.0190151676211483,0.0296628054415963
"Q4 2002",25401,18.3478544471882,7.83288952810754,24738.1666666667,662.833333333332,3882.53125,34531.03125,-9130.03125,9418.18288352273,1226100,0.020716907266944,0.0296628054415963
"Q1 2003",23460,-6.54131144928691,7.83288952810754,24133.8333333333,-673.833333333332,3882.53125,33589.8125,-10129.8125,9418.18288352273,1250088,0.0187666788258107,0.0296628054415963
"Q2 2003",22941,-4.30085099282496,7.83288952810754,23675.1666666667,-734.166666666668,3882.53125,32748.25,-9807.25,9418.18288352273,1237720,0.0185348867272081,0.0296628054415963
"Q3 2003",20873,-8.83958597196139,7.83288952810754,23332.3333333333,-2459.33333333333,3882.53125,31870.0625,-10997.0625,9418.18288352273,1258296,0.0165883067259214,0.0296628054415963
"Q4 2003",21523,-15.267115467895,7.83288952810754,22795.8333333333,-1272.83333333333,3882.53125,31164.125,-9641.125,9418.18288352273,1272884,0.0169088463677759,0.0296628054415963
"Q1 2004",19041,-18.8363171355499,7.83288952810754,22445,-3404,3882.53125,30151.8125,-11110.8125,9418.18288352273,1296216,0.0146896813494047,0.0296628054415963
"Q2 2004",21123,-7.92467634366418,7.83288952810754,22272.1666666667,-1149.16666666667,3882.53125,29440.15625,-8317.15625,9418.18288352273,1328148,0.0159041010489795,0.0296628054415963
"Q3 2004",18217,-12.7245724141235,7.83288952810754,22167.75,-3950.75,3882.53125,28630.375,-10413.375,9418.18288352273,1351480,0.0134792967709474,0.0296628054415963
"Q4 2004",20596,-4.30702039678483,7.83288952810754,22095.5,-1499.5,3882.53125,28082.3125,-7486.3125,9418.18288352273,1367080,0.0150656874506247,0.0296628054415963
"Q1 2005",18696,-1.81187962817079,7.83288952810754,21561.6666666667,-2865.66666666667,3882.53125,27359.59375,-8663.59375,9418.18288352273,1380324,0.0135446460396255,0.0296628054415963
"Q2 2005",19832,-6.11182123751361,7.83288952810754,21216.6666666667,-1384.66666666667,3882.53125,26872.40625,-7040.40625,9418.18288352273,1399608,0.0141696817966173,0.0296628054415963
"Q3 2005",17791,-2.33847505077675,7.83288952810754,20791.1666666667,-3000.16666666667,3882.53125,26324.46875,-8533.46875,9418.18288352273,1436992,0.01238072306596,0.0296628054415963
"Q4 2005",20899,1.47115944843659,7.83288952810754,20416,483,3882.53125,25711.90625,-4812.90625,9418.18288352273,1469436,0.0142224635846679,0.0296628054415963
"Q1 2006",22990,22.9674796747967,7.83288952810754,20376.8333333333,2613.16666666667,3882.53125,25155.875,-2165.875,9418.18288352273,1476000,0.0155758807588076,0.0296628054415963
"Q2 2006",27242,37.3638563937071,7.83288952810754,20735.25,6506.75,3882.53125,24859.03125,2382.96875,9418.18288352273,1490716,0.0182744399335621,0.0296628054415963
"Q3 2006",26134,46.8944972176943,7.83288952810754,21173.6666666667,4960.33333333333,3882.53125,24440.65625,1693.34375,9418.18288352273,1504936,0.017365522520559,0.0296628054415963
"Q4 2006",24716,18.2640317718551,7.83288952810754,21439.75,3276.25,3882.53125,23923.375,792.625,9418.18288352273,1514764,0.016316733167675,0.0296628054415963
"Q1 2007",23952,4.18442801217921,7.83288952810754,21849,2103,3882.53125,23562.03125,389.96875,9418.18288352273,1547276,0.0154801082676911,0.0296628054415963
"Q2 2007",24279,-10.8765876220542,7.83288952810754,22112,2167,3882.53125,23353.09375,925.90625,9418.18288352273,1576612,0.0153994768528972,0.0296628054415963
"Q3 2007",22598,-13.5302670850233,7.83288952810754,22477.0833333333,120.916666666668,3882.53125,23169.875,-571.875,9418.18288352273,1582248,0.0142822111325153,0.0296628054415963
"Q4 2007",22211,-10.1351351351351,7.83288952810754,22611.6666666667,-400.666666666668,3882.53125,22999.125,-788.125,9418.18288352273,1604508,0.0138428727061504,0.0296628054415963
"Q1 2008",18939,-20.9293587174349,7.83288952810754,22631.9166666667,-3692.91666666667,3882.53125,22631.21875,-3692.21875,9418.18288352273,1637296,0.0115672425755636,0.0296628054415963
"Q2 2008",21545,-11.2607603278553,7.83288952810754,22774.6666666667,-1229.66666666667,3882.53125,22415.59375,-870.59375,9418.18288352273,1677448,0.0128439152808314,0.0296628054415963
"Q3 2008",23746,5.08009558367997,7.83288952810754,23270.9166666667,475.083333333332,3882.53125,22376.8125,1369.1875,9418.18288352273,1694512,0.0140134740857545,0.0296628054415963
"Q4 2008",35028,57.7056413488812,7.83288952810754,24448.3333333333,10579.6666666667,3882.53125,22597.65625,12430.34375,9418.18288352273,1618908,0.0216368070328888,0.0296628054415963
