"Period","Inward FPI","percent_change","average","three Year Trend","Deviation From 3 Year Trend","Mean of 3 Year Trend","eight Year Trend","Deviation From 8 Year Trend","Mean of 8 Year Trend","GDP","Ratio: Inward FPI to GDP","Mean_of_Ratio"
"Q1 1990",231244,NA,7.06840061475162,NA,NA,110232.699810606,NA,NA,279124.223011364,691928,NA,0.685749619958473
"Q2 1990",234640,NA,7.06840061475162,NA,NA,110232.699810606,NA,NA,279124.223011364,695624,NA,0.685749619958473
"Q3 1990",239495,NA,7.06840061475162,NA,NA,110232.699810606,NA,NA,279124.223011364,697684,NA,0.685749619958473
"Q4 1990",247943,NA,7.06840061475162,NA,NA,110232.699810606,NA,NA,279124.223011364,696768,NA,0.685749619958473
"Q1 1991",263546,NA,7.06840061475162,NA,NA,110232.699810606,NA,NA,279124.223011364,694008,NA,0.685749619958473
"Q2 1991",266310,NA,7.06840061475162,NA,NA,110232.699810606,NA,NA,279124.223011364,701572,NA,0.685749619958473
"Q3 1991",275298,NA,7.06840061475162,NA,NA,110232.699810606,NA,NA,279124.223011364,704796,NA,0.685749619958473
"Q4 1991",288729,NA,7.06840061475162,NA,NA,110232.699810606,NA,NA,279124.223011364,706716,NA,0.685749619958473
"Q1 1992",296595,NA,7.06840061475162,NA,NA,110232.699810606,NA,NA,279124.223011364,710008,NA,0.685749619958473
"Q2 1992",309673,NA,7.06840061475162,NA,NA,110232.699810606,NA,NA,279124.223011364,714744,NA,0.685749619958473
"Q3 1992",316313,NA,7.06840061475162,NA,NA,110232.699810606,NA,NA,279124.223011364,721660,NA,0.685749619958473
"Q4 1992",321123,NA,7.06840061475162,NA,NA,110232.699810606,NA,NA,279124.223011364,727332,NA,0.685749619958473
"Q1 1993",371638,NA,7.06840061475162,NA,NA,110232.699810606,NA,NA,279124.223011364,733952,NA,0.685749619958473
"Q2 1993",387100,NA,7.06840061475162,NA,NA,110232.699810606,NA,NA,279124.223011364,745360,NA,0.685749619958473
"Q3 1993",407768,NA,7.06840061475162,NA,NA,110232.699810606,NA,NA,279124.223011364,750068,NA,0.685749619958473
"Q4 1993",411293,NA,7.06840061475162,NA,NA,110232.699810606,NA,NA,279124.223011364,758768,NA,0.685749619958473
"Q1 1994",408355,NA,7.06840061475162,NA,NA,110232.699810606,NA,NA,279124.223011364,772656,NA,0.685749619958473
"Q2 1994",419735,NA,7.06840061475162,NA,NA,110232.699810606,NA,NA,279124.223011364,783660,NA,0.685749619958473
"Q3 1994",422055,NA,7.06840061475162,NA,NA,110232.699810606,NA,NA,279124.223011364,800784,NA,0.685749619958473
"Q4 1994",425478,NA,7.06840061475162,NA,NA,110232.699810606,NA,NA,279124.223011364,810788,NA,0.685749619958473
"Q1 1995",473375,NA,7.06840061475162,NA,NA,110232.699810606,NA,NA,279124.223011364,823972,NA,0.685749619958473
"Q2 1995",478496,NA,7.06840061475162,NA,NA,110232.699810606,NA,NA,279124.223011364,828856,NA,0.685749619958473
"Q3 1995",483055,NA,7.06840061475162,NA,NA,110232.699810606,NA,NA,279124.223011364,832976,NA,0.685749619958473
"Q4 1995",488330,NA,7.06840061475162,NA,NA,110232.699810606,NA,NA,279124.223011364,840680,NA,0.685749619958473
"Q1 1996",500936,NA,7.06840061475162,NA,NA,110232.699810606,NA,NA,279124.223011364,844208,NA,0.685749619958473
"Q2 1996",506171,NA,7.06840061475162,NA,NA,110232.699810606,NA,NA,279124.223011364,852904,NA,0.685749619958473
"Q3 1996",511678,NA,7.06840061475162,NA,NA,110232.699810606,NA,NA,279124.223011364,864544,NA,0.685749619958473
"Q4 1996",529517,NA,7.06840061475162,NA,NA,110232.699810606,NA,NA,279124.223011364,877680,NA,0.685749619958473
"Q1 1997",536774,NA,7.06840061475162,NA,NA,110232.699810606,NA,NA,279124.223011364,891748,NA,0.685749619958473
"Q2 1997",542271,NA,7.06840061475162,NA,NA,110232.699810606,NA,NA,279124.223011364,899412,NA,0.685749619958473
"Q3 1997",562444,NA,7.06840061475162,NA,NA,110232.699810606,NA,NA,279124.223011364,912564,NA,0.685749619958473
"Q4 1997",564610,NA,7.06840061475162,NA,NA,110232.699810606,NA,NA,279124.223011364,923980,NA,0.685749619958473
