"Period","Monetary Base","percent_change","average","three Year Trend","Deviation From 3 Year Trend","Mean of 3 Year Trend","eight Year Trend","Deviation From 8 Year Trend","Mean of 8 Year Trend","GDP","Ratio: Monetary Base to GDP","Mean_of_Ratio"
"Q1 1961",2815,NA,4.82760090927788,NA,NA,3512.28044871795,NA,NA,9045.29567307692,40672,NA,0.036270832949766
"Q2 1961",2823,NA,4.82760090927788,NA,NA,3512.28044871795,NA,NA,9045.29567307692,41568,NA,0.036270832949766
"Q3 1961",2894,NA,4.82760090927788,NA,NA,3512.28044871795,NA,NA,9045.29567307692,42680,NA,0.036270832949766
"Q4 1961",2944,NA,4.82760090927788,NA,NA,3512.28044871795,NA,NA,9045.29567307692,43476,NA,0.036270832949766
"Q1 1962",2997,NA,4.82760090927788,NA,NA,3512.28044871795,NA,NA,9045.29567307692,44696,NA,0.036270832949766
"Q2 1962",3062,NA,4.82760090927788,NA,NA,3512.28044871795,NA,NA,9045.29567307692,45200,NA,0.036270832949766
"Q3 1962",3033,NA,4.82760090927788,NA,NA,3512.28044871795,NA,NA,9045.29567307692,46144,NA,0.036270832949766
"Q4 1962",3074,NA,4.82760090927788,NA,NA,3512.28044871795,NA,NA,9045.29567307692,47224,NA,0.036270832949766
"Q1 1963",3096,NA,4.82760090927788,NA,NA,3512.28044871795,NA,NA,9045.29567307692,47668,NA,0.036270832949766
"Q2 1963",3130,NA,4.82760090927788,NA,NA,3512.28044871795,NA,NA,9045.29567307692,48644,NA,0.036270832949766
"Q3 1963",3179,NA,4.82760090927788,NA,NA,3512.28044871795,NA,NA,9045.29567307692,49444,NA,0.036270832949766
"Q4 1963",3217,NA,4.82760090927788,NA,NA,3512.28044871795,NA,NA,9045.29567307692,51452,NA,0.036270832949766
"Q1 1964",3266,NA,4.82760090927788,NA,NA,3512.28044871795,NA,NA,9045.29567307692,52652,NA,0.036270832949766
"Q2 1964",3295,NA,4.82760090927788,NA,NA,3512.28044871795,NA,NA,9045.29567307692,53516,NA,0.036270832949766
