"Period","Money Supply M2","percent_change","average","three Year Trend","Deviation From 3 Year Trend","Mean of 3 Year Trend","eight Year Trend","Deviation From 8 Year Trend","Mean of 8 Year Trend","GDP","Ratio: Money Supply M2 to GDP","Mean_of_Ratio"
"Q1 1968",25914,NA,5.78232391104603,NA,NA,68287.9799679487,NA,NA,174357.442908654,75408,NA,0.559288545922521
"Q2 1968",26892,NA,5.78232391104603,NA,NA,68287.9799679487,NA,NA,174357.442908654,77760,NA,0.559288545922521
"Q3 1968",28017,NA,5.78232391104603,NA,NA,68287.9799679487,NA,NA,174357.442908654,79544,NA,0.559288545922521
"Q4 1968",28964,NA,5.78232391104603,NA,NA,68287.9799679487,NA,NA,174357.442908654,81564,NA,0.559288545922521
"Q1 1969",29818,NA,5.78232391104603,NA,NA,68287.9799679487,NA,NA,174357.442908654,83876,NA,0.559288545922521
"Q2 1969",30144,NA,5.78232391104603,NA,NA,68287.9799679487,NA,NA,174357.442908654,85564,NA,0.559288545922521
"Q3 1969",30996,NA,5.78232391104603,NA,NA,68287.9799679487,NA,NA,174357.442908654,87224,NA,0.559288545922521
"Q4 1969",31569,NA,5.78232391104603,NA,NA,68287.9799679487,NA,NA,174357.442908654,89408,NA,0.559288545922521
"Q1 1970",32020,NA,5.78232391104603,NA,NA,68287.9799679487,NA,NA,174357.442908654,91460,NA,0.559288545922521
"Q2 1970",32799,NA,5.78232391104603,NA,NA,68287.9799679487,NA,NA,174357.442908654,92284,NA,0.559288545922521
"Q3 1970",33422,NA,5.78232391104603,NA,NA,68287.9799679487,NA,NA,174357.442908654,94196,NA,0.559288545922521
"Q4 1970",34420,NA,5.78232391104603,NA,NA,68287.9799679487,NA,NA,174357.442908654,95004,NA,0.559288545922521
"Q1 1971",35893,NA,5.78232391104603,NA,NA,68287.9799679487,NA,NA,174357.442908654,96388,NA,0.559288545922521
"Q2 1971",36891,NA,5.78232391104603,NA,NA,68287.9799679487,NA,NA,174357.442908654,100420,NA,0.559288545922521
"Q3 1971",37999,NA,5.78232391104603,NA,NA,68287.9799679487,NA,NA,174357.442908654,103736,NA,0.559288545922521
"Q4 1971",38429,NA,5.78232391104603,NA,NA,68287.9799679487,NA,NA,174357.442908654,106528,NA,0.559288545922521
