"Period","Net Intl Investment Position","percent_change","average","three Year Trend","Deviation From 3 Year Trend","Mean of 3 Year Trend","eight Year Trend","Deviation From 8 Year Trend","Mean of 8 Year Trend","GDP","Ratio: Net Intl Investment Position to GDP","Mean_of_Ratio"
"Q1 1990",-269780,NA,11.9493073425889,NA,NA,72729.2206439394,NA,NA,155654.917258523,691928,NA,-0.0381636126798303
"Q2 1990",-274999,NA,11.9493073425889,NA,NA,72729.2206439394,NA,NA,155654.917258523,695624,NA,-0.0381636126798303
"Q3 1990",-280364,NA,11.9493073425889,NA,NA,72729.2206439394,NA,NA,155654.917258523,697684,NA,-0.0381636126798303
"Q4 1990",-277174,NA,11.9493073425889,NA,NA,72729.2206439394,NA,NA,155654.917258523,696768,NA,-0.0381636126798303
"Q1 1991",-301890,NA,11.9493073425889,NA,NA,72729.2206439394,NA,NA,155654.917258523,694008,NA,-0.0381636126798303
"Q2 1991",-296571,NA,11.9493073425889,NA,NA,72729.2206439394,NA,NA,155654.917258523,701572,NA,-0.0381636126798303
"Q3 1991",-298936,NA,11.9493073425889,NA,NA,72729.2206439394,NA,NA,155654.917258523,704796,NA,-0.0381636126798303
"Q4 1991",-300676,NA,11.9493073425889,NA,NA,72729.2206439394,NA,NA,155654.917258523,706716,NA,-0.0381636126798303
"Q1 1992",-311397,NA,11.9493073425889,NA,NA,72729.2206439394,NA,NA,155654.917258523,710008,NA,-0.0381636126798303
"Q2 1992",-315025,NA,11.9493073425889,NA,NA,72729.2206439394,NA,NA,155654.917258523,714744,NA,-0.0381636126798303
"Q3 1992",-313808,NA,11.9493073425889,NA,NA,72729.2206439394,NA,NA,155654.917258523,721660,NA,-0.0381636126798303
"Q4 1992",-321968,NA,11.9493073425889,NA,NA,72729.2206439394,NA,NA,155654.917258523,727332,NA,-0.0381636126798303
"Q1 1993",-354916,NA,11.9493073425889,NA,NA,72729.2206439394,NA,NA,155654.917258523,733952,NA,-0.0381636126798303
"Q2 1993",-365828,NA,11.9493073425889,NA,NA,72729.2206439394,NA,NA,155654.917258523,745360,NA,-0.0381636126798303
"Q3 1993",-363261,NA,11.9493073425889,NA,NA,72729.2206439394,NA,NA,155654.917258523,750068,NA,-0.0381636126798303
"Q4 1993",-373373,NA,11.9493073425889,NA,NA,72729.2206439394,NA,NA,155654.917258523,758768,NA,-0.0381636126798303
"Q1 1994",-353358,NA,11.9493073425889,NA,NA,72729.2206439394,NA,NA,155654.917258523,772656,NA,-0.0381636126798303
"Q2 1994",-352954,NA,11.9493073425889,NA,NA,72729.2206439394,NA,NA,155654.917258523,783660,NA,-0.0381636126798303
"Q3 1994",-352366,NA,11.9493073425889,NA,NA,72729.2206439394,NA,NA,155654.917258523,800784,NA,-0.0381636126798303
"Q4 1994",-355073,NA,11.9493073425889,NA,NA,72729.2206439394,NA,NA,155654.917258523,810788,NA,-0.0381636126798303
"Q1 1995",-386634,NA,11.9493073425889,NA,NA,72729.2206439394,NA,NA,155654.917258523,823972,NA,-0.0381636126798303
