"Period","Outward Cross-Border Deposits","percent_change","average","three Year Trend","Deviation From 3 Year Trend","Mean of 3 Year Trend","eight Year Trend","Deviation From 8 Year Trend","Mean of 8 Year Trend","GDP","Ratio: Outward Cross-Border Deposits to GDP","Mean_of_Ratio"
"Q1 1990",52673,NA,7.32657503797818,NA,NA,20124.4450757576,NA,NA,52356.4172585227,691928,NA,0.125551462179631
"Q2 1990",54122,NA,7.32657503797818,NA,NA,20124.4450757576,NA,NA,52356.4172585227,695624,NA,0.125551462179631
"Q3 1990",58167,NA,7.32657503797818,NA,NA,20124.4450757576,NA,NA,52356.4172585227,697684,NA,0.125551462179631
"Q4 1990",60101,NA,7.32657503797818,NA,NA,20124.4450757576,NA,NA,52356.4172585227,696768,NA,0.125551462179631
"Q1 1991",55805,NA,7.32657503797818,NA,NA,20124.4450757576,NA,NA,52356.4172585227,694008,NA,0.125551462179631
"Q2 1991",51671,NA,7.32657503797818,NA,NA,20124.4450757576,NA,NA,52356.4172585227,701572,NA,0.125551462179631
"Q3 1991",52934,NA,7.32657503797818,NA,NA,20124.4450757576,NA,NA,52356.4172585227,704796,NA,0.125551462179631
"Q4 1991",54073,NA,7.32657503797818,NA,NA,20124.4450757576,NA,NA,52356.4172585227,706716,NA,0.125551462179631
"Q1 1992",47131,NA,7.32657503797818,NA,NA,20124.4450757576,NA,NA,52356.4172585227,710008,NA,0.125551462179631
"Q2 1992",51615,NA,7.32657503797818,NA,NA,20124.4450757576,NA,NA,52356.4172585227,714744,NA,0.125551462179631
"Q3 1992",60487,NA,7.32657503797818,NA,NA,20124.4450757576,NA,NA,52356.4172585227,721660,NA,0.125551462179631
"Q4 1992",57033,NA,7.32657503797818,NA,NA,20124.4450757576,NA,NA,52356.4172585227,727332,NA,0.125551462179631
"Q1 1993",52121,NA,7.32657503797818,NA,NA,20124.4450757576,NA,NA,52356.4172585227,733952,NA,0.125551462179631
"Q2 1993",49390,NA,7.32657503797818,NA,NA,20124.4450757576,NA,NA,52356.4172585227,745360,NA,0.125551462179631
"Q3 1993",56663,NA,7.32657503797818,NA,NA,20124.4450757576,NA,NA,52356.4172585227,750068,NA,0.125551462179631
"Q4 1993",49112,NA,7.32657503797818,NA,NA,20124.4450757576,NA,NA,52356.4172585227,758768,NA,0.125551462179631
"Q1 1994",53919,NA,7.32657503797818,NA,NA,20124.4450757576,NA,NA,52356.4172585227,772656,NA,0.125551462179631
"Q2 1994",63159,NA,7.32657503797818,NA,NA,20124.4450757576,NA,NA,52356.4172585227,783660,NA,0.125551462179631
"Q3 1994",63253,NA,7.32657503797818,NA,NA,20124.4450757576,NA,NA,52356.4172585227,800784,NA,0.125551462179631
"Q4 1994",73133,NA,7.32657503797818,NA,NA,20124.4450757576,NA,NA,52356.4172585227,810788,NA,0.125551462179631
"Q1 1995",77650,NA,7.32657503797818,NA,NA,20124.4450757576,NA,NA,52356.4172585227,823972,NA,0.125551462179631
"Q2 1995",79433,NA,7.32657503797818,NA,NA,20124.4450757576,NA,NA,52356.4172585227,828856,NA,0.125551462179631
"Q3 1995",80734,NA,7.32657503797818,NA,NA,20124.4450757576,NA,NA,52356.4172585227,832976,NA,0.125551462179631
"Q4 1995",80558,NA,7.32657503797818,NA,NA,20124.4450757576,NA,NA,52356.4172585227,840680,NA,0.125551462179631
"Q1 1996",78850,NA,7.32657503797818,NA,NA,20124.4450757576,NA,NA,52356.4172585227,844208,NA,0.125551462179631
"Q2 1996",85150,NA,7.32657503797818,NA,NA,20124.4450757576,NA,NA,52356.4172585227,852904,NA,0.125551462179631
"Q3 1996",84275,NA,7.32657503797818,NA,NA,20124.4450757576,NA,NA,52356.4172585227,864544,NA,0.125551462179631
"Q4 1996",99046,NA,7.32657503797818,NA,NA,20124.4450757576,NA,NA,52356.4172585227,877680,NA,0.125551462179631
"Q1 1997",101292,NA,7.32657503797818,NA,NA,20124.4450757576,NA,NA,52356.4172585227,891748,NA,0.125551462179631
"Q2 1997",105088,NA,7.32657503797818,NA,NA,20124.4450757576,NA,NA,52356.4172585227,899412,NA,0.125551462179631
"Q3 1997",96743,NA,7.32657503797818,NA,NA,20124.4450757576,NA,NA,52356.4172585227,912564,NA,0.125551462179631
"Q4 1997",102104,NA,7.32657503797818,NA,NA,20124.4450757576,NA,NA,52356.4172585227,923980,NA,0.125551462179631
"Q1 1998",103662,2.33977016941121,7.32657503797818,91411.25,12250.75,20124.4450757576,69952.3125,33709.6875,52356.4172585227,934612,0.110914475739665,0.125551462179631
"Q2 1998",110402,5.0567143727162,7.32657503797818,93992,16410,20124.4450757576,71711.0625,38690.9375,52356.4172585227,935212,0.118050238876319,0.125551462179631
"Q3 1998",107607,11.2297530570687,7.32657503797818,96231.4166666667,11375.5833333333,20124.4450757576,73256.0625,34350.9375,52356.4172585227,938872,0.114613067596009,0.125551462179631
"Q4 1998",118449,16.0081877301575,7.32657503797818,99389,19060,20124.4450757576,75079.4375,43369.5625,52356.4172585227,953496,0.12422600619195,0.125551462179631
"Q1 1999",99139,-4.36321892303834,7.32657503797818,101079.75,-1940.75,20124.4450757576,76433.625,22705.375,52356.4172585227,975240,0.101656002624995,0.125551462179631
"Q2 1999",93550,-15.2642162279669,7.32657503797818,101779.75,-8229.75,20124.4450757576,77742.34375,15807.65625,52356.4172585227,994172,0.0940984055072965,0.125551462179631
"Q3 1999",106037,-1.45901288949604,7.32657503797818,103593.25,2443.75,20124.4450757576,79401.8125,26635.1875,52356.4172585227,1021308,0.103824703223709,0.125551462179631
"Q4 1999",101680,-14.1571478020076,7.32657503797818,103812.75,-2132.75,20124.4450757576,80889.53125,20790.46875,52356.4172585227,1040988,0.0976764381529854,0.125551462179631
"Q1 2000",97379,-1.77528520562039,7.32657503797818,103486.666666667,-6107.66666666667,20124.4450757576,82459.78125,14919.21875,52356.4172585227,1070188,0.0909924237610588,0.125551462179631
"Q2 2000",105991,13.2987707108498,7.32657503797818,103561.916666667,2429.08333333333,20124.4450757576,84159.03125,21831.96875,52356.4172585227,1099448,0.0964038317410191,0.125551462179631
"Q3 2000",107594,1.46835538538435,7.32657503797818,104466.166666667,3127.83333333333,20124.4450757576,85631.125,21962.875,52356.4172585227,1121768,0.0959146632815342,0.125551462179631
"Q4 2000",101448,-0.22816679779701,7.32657503797818,104411.5,-2963.5,20124.4450757576,87019.09375,14428.90625,52356.4172585227,1132880,0.0895487606807429,0.125551462179631
"Q1 2001",104975,7.80044978896887,7.32657503797818,104520.916666667,454.083333333328,20124.4450757576,88670.78125,16304.21875,52356.4172585227,1149924,0.0912886416841461,0.125551462179631
"Q2 2001",93314,-11.960449472125,7.32657503797818,103096.916666667,-9782.91666666667,20124.4450757576,90043.40625,3270.59375,52356.4172585227,1152860,0.08094131117395,0.125551462179631
"Q3 2001",93212,-13.3669163708013,7.32657503797818,101897.333333333,-8685.33333333333,20124.4450757576,91185.5625,2026.4375,52356.4172585227,1138804,0.0818507838047636,0.125551462179631
"Q4 2001",108929,7.37422127592461,7.32657503797818,101104,7825,20124.4450757576,93054.84375,15874.15625,52356.4172585227,1136584,0.0958389349137415,0.125551462179631
"Q1 2002",106453,1.40795427482734,7.32657503797818,101713.5,4739.5,20124.4450757576,94696.53125,11756.46875,52356.4172585227,1158640,0.0918775460885176,0.125551462179631
"Q2 2002",100878,8.10596480699573,7.32657503797818,102324.166666667,-1446.16666666667,20124.4450757576,95875.25,5002.75,52356.4172585227,1185892,0.0850650818118345,0.125551462179631
"Q3 2002",101945,9.36896536926576,7.32657503797818,101983.166666667,-38.1666666666715,20124.4450757576,97084.375,4860.625,52356.4172585227,1204144,0.0846618012463626,0.125551462179631
"Q4 2002",99056,-9.06370204445097,7.32657503797818,101764.5,-2708.5,20124.4450757576,97894.46875,1161.53125,52356.4172585227,1226100,0.0807894951472147,0.125551462179631
"Q1 2003",110205,3.52456013451946,7.32657503797818,102833.333333333,7371.66666666667,20124.4450757576,98911.8125,11293.1875,52356.4172585227,1250088,0.0881577936913241,0.125551462179631
"Q2 2003",98514,-2.34342473086302,7.32657503797818,102210.25,-3696.25,20124.4450757576,99508.09375,-994.09375,52356.4172585227,1237720,0.0795931228387681,0.125551462179631
"Q3 2003",98661,-3.2213448428074,7.32657503797818,101465.833333333,-2804.83333333333,20124.4450757576,100068.3125,-1407.3125,52356.4172585227,1258296,0.0784084190047493,0.125551462179631
"Q4 2003",103583,4.57014214181877,7.32657503797818,101643.75,1939.25,20124.4450757576,100787.84375,2795.15625,52356.4172585227,1272884,0.0813766219074165,0.125551462179631
"Q1 2004",105327,-4.4262964475296,7.32657503797818,101673.083333333,3653.91666666667,20124.4450757576,101615.25,3711.75,52356.4172585227,1296216,0.0812572904515914,0.125551462179631
"Q2 2004",115853,17.6005440851047,7.32657503797818,103551.333333333,12301.6666666667,20124.4450757576,102574.71875,13278.28125,52356.4172585227,1328148,0.0872289835168972,0.125551462179631
"Q3 2004",104985,6.40982759144951,7.32657503797818,104532.416666667,452.583333333328,20124.4450757576,103221.90625,1763.09375,52356.4172585227,1351480,0.0776815047207506,0.125551462179631
"Q4 2004",109442,5.65633356824962,7.32657503797818,104575.166666667,4866.83333333333,20124.4450757576,103546.78125,5895.21875,52356.4172585227,1367080,0.0800553003481874,0.125551462179631
"Q1 2005",119304,13.2701016833291,7.32657503797818,105646.083333333,13657.9166666667,20124.4450757576,104109.65625,15194.34375,52356.4172585227,1380324,0.0864318812104984,0.125551462179631
"Q2 2005",124085,7.10555617895091,7.32657503797818,107580,16505,20124.4450757576,104703.3125,19381.6875,52356.4172585227,1399608,0.0886569668078491,0.125551462179631
"Q3 2005",131571,25.3236176596657,7.32657503797818,110048.833333333,21522.1666666667,20124.4450757576,105791.6875,25779.3125,52356.4172585227,1436992,0.0915600086848083,0.125551462179631
"Q4 2005",120813,10.3899782533214,7.32657503797818,111861.916666667,8951.08333333333,20124.4450757576,106376.34375,14436.65625,52356.4172585227,1469436,0.0822172588666672,0.125551462179631
"Q1 2006",135203,13.3264601354523,7.32657503797818,113945.083333333,21257.9166666667,20124.4450757576,107362,27841,52356.4172585227,1476000,0.0916009485094851,0.125551462179631
"Q2 2006",147845,19.148164564613,7.32657503797818,118056,29789,20124.4450757576,108532.09375,39312.90625,52356.4172585227,1490716,0.0991771739217933,0.125551462179631
"Q3 2006",152119,15.6174232923669,7.32657503797818,122510.833333333,29608.1666666667,20124.4450757576,109923.09375,42195.90625,52356.4172585227,1504936,0.101080045928863,0.125551462179631
"Q4 2006",132220,9.44186469999089,7.32657503797818,124897.25,7322.75,20124.4450757576,110353.4375,21866.5625,52356.4172585227,1514764,0.0872875246573064,0.125551462179631
"Q1 2007",136995,1.32541437689992,7.32657503797818,127536.25,9458.75,20124.4450757576,111536.4375,25458.5625,52356.4172585227,1547276,0.088539471949413,0.125551462179631
"Q2 2007",141442,-4.33088707768271,7.32657503797818,129668.666666667,11773.3333333333,20124.4450757576,113033.0625,28408.9375,52356.4172585227,1576612,0.0897126242854932,0.125551462179631
"Q3 2007",151480,-0.420065869483759,7.32657503797818,133543.25,17936.75,20124.4450757576,114453.15625,37026.84375,52356.4172585227,1582248,0.0957372042815033,0.125551462179631
"Q4 2007",157894,19.4176372712146,7.32657503797818,137580.916666667,20313.0833333333,20124.4450757576,116209.84375,41684.15625,52356.4172585227,1604508,0.0984064897152273,0.125551462179631
"Q1 2008",177536,29.5930508412716,7.32657503797818,142433.583333333,35102.4166666667,20124.4450757576,118714.75,58821.25,52356.4172585227,1637296,0.108432439827618,0.125551462179631
"Q2 2008",185357,31.0480621031942,7.32657503797818,147539.583333333,37817.4166666667,20124.4450757576,121194.9375,64162.0625,52356.4172585227,1677448,0.110499401471759,0.125551462179631
"Q3 2008",198387,30.9658040665434,7.32657503797818,153107.583333333,45279.4166666667,20124.4450757576,124032.21875,74354.78125,52356.4172585227,1694512,0.117076184765879,0.125551462179631
