"Period","Outward Cross-Border Loans","percent_change","average","three Year Trend","Deviation From 3 Year Trend","Mean of 3 Year Trend","eight Year Trend","Deviation From 8 Year Trend","Mean of 8 Year Trend","GDP","Ratio: Outward Cross-Border Loans to GDP","Mean_of_Ratio"
"Q1 1990",14214,NA,9.25296465052967,NA,NA,16670.2196969697,NA,NA,40726.3852982955,691928,NA,0.0720828224872548
"Q2 1990",13371,NA,9.25296465052967,NA,NA,16670.2196969697,NA,NA,40726.3852982955,695624,NA,0.0720828224872548
"Q3 1990",14004,NA,9.25296465052967,NA,NA,16670.2196969697,NA,NA,40726.3852982955,697684,NA,0.0720828224872548
"Q4 1990",17255,NA,9.25296465052967,NA,NA,16670.2196969697,NA,NA,40726.3852982955,696768,NA,0.0720828224872548
"Q1 1991",16030,NA,9.25296465052967,NA,NA,16670.2196969697,NA,NA,40726.3852982955,694008,NA,0.0720828224872548
"Q2 1991",15892,NA,9.25296465052967,NA,NA,16670.2196969697,NA,NA,40726.3852982955,701572,NA,0.0720828224872548
"Q3 1991",16175,NA,9.25296465052967,NA,NA,16670.2196969697,NA,NA,40726.3852982955,704796,NA,0.0720828224872548
"Q4 1991",18486,NA,9.25296465052967,NA,NA,16670.2196969697,NA,NA,40726.3852982955,706716,NA,0.0720828224872548
"Q1 1992",18768,NA,9.25296465052967,NA,NA,16670.2196969697,NA,NA,40726.3852982955,710008,NA,0.0720828224872548
"Q2 1992",20170,NA,9.25296465052967,NA,NA,16670.2196969697,NA,NA,40726.3852982955,714744,NA,0.0720828224872548
"Q3 1992",22255,NA,9.25296465052967,NA,NA,16670.2196969697,NA,NA,40726.3852982955,721660,NA,0.0720828224872548
"Q4 1992",21007,NA,9.25296465052967,NA,NA,16670.2196969697,NA,NA,40726.3852982955,727332,NA,0.0720828224872548
"Q1 1993",20534,NA,9.25296465052967,NA,NA,16670.2196969697,NA,NA,40726.3852982955,733952,NA,0.0720828224872548
"Q2 1993",20733,NA,9.25296465052967,NA,NA,16670.2196969697,NA,NA,40726.3852982955,745360,NA,0.0720828224872548
"Q3 1993",22430,NA,9.25296465052967,NA,NA,16670.2196969697,NA,NA,40726.3852982955,750068,NA,0.0720828224872548
"Q4 1993",22674,NA,9.25296465052967,NA,NA,16670.2196969697,NA,NA,40726.3852982955,758768,NA,0.0720828224872548
"Q1 1994",24018,NA,9.25296465052967,NA,NA,16670.2196969697,NA,NA,40726.3852982955,772656,NA,0.0720828224872548
"Q2 1994",24191,NA,9.25296465052967,NA,NA,16670.2196969697,NA,NA,40726.3852982955,783660,NA,0.0720828224872548
"Q3 1994",23697,NA,9.25296465052967,NA,NA,16670.2196969697,NA,NA,40726.3852982955,800784,NA,0.0720828224872548
"Q4 1994",23931,NA,9.25296465052967,NA,NA,16670.2196969697,NA,NA,40726.3852982955,810788,NA,0.0720828224872548
"Q1 1995",24417,NA,9.25296465052967,NA,NA,16670.2196969697,NA,NA,40726.3852982955,823972,NA,0.0720828224872548
"Q2 1995",25549,NA,9.25296465052967,NA,NA,16670.2196969697,NA,NA,40726.3852982955,828856,NA,0.0720828224872548
"Q3 1995",24415,NA,9.25296465052967,NA,NA,16670.2196969697,NA,NA,40726.3852982955,832976,NA,0.0720828224872548
"Q4 1995",36250,NA,9.25296465052967,NA,NA,16670.2196969697,NA,NA,40726.3852982955,840680,NA,0.0720828224872548
"Q1 1996",34874,NA,9.25296465052967,NA,NA,16670.2196969697,NA,NA,40726.3852982955,844208,NA,0.0720828224872548
"Q2 1996",41386,NA,9.25296465052967,NA,NA,16670.2196969697,NA,NA,40726.3852982955,852904,NA,0.0720828224872548
"Q3 1996",46319,NA,9.25296465052967,NA,NA,16670.2196969697,NA,NA,40726.3852982955,864544,NA,0.0720828224872548
"Q4 1996",42359,NA,9.25296465052967,NA,NA,16670.2196969697,NA,NA,40726.3852982955,877680,NA,0.0720828224872548
"Q1 1997",52139,NA,9.25296465052967,NA,NA,16670.2196969697,NA,NA,40726.3852982955,891748,NA,0.0720828224872548
