"Period","Outward FDI","percent_change","average","three Year Trend","Deviation From 3 Year Trend","Mean of 3 Year Trend","eight Year Trend","Deviation From 8 Year Trend","Mean of 8 Year Trend","GDP","Ratio: Outward FDI to GDP","Mean_of_Ratio"
"Q1 1990",142086,NA,8.26955646274341,NA,NA,106064.917613636,NA,NA,274790.729403409,691928,NA,0.648888127821373
"Q2 1990",141705,NA,8.26955646274341,NA,NA,106064.917613636,NA,NA,274790.729403409,695624,NA,0.648888127821373
"Q3 1990",133018,NA,8.26955646274341,NA,NA,106064.917613636,NA,NA,274790.729403409,697684,NA,0.648888127821373
"Q4 1990",131559,NA,8.26955646274341,NA,NA,106064.917613636,NA,NA,274790.729403409,696768,NA,0.648888127821373
"Q1 1991",150615,NA,8.26955646274341,NA,NA,106064.917613636,NA,NA,274790.729403409,694008,NA,0.648888127821373
"Q2 1991",151456,NA,8.26955646274341,NA,NA,106064.917613636,NA,NA,274790.729403409,701572,NA,0.648888127821373
"Q3 1991",157253,NA,8.26955646274341,NA,NA,106064.917613636,NA,NA,274790.729403409,704796,NA,0.648888127821373
"Q4 1991",164620,NA,8.26955646274341,NA,NA,106064.917613636,NA,NA,274790.729403409,706716,NA,0.648888127821373
"Q1 1992",161208,NA,8.26955646274341,NA,NA,106064.917613636,NA,NA,274790.729403409,710008,NA,0.648888127821373
"Q2 1992",163257,NA,8.26955646274341,NA,NA,106064.917613636,NA,NA,274790.729403409,714744,NA,0.648888127821373
"Q3 1992",166286,NA,8.26955646274341,NA,NA,106064.917613636,NA,NA,274790.729403409,721660,NA,0.648888127821373
"Q4 1992",172695,NA,8.26955646274341,NA,NA,106064.917613636,NA,NA,274790.729403409,727332,NA,0.648888127821373
"Q1 1993",174120,NA,8.26955646274341,NA,NA,106064.917613636,NA,NA,274790.729403409,733952,NA,0.648888127821373
"Q2 1993",177999,NA,8.26955646274341,NA,NA,106064.917613636,NA,NA,274790.729403409,745360,NA,0.648888127821373
"Q3 1993",189534,NA,8.26955646274341,NA,NA,106064.917613636,NA,NA,274790.729403409,750068,NA,0.648888127821373
"Q4 1993",200387,NA,8.26955646274341,NA,NA,106064.917613636,NA,NA,274790.729403409,758768,NA,0.648888127821373
"Q1 1994",209811,NA,8.26955646274341,NA,NA,106064.917613636,NA,NA,274790.729403409,772656,NA,0.648888127821373
"Q2 1994",201905,NA,8.26955646274341,NA,NA,106064.917613636,NA,NA,274790.729403409,783660,NA,0.648888127821373
"Q3 1994",212402,NA,8.26955646274341,NA,NA,106064.917613636,NA,NA,274790.729403409,800784,NA,0.648888127821373
"Q4 1994",220634,NA,8.26955646274341,NA,NA,106064.917613636,NA,NA,274790.729403409,810788,NA,0.648888127821373
"Q1 1995",236508,NA,8.26955646274341,NA,NA,106064.917613636,NA,NA,274790.729403409,823972,NA,0.648888127821373
