"Period","Outward FPI - Bonds","percent_change","average","three Year Trend","Deviation From 3 Year Trend","Mean of 3 Year Trend","eight Year Trend","Deviation From 8 Year Trend","Mean of 8 Year Trend","GDP","Ratio: Outward FPI - Bonds to GDP","Mean_of_Ratio"
"Q1 1990",9240,NA,16.0885121418212,NA,NA,32234.8106060606,NA,NA,73499.6981534091,691928,NA,0.100368706378029
"Q2 1990",10309,NA,16.0885121418212,NA,NA,32234.8106060606,NA,NA,73499.6981534091,695624,NA,0.100368706378029
"Q3 1990",9621,NA,16.0885121418212,NA,NA,32234.8106060606,NA,NA,73499.6981534091,697684,NA,0.100368706378029
"Q4 1990",10085,NA,16.0885121418212,NA,NA,32234.8106060606,NA,NA,73499.6981534091,696768,NA,0.100368706378029
"Q1 1991",10041,NA,16.0885121418212,NA,NA,32234.8106060606,NA,NA,73499.6981534091,694008,NA,0.100368706378029
"Q2 1991",10484,NA,16.0885121418212,NA,NA,32234.8106060606,NA,NA,73499.6981534091,701572,NA,0.100368706378029
"Q3 1991",11449,NA,16.0885121418212,NA,NA,32234.8106060606,NA,NA,73499.6981534091,704796,NA,0.100368706378029
"Q4 1991",11572,NA,16.0885121418212,NA,NA,32234.8106060606,NA,NA,73499.6981534091,706716,NA,0.100368706378029
"Q1 1992",12319,NA,16.0885121418212,NA,NA,32234.8106060606,NA,NA,73499.6981534091,710008,NA,0.100368706378029
"Q2 1992",14365,NA,16.0885121418212,NA,NA,32234.8106060606,NA,NA,73499.6981534091,714744,NA,0.100368706378029
"Q3 1992",14217,NA,16.0885121418212,NA,NA,32234.8106060606,NA,NA,73499.6981534091,721660,NA,0.100368706378029
"Q4 1992",13363,NA,16.0885121418212,NA,NA,32234.8106060606,NA,NA,73499.6981534091,727332,NA,0.100368706378029
"Q1 1993",14000,NA,16.0885121418212,NA,NA,32234.8106060606,NA,NA,73499.6981534091,733952,NA,0.100368706378029
"Q2 1993",15518,NA,16.0885121418212,NA,NA,32234.8106060606,NA,NA,73499.6981534091,745360,NA,0.100368706378029
"Q3 1993",16729,NA,16.0885121418212,NA,NA,32234.8106060606,NA,NA,73499.6981534091,750068,NA,0.100368706378029
"Q4 1993",18908,NA,16.0885121418212,NA,NA,32234.8106060606,NA,NA,73499.6981534091,758768,NA,0.100368706378029
"Q1 1994",19398,NA,16.0885121418212,NA,NA,32234.8106060606,NA,NA,73499.6981534091,772656,NA,0.100368706378029
"Q2 1994",18928,NA,16.0885121418212,NA,NA,32234.8106060606,NA,NA,73499.6981534091,783660,NA,0.100368706378029
"Q3 1994",18092,NA,16.0885121418212,NA,NA,32234.8106060606,NA,NA,73499.6981534091,800784,NA,0.100368706378029
"Q4 1994",18263,NA,16.0885121418212,NA,NA,32234.8106060606,NA,NA,73499.6981534091,810788,NA,0.100368706378029
"Q1 1995",20785,NA,16.0885121418212,NA,NA,32234.8106060606,NA,NA,73499.6981534091,823972,NA,0.100368706378029
"Q2 1995",19559,NA,16.0885121418212,NA,NA,32234.8106060606,NA,NA,73499.6981534091,828856,NA,0.100368706378029
"Q3 1995",19341,NA,16.0885121418212,NA,NA,32234.8106060606,NA,NA,73499.6981534091,832976,NA,0.100368706378029
"Q4 1995",20045,NA,16.0885121418212,NA,NA,32234.8106060606,NA,NA,73499.6981534091,840680,NA,0.100368706378029
"Q1 1996",18986,NA,16.0885121418212,NA,NA,32234.8106060606,NA,NA,73499.6981534091,844208,NA,0.100368706378029
"Q2 1996",17898,NA,16.0885121418212,NA,NA,32234.8106060606,NA,NA,73499.6981534091,852904,NA,0.100368706378029
"Q3 1996",20564,NA,16.0885121418212,NA,NA,32234.8106060606,NA,NA,73499.6981534091,864544,NA,0.100368706378029
"Q4 1996",22534,NA,16.0885121418212,NA,NA,32234.8106060606,NA,NA,73499.6981534091,877680,NA,0.100368706378029
"Q1 1997",22994,NA,16.0885121418212,NA,NA,32234.8106060606,NA,NA,73499.6981534091,891748,NA,0.100368706378029
"Q2 1997",23329,NA,16.0885121418212,NA,NA,32234.8106060606,NA,NA,73499.6981534091,899412,NA,0.100368706378029
"Q3 1997",26699,NA,16.0885121418212,NA,NA,32234.8106060606,NA,NA,73499.6981534091,912564,NA,0.100368706378029
"Q4 1997",29467,NA,16.0885121418212,NA,NA,32234.8106060606,NA,NA,73499.6981534091,923980,NA,0.100368706378029
"Q1 1998",30795,33.9262416282508,16.0885121418212,22684.25,8110.75,32234.8106060606,17520.53125,13274.46875,73499.6981534091,934612,0.0329495020393489,0.100368706378029
"Q2 1998",29794,27.712289425179,16.0885121418212,23537.1666666667,6256.83333333333,32234.8106060606,18129.4375,11664.5625,73499.6981534091,935212,0.0318580172196251,0.100368706378029
"Q3 1998",33487,25.4241731900071,16.0885121418212,24716,8771,32234.8106060606,18875.25,14611.75,73499.6981534091,938872,0.0356672688076756,0.100368706378029
"Q4 1998",36309,23.2191943530051,16.0885121418212,26071.3333333333,10237.6666666667,32234.8106060606,19694.75,16614.25,73499.6981534091,953496,0.0380798660927786,0.100368706378029
"Q1 1999",34266,11.2713102776425,16.0885121418212,27344.6666666667,6921.33333333333,32234.8106060606,20451.78125,13814.21875,73499.6981534091,975240,0.0351359665313154,0.100368706378029
"Q2 1999",30528,2.46358327179969,16.0885121418212,28397.1666666667,2130.83333333333,32234.8106060606,21078.15625,9449.84375,73499.6981534091,994172,0.0307069601638348,0.100368706378029
"Q3 1999",32388,-3.28187057664168,16.0885121418212,29382.5,3005.5,32234.8106060606,21732.5,10655.5,73499.6981534091,1021308,0.0317122748475484,0.100368706378029
"Q4 1999",32586,-10.2536561183178,16.0885121418212,30220.1666666667,2365.83333333333,32234.8106060606,22389.1875,10196.8125,73499.6981534091,1040988,0.0313029545009164,0.100368706378029
"Q1 2000",34226,-0.116733788595109,16.0885121418212,31156.1666666667,3069.83333333333,32234.8106060606,23073.78125,11152.21875,73499.6981534091,1070188,0.0319812967441235,0.100368706378029
"Q2 2000",34095,11.6843553459119,16.0885121418212,32053.3333333333,2041.66666666667,32234.8106060606,23690.34375,10404.65625,73499.6981534091,1099448,0.0310110164373395,0.100368706378029
"Q3 2000",38679,19.4238606891441,16.0885121418212,33051.6666666667,5627.33333333334,32234.8106060606,24454.78125,14224.21875,73499.6981534091,1121768,0.0344803916674393,0.100368706378029
"Q4 2000",37429,14.8622107653594,16.0885121418212,33715.1666666667,3713.83333333334,32234.8106060606,25206.84375,12222.15625,73499.6981534091,1132880,0.0330388037567968,0.100368706378029
"Q1 2001",39680,15.9352539005434,16.0885121418212,34455.5833333333,5224.41666666666,32234.8106060606,26009.34375,13670.65625,73499.6981534091,1149924,0.0345066282641288,0.100368706378029
"Q2 2001",37045,8.65229505792638,16.0885121418212,35059.8333333333,1985.16666666666,32234.8106060606,26682.0625,10362.9375,73499.6981534091,1152860,0.0321331297815867,0.100368706378029
"Q3 2001",41500,7.29336332376742,16.0885121418212,35727.5833333333,5772.41666666666,32234.8106060606,27456.15625,14043.84375,73499.6981534091,1138804,0.0364417406331555,0.100368706378029
"Q4 2001",40268,7.58502765235513,16.0885121418212,36057.5,4210.5,32234.8106060606,28123.65625,12144.34375,73499.6981534091,1136584,0.0354289696142124,0.100368706378029
"Q1 2002",42396,6.84475806451613,16.0885121418212,36735,5661,32234.8106060606,28842.34375,13553.65625,73499.6981534091,1158640,0.0365911758613547,0.100368706378029
"Q2 2002",43774,18.1643946551491,16.0885121418212,37838.8333333333,5935.16666666666,32234.8106060606,29618.78125,14155.21875,73499.6981534091,1185892,0.036912298927727,0.100368706378029
"Q3 2002",48488,16.8385542168675,16.0885121418212,39180.5,9307.5,32234.8106060606,30568.65625,17919.34375,73499.6981534091,1204144,0.0402676091895986,0.100368706378029
"Q4 2002",47662,18.3619747690474,16.0885121418212,40436.8333333333,7225.16666666666,32234.8106060606,31487.375,16174.625,73499.6981534091,1226100,0.0388728488704021,0.100368706378029
"Q1 2003",48573,14.569770733088,16.0885121418212,41632.4166666667,6940.58333333334,32234.8106060606,32355.75,16217.25,73499.6981534091,1250088,0.0388556645612149,0.100368706378029
"Q2 2003",48682,11.21213505734,16.0885121418212,42848,5834,32234.8106060606,33265.84375,15416.15625,73499.6981534091,1237720,0.039331997543871,0.100368706378029
"Q3 2003",48438,-0.103118297310675,16.0885121418212,43661.25,4776.75,32234.8106060606,34175.125,14262.875,73499.6981534091,1258296,0.0384949169352839,0.100368706378029
"Q4 2003",48935,2.67089085644748,16.0885121418212,44620.0833333333,4314.91666666666,32234.8106060606,35077.9375,13857.0625,73499.6981534091,1272884,0.0384441944434842,0.100368706378029
"Q1 2004",53354,9.8429168468079,16.0885121418212,45759.5833333333,7594.41666666666,32234.8106060606,36151.9375,17202.0625,73499.6981534091,1296216,0.0411613496516013,0.100368706378029
"Q2 2004",55881,14.787806581488,16.0885121418212,47329.25,8551.75,32234.8106060606,37338.90625,18542.09375,73499.6981534091,1328148,0.0420743772531375,0.100368706378029
"Q3 2004",57449,18.6031628060614,16.0885121418212,48658.3333333333,8790.66666666666,32234.8106060606,38491.5625,18957.4375,73499.6981534091,1351480,0.0425082132181016,0.100368706378029
"Q4 2004",62935,28.6093797895167,16.0885121418212,50547.25,12387.75,32234.8106060606,39754.09375,23180.90625,73499.6981534091,1367080,0.0460360768938175,0.100368706378029
"Q1 2005",69899,31.0098586797616,16.0885121418212,52839.1666666667,17059.8333333333,32234.8106060606,41219.875,28679.125,73499.6981534091,1380324,0.0506395599873653,0.100368706378029
"Q2 2005",77381,38.4746157012222,16.0885121418212,55639.75,21741.25,32234.8106060606,42909,34472,73499.6981534091,1399608,0.0552876233916925,0.100368706378029
"Q3 2005",82082,42.8780309491897,16.0885121418212,58439.25,23642.75,32234.8106060606,44639.71875,37442.28125,73499.6981534091,1436992,0.05712070770053,0.100368706378029
"Q4 2005",88796,41.0916024469691,16.0885121418212,61867.0833333333,26928.9166666667,32234.8106060606,46493.75,42302.25,73499.6981534091,1469436,0.0604286270378567,0.100368706378029
"Q1 2006",98157,40.4269016724131,16.0885121418212,65999.0833333333,32157.9166666667,32234.8106060606,48598.8125,49558.1875,73499.6981534091,1476000,0.0665020325203252,0.100368706378029
"Q2 2006",106446,37.5608999625231,16.0885121418212,70812.75,35633.25,32234.8106060606,50994.1875,55451.8125,73499.6981534091,1490716,0.0714059552590836,0.100368706378029
"Q3 2006",118323,44.1521892741405,16.0885121418212,76636.5,41686.5,32234.8106060606,53645.3125,64677.6875,73499.6981534091,1504936,0.0786232770031417,0.100368706378029
"Q4 2006",133660,50.524798414343,16.0885121418212,83696.9166666667,49963.0833333333,32234.8106060606,56687.53125,76972.46875,73499.6981534091,1514764,0.0882381677937949,0.100368706378029
"Q1 2007",151683,54.5310064488524,16.0885121418212,91891,59792,32234.8106060606,60356.8125,91326.1875,73499.6981534091,1547276,0.0980322838330072,0.100368706378029
"Q2 2007",159919,50.2348608684215,16.0885121418212,100560.833333333,59358.1666666667,32234.8106060606,64400.28125,95518.71875,73499.6981534091,1576612,0.101432058109414,0.100368706378029
"Q3 2007",152671,29.0290138012052,16.0885121418212,108496,44175,32234.8106060606,68159.125,84511.875,73499.6981534091,1582248,0.0964899307820266,0.100368706378029
"Q4 2007",153466,14.818195421218,16.0885121418212,116040.25,37425.75,32234.8106060606,71936.625,81529.375,73499.6981534091,1604508,0.0956467652389393,0.100368706378029
"Q1 2008",157262,3.67806543910656,16.0885121418212,123320.5,33941.5,32234.8106060606,75781.5,81480.5,73499.6981534091,1637296,0.0960498284977182,0.100368706378029
"Q2 2008",151237,-5.42899843045542,16.0885121418212,129475.166666667,21761.8333333333,32234.8106060606,79442.1875,71794.8125,73499.6981534091,1677448,0.09015897959281,0.100368706378029
