"Period","Outward FPI - Equity","percent_change","average","three Year Trend","Deviation From 3 Year Trend","Mean of 3 Year Trend","eight Year Trend","Deviation From 8 Year Trend","Mean of 8 Year Trend","GDP","Ratio: Outward FPI - Equity to GDP","Mean_of_Ratio"
"Q1 1990",34767,NA,12.0494346429312,NA,NA,100585.096590909,NA,NA,240097.857599432,691928,NA,0.411330563239552
"Q2 1990",35953,NA,12.0494346429312,NA,NA,100585.096590909,NA,NA,240097.857599432,695624,NA,0.411330563239552
"Q3 1990",31323,NA,12.0494346429312,NA,NA,100585.096590909,NA,NA,240097.857599432,697684,NA,0.411330563239552
"Q4 1990",35270,NA,12.0494346429312,NA,NA,100585.096590909,NA,NA,240097.857599432,696768,NA,0.411330563239552
"Q1 1991",40413,NA,12.0494346429312,NA,NA,100585.096590909,NA,NA,240097.857599432,694008,NA,0.411330563239552
"Q2 1991",41553,NA,12.0494346429312,NA,NA,100585.096590909,NA,NA,240097.857599432,701572,NA,0.411330563239552
"Q3 1991",44426,NA,12.0494346429312,NA,NA,100585.096590909,NA,NA,240097.857599432,704796,NA,0.411330563239552
"Q4 1991",50494,NA,12.0494346429312,NA,NA,100585.096590909,NA,NA,240097.857599432,706716,NA,0.411330563239552
"Q1 1992",52331,NA,12.0494346429312,NA,NA,100585.096590909,NA,NA,240097.857599432,710008,NA,0.411330563239552
"Q2 1992",55684,NA,12.0494346429312,NA,NA,100585.096590909,NA,NA,240097.857599432,714744,NA,0.411330563239552
"Q3 1992",58383,NA,12.0494346429312,NA,NA,100585.096590909,NA,NA,240097.857599432,721660,NA,0.411330563239552
"Q4 1992",62650,NA,12.0494346429312,NA,NA,100585.096590909,NA,NA,240097.857599432,727332,NA,0.411330563239552
"Q1 1993",68951,NA,12.0494346429312,NA,NA,100585.096590909,NA,NA,240097.857599432,733952,NA,0.411330563239552
"Q2 1993",74619,NA,12.0494346429312,NA,NA,100585.096590909,NA,NA,240097.857599432,745360,NA,0.411330563239552
"Q3 1993",83234,NA,12.0494346429312,NA,NA,100585.096590909,NA,NA,240097.857599432,750068,NA,0.411330563239552
"Q4 1993",92109,NA,12.0494346429312,NA,NA,100585.096590909,NA,NA,240097.857599432,758768,NA,0.411330563239552
"Q1 1994",97488,NA,12.0494346429312,NA,NA,100585.096590909,NA,NA,240097.857599432,772656,NA,0.411330563239552
"Q2 1994",98610,NA,12.0494346429312,NA,NA,100585.096590909,NA,NA,240097.857599432,783660,NA,0.411330563239552
"Q3 1994",100837,NA,12.0494346429312,NA,NA,100585.096590909,NA,NA,240097.857599432,800784,NA,0.411330563239552
"Q4 1994",103813,NA,12.0494346429312,NA,NA,100585.096590909,NA,NA,240097.857599432,810788,NA,0.411330563239552
"Q1 1995",107675,NA,12.0494346429312,NA,NA,100585.096590909,NA,NA,240097.857599432,823972,NA,0.411330563239552
"Q2 1995",111248,NA,12.0494346429312,NA,NA,100585.096590909,NA,NA,240097.857599432,828856,NA,0.411330563239552
"Q3 1995",114277,NA,12.0494346429312,NA,NA,100585.096590909,NA,NA,240097.857599432,832976,NA,0.411330563239552
"Q4 1995",121589,NA,12.0494346429312,NA,NA,100585.096590909,NA,NA,240097.857599432,840680,NA,0.411330563239552
"Q1 1996",130768,NA,12.0494346429312,NA,NA,100585.096590909,NA,NA,240097.857599432,844208,NA,0.411330563239552
"Q2 1996",138300,NA,12.0494346429312,NA,NA,100585.096590909,NA,NA,240097.857599432,852904,NA,0.411330563239552
"Q3 1996",144998,NA,12.0494346429312,NA,NA,100585.096590909,NA,NA,240097.857599432,864544,NA,0.411330563239552
"Q4 1996",160968,NA,12.0494346429312,NA,NA,100585.096590909,NA,NA,240097.857599432,877680,NA,0.411330563239552
"Q1 1997",164795,NA,12.0494346429312,NA,NA,100585.096590909,NA,NA,240097.857599432,891748,NA,0.411330563239552
"Q2 1997",189908,NA,12.0494346429312,NA,NA,100585.096590909,NA,NA,240097.857599432,899412,NA,0.411330563239552
"Q3 1997",195740,NA,12.0494346429312,NA,NA,100585.096590909,NA,NA,240097.857599432,912564,NA,0.411330563239552
"Q4 1997",198465,NA,12.0494346429312,NA,NA,100585.096590909,NA,NA,240097.857599432,923980,NA,0.411330563239552
"Q1 1998",219623,33.2704268940198,12.0494346429312,157556.583333333,62066.4166666667,100585.096590909,100827.96875,118795.03125,240097.857599432,934612,0.234988423003343,0.411330563239552
"Q2 1998",226223,19.1224171704194,12.0494346429312,167137.833333333,59085.1666666667,100585.096590909,106773.90625,119449.09375,240097.857599432,935212,0.241894885865451,0.411330563239552
"Q3 1998",192987,-1.40645754572392,12.0494346429312,173697,19290,100585.096590909,111825.90625,81161.09375,240097.857599432,938872,0.205551981526768,0.411330563239552
"Q4 1998",239001,20.4247600332552,12.0494346429312,183481.333333333,55519.6666666667,100585.096590909,118192.5,120808.5,240097.857599432,953496,0.250657580105213,0.411330563239552
"Q1 1999",256364,16.7291221775497,12.0494346429312,193947.666666667,62416.3333333333,100585.096590909,124940.96875,131423.03125,240097.857599432,975240,0.262872728764202,0.411330563239552
"Q2 1999",278152,22.9547835542805,12.0494346429312,205602,72550,100585.096590909,132334.6875,145817.3125,240097.857599432,994172,0.279782572834479,0.411330563239552
"Q3 1999",282541,46.4041619383689,12.0494346429312,217063.916666667,65477.0833333333,100585.096590909,139775.78125,142765.21875,240097.857599432,1021308,0.276646222295331,0.411330563239552
"Q4 1999",339811,42.1797398337245,12.0494346429312,231967.5,107843.5,100585.096590909,148816.9375,190994.0625,240097.857599432,1040988,0.326431236479191,0.411330563239552
"Q1 2000",353535,37.9035277964145,12.0494346429312,247695.833333333,105839.166666667,100585.096590909,158229.5625,195305.4375,240097.857599432,1070188,0.330348499515973,0.411330563239552
"Q2 2000",363288,30.6077252725129,12.0494346429312,262144.166666667,101143.833333333,100585.096590909,167842.1875,195445.8125,240097.857599432,1099448,0.33042763277572,0.411330563239552
"Q3 2000",364793,29.1115271765868,12.0494346429312,276231.916666667,88561.0833333333,100585.096590909,177417.5,187375.5,240097.857599432,1121768,0.325194692663724,0.411330563239552
"Q4 2000",359802,5.88297612496358,12.0494346429312,289676.666666667,70125.3333333333,100585.096590909,186703.5,173098.5,240097.857599432,1132880,0.317599392698256,0.411330563239552
"Q1 2001",345860,-2.17093074235931,12.0494346429312,300196.416666667,45663.5833333333,100585.096590909,195356.90625,150503.09375,240097.857599432,1149924,0.300767702909062,0.411330563239552
"Q2 2001",361144,-0.590165378432538,12.0494346429312,311439.833333333,49704.1666666667,100585.096590909,204310.8125,156833.1875,240097.857599432,1152860,0.313259198861961,0.411330563239552
"Q3 2001",324139,-11.1444024419328,12.0494346429312,322369.166666667,1769.83333333331,100585.096590909,211839.09375,112299.90625,240097.857599432,1138804,0.284631069086515,0.411330563239552
"Q4 2001",367566,2.15785348608401,12.0494346429312,333082.916666667,34483.0833333333,100585.096590909,220447.125,147118.875,240097.857599432,1136584,0.323395367170398,0.411330563239552
"Q1 2002",381430,10.2845081825016,12.0494346429312,343505.083333333,37924.9166666667,100585.096590909,229320.3125,152109.6875,240097.857599432,1158640,0.329204929917835,0.411330563239552
"Q2 2002",334006,-7.51445406818333,12.0494346429312,348159.583333333,-14153.5833333333,100585.096590909,236676.4375,97329.5625,240097.857599432,1185892,0.281649593723543,0.411330563239552
"Q3 2002",295069,-8.96837467876436,12.0494346429312,349203.583333333,-54134.5833333333,100585.096590909,242746.1875,52322.8125,240097.857599432,1204144,0.245044612604473,0.411330563239552
"Q4 2002",320980,-12.6741864046185,12.0494346429312,347634.333333333,-26654.3333333333,100585.096590909,249532.65625,71447.34375,240097.857599432,1226100,0.261789413587799,0.411330563239552
"Q1 2003",283035,-25.79634533204,12.0494346429312,341759.333333333,-58724.3333333333,100585.096590909,255012.65625,28022.34375,240097.857599432,1250088,0.226412060590934,0.411330563239552
"Q2 2003",303232,-9.21360694119267,12.0494346429312,336754.666666667,-33522.6666666667,100585.096590909,261012.15625,42219.84375,240097.857599432,1237720,0.244992405390557,0.411330563239552
"Q3 2003",326499,10.6517458628321,12.0494346429312,333563.5,-7064.5,100585.096590909,267644.09375,58854.90625,240097.857599432,1258296,0.259477102367011,0.411330563239552
"Q4 2003",357717,11.4452613870023,12.0494346429312,333389.75,24327.25,100585.096590909,275023.09375,82693.90625,240097.857599432,1272884,0.281028750459586,0.411330563239552
"Q1 2004",371964,31.4197890720229,12.0494346429312,335565.083333333,36398.9166666667,100585.096590909,282560.46875,89403.53125,240097.857599432,1296216,0.286961432353867,0.411330563239552
"Q2 2004",383425,26.4460874841705,12.0494346429312,337421.833333333,46003.1666666667,100585.096590909,290220.625,93204.375,240097.857599432,1328148,0.288691471131229,0.411330563239552
"Q3 2004",360797,10.5047794939648,12.0494346429312,340476.666666667,20320.3333333333,100585.096590909,296964.34375,63832.65625,240097.857599432,1351480,0.266964364992453,0.411330563239552
"Q4 2004",384448,7.47266694062625,12.0494346429312,341883.5,42564.5,100585.096590909,303948.09375,80499.90625,240097.857599432,1367080,0.281218363226731,0.411330563239552
"Q1 2005",390323,4.93569270144423,12.0494346429312,342624.583333333,47698.4166666667,100585.096590909,310995.84375,79327.15625,240097.857599432,1380324,0.282776362651088,0.411330563239552
"Q2 2005",406291,5.96361739584013,12.0494346429312,348648.333333333,57642.6666666667,100585.096590909,317757.8125,88533.1875,240097.857599432,1399608,0.290289138101526,0.411330563239552
"Q3 2005",422582,17.1245880647566,12.0494346429312,359274.416666667,63307.5833333333,100585.096590909,324846.625,97735.375,240097.857599432,1436992,0.294074010154545,0.411330563239552
"Q4 2005",444964,15.7410104877643,12.0494346429312,369606.416666667,75357.5833333333,100585.096590909,332549.71875,112414.28125,240097.857599432,1469436,0.302812779869283,0.411330563239552
"Q1 2006",487872,24.9918657112187,12.0494346429312,386676.166666667,101195.833333333,100585.096590909,340932.5,146939.5,240097.857599432,1476000,0.330536585365854,0.411330563239552
"Q2 2006",474477,16.7825524070186,12.0494346429312,400946.583333333,73530.4166666667,100585.096590909,348690.4375,125786.5625,240097.857599432,1490716,0.31828799046901,0.411330563239552
"Q3 2006",508303,20.2850571013436,12.0494346429312,416096.916666667,92206.0833333333,100585.096590909,358544.0625,149758.9375,240097.857599432,1504936,0.337757220240595,0.411330563239552
"Q4 2006",582241,30.8512598772035,12.0494346429312,434807.25,147433.75,100585.096590909,369270.3125,212970.6875,240097.857599432,1514764,0.384377368355731,0.411330563239552
