"Period","Outward FPI","percent_change","average","three Year Trend","Deviation From 3 Year Trend","Mean of 3 Year Trend","eight Year Trend","Deviation From 8 Year Trend","Mean of 8 Year Trend","GDP","Ratio: Outward FPI to GDP","Mean_of_Ratio"
"Q1 1990",44007,NA,12.5807509701803,NA,NA,133308.086174242,NA,NA,314706.159446023,691928,NA,0.515649514350849
"Q2 1990",46262,NA,12.5807509701803,NA,NA,133308.086174242,NA,NA,314706.159446023,695624,NA,0.515649514350849
"Q3 1990",40944,NA,12.5807509701803,NA,NA,133308.086174242,NA,NA,314706.159446023,697684,NA,0.515649514350849
"Q4 1990",45355,NA,12.5807509701803,NA,NA,133308.086174242,NA,NA,314706.159446023,696768,NA,0.515649514350849
"Q1 1991",50454,NA,12.5807509701803,NA,NA,133308.086174242,NA,NA,314706.159446023,694008,NA,0.515649514350849
"Q2 1991",52037,NA,12.5807509701803,NA,NA,133308.086174242,NA,NA,314706.159446023,701572,NA,0.515649514350849
"Q3 1991",55875,NA,12.5807509701803,NA,NA,133308.086174242,NA,NA,314706.159446023,704796,NA,0.515649514350849
"Q4 1991",62066,NA,12.5807509701803,NA,NA,133308.086174242,NA,NA,314706.159446023,706716,NA,0.515649514350849
"Q1 1992",64650,NA,12.5807509701803,NA,NA,133308.086174242,NA,NA,314706.159446023,710008,NA,0.515649514350849
"Q2 1992",70049,NA,12.5807509701803,NA,NA,133308.086174242,NA,NA,314706.159446023,714744,NA,0.515649514350849
"Q3 1992",72600,NA,12.5807509701803,NA,NA,133308.086174242,NA,NA,314706.159446023,721660,NA,0.515649514350849
"Q4 1992",76013,NA,12.5807509701803,NA,NA,133308.086174242,NA,NA,314706.159446023,727332,NA,0.515649514350849
"Q1 1993",82951,NA,12.5807509701803,NA,NA,133308.086174242,NA,NA,314706.159446023,733952,NA,0.515649514350849
"Q2 1993",90138,NA,12.5807509701803,NA,NA,133308.086174242,NA,NA,314706.159446023,745360,NA,0.515649514350849
"Q3 1993",99962,NA,12.5807509701803,NA,NA,133308.086174242,NA,NA,314706.159446023,750068,NA,0.515649514350849
"Q4 1993",111016,NA,12.5807509701803,NA,NA,133308.086174242,NA,NA,314706.159446023,758768,NA,0.515649514350849
"Q1 1994",116887,NA,12.5807509701803,NA,NA,133308.086174242,NA,NA,314706.159446023,772656,NA,0.515649514350849
"Q2 1994",117538,NA,12.5807509701803,NA,NA,133308.086174242,NA,NA,314706.159446023,783660,NA,0.515649514350849
"Q3 1994",118929,NA,12.5807509701803,NA,NA,133308.086174242,NA,NA,314706.159446023,800784,NA,0.515649514350849
"Q4 1994",122076,NA,12.5807509701803,NA,NA,133308.086174242,NA,NA,314706.159446023,810788,NA,0.515649514350849
"Q1 1995",128461,NA,12.5807509701803,NA,NA,133308.086174242,NA,NA,314706.159446023,823972,NA,0.515649514350849
"Q2 1995",130807,NA,12.5807509701803,NA,NA,133308.086174242,NA,NA,314706.159446023,828856,NA,0.515649514350849
"Q3 1995",133618,NA,12.5807509701803,NA,NA,133308.086174242,NA,NA,314706.159446023,832976,NA,0.515649514350849
"Q4 1995",141634,NA,12.5807509701803,NA,NA,133308.086174242,NA,NA,314706.159446023,840680,NA,0.515649514350849
"Q1 1996",149754,NA,12.5807509701803,NA,NA,133308.086174242,NA,NA,314706.159446023,844208,NA,0.515649514350849
"Q2 1996",156198,NA,12.5807509701803,NA,NA,133308.086174242,NA,NA,314706.159446023,852904,NA,0.515649514350849
"Q3 1996",165562,NA,12.5807509701803,NA,NA,133308.086174242,NA,NA,314706.159446023,864544,NA,0.515649514350849
"Q4 1996",183503,NA,12.5807509701803,NA,NA,133308.086174242,NA,NA,314706.159446023,877680,NA,0.515649514350849
"Q1 1997",187789,NA,12.5807509701803,NA,NA,133308.086174242,NA,NA,314706.159446023,891748,NA,0.515649514350849
"Q2 1997",213238,NA,12.5807509701803,NA,NA,133308.086174242,NA,NA,314706.159446023,899412,NA,0.515649514350849
"Q3 1997",222438,NA,12.5807509701803,NA,NA,133308.086174242,NA,NA,314706.159446023,912564,NA,0.515649514350849
"Q4 1997",227932,NA,12.5807509701803,NA,NA,133308.086174242,NA,NA,314706.159446023,923980,NA,0.515649514350849
"Q1 1998",250419,33.3512612559841,12.5807509701803,180241,70178,133308.086174242,118348.59375,132070.40625,314706.159446023,934612,0.267938995005414,0.515649514350849
"Q2 1998",256017,20.0616212870126,12.5807509701803,190675.166666667,65341.8333333333,133308.086174242,124903.4375,131113.5625,314706.159446023,935212,0.273752903085076,0.515649514350849
"Q3 1998",226474,1.81443818052671,12.5807509701803,198413.166666667,28060.8333333333,133308.086174242,130701.25,95772.75,314706.159446023,938872,0.241219250334444,0.515649514350849
"Q4 1998",275310,20.7860239018655,12.5807509701803,209552.833333333,65757.1666666667,133308.086174242,137887.34375,137422.65625,314706.159446023,953496,0.288737446197991,0.515649514350849
"Q1 1999",290630,16.0574876506974,12.5807509701803,221292.5,69337.5,133308.086174242,145392.84375,145237.15625,314706.159446023,975240,0.298008695295517,0.515649514350849
"Q2 1999",308680,20.5701183905756,12.5807509701803,233999.333333333,74680.6666666667,133308.086174242,153412.9375,155267.0625,314706.159446023,994172,0.310489532998314,0.515649514350849
"Q3 1999",314929,39.0574635498998,12.5807509701803,246446.583333333,68482.4166666667,133308.086174242,161508.375,153420.625,314706.159446023,1021308,0.30835849714288,0.515649514350849
"Q4 1999",372397,35.2646108023682,12.5807509701803,262187.75,110209.25,133308.086174242,171206.21875,201190.78125,314706.159446023,1040988,0.357734190980107,0.515649514350849
"Q1 2000",387761,33.4208443725699,12.5807509701803,278852.083333333,108908.916666667,133308.086174242,181303.4375,206457.5625,314706.159446023,1070188,0.362329796260096,0.515649514350849
"Q2 2000",397383,28.736231696255,12.5807509701803,294197.5,103185.5,133308.086174242,191532.625,205850.375,314706.159446023,1099448,0.36143864921306,0.515649514350849
"Q3 2000",403472,28.1152259715682,12.5807509701803,309283.666666667,94188.3333333333,133308.086174242,201872.375,201599.625,314706.159446023,1121768,0.359675084331163,0.515649514350849
"Q4 2000",397231,6.66868959739203,12.5807509701803,323391.916666667,73839.0833333333,133308.086174242,211910.4375,185320.5625,314706.159446023,1132880,0.350638196455053,0.515649514350849
"Q1 2001",385540,-0.572775498309526,12.5807509701803,334652,50888,133308.086174242,221366.34375,164173.65625,314706.159446023,1149924,0.335274331173191,0.515649514350849
"Q2 2001",398189,0.202826995618836,12.5807509701803,346499.666666667,51689.3333333333,133308.086174242,230992.9375,167196.0625,314706.159446023,1152860,0.345392328643547,0.515649514350849
"Q3 2001",365639,-9.37685886505135,12.5807509701803,358096.75,7542.25,133308.086174242,239295.34375,126343.65625,314706.159446023,1138804,0.321072809719671,0.515649514350849
"Q4 2001",407834,2.66922772895368,12.5807509701803,369140.416666667,38693.5833333333,133308.086174242,248570.90625,159263.09375,314706.159446023,1136584,0.358824336784611,0.515649514350849
"Q1 2002",431416,11.8991544327437,12.5807509701803,380872.583333333,50543.4166666667,133308.086174242,258399.9375,173016.0625,314706.159446023,1158640,0.372346889456604,0.515649514350849
"Q2 2002",385096,-3.28813704045064,12.5807509701803,387240.583333333,-2144.58333333331,133308.086174242,266761.125,118334.875,314706.159446023,1185892,0.324731088497098,0.515649514350849
"Q3 2002",351262,-3.93202038075807,12.5807509701803,390268.333333333,-39006.3333333333,133308.086174242,274021.53125,77240.46875,314706.159446023,1204144,0.291710958157828,0.515649514350849
"Q4 2002",377728,-7.38192499889661,12.5807509701803,390712.583333333,-12984.5833333333,133308.086174242,282010.65625,95717.34375,314706.159446023,1226100,0.308072750999103,0.515649514350849
"Q1 2003",341285,-20.8919001613292,12.5807509701803,386839.583333333,-45554.5833333333,133308.086174242,288661.40625,52623.59375,314706.159446023,1250088,0.273008780181875,0.515649514350849
"Q2 2003",360460,-6.3973658516318,12.5807509701803,383762.666666667,-23302.6666666667,133308.086174242,295838.0625,64621.9375,314706.159446023,1237720,0.291229034030314,0.515649514350849
"Q3 2003",385503,9.74799437456941,12.5807509701803,382265.25,3237.75,133308.086174242,303709.46875,81793.53125,314706.159446023,1258296,0.30636908962597,0.515649514350849
"Q4 2003",417629,10.5634212978651,12.5807509701803,383965.083333333,33663.9166666667,133308.086174242,312334.3125,105294.6875,314706.159446023,1272884,0.328096668667373,0.515649514350849
"Q1 2004",437750,28.2652328698888,12.5807509701803,388315.916666667,49434.0833333333,133308.086174242,321334.1875,116415.8125,314706.159446023,1296216,0.337713776099045,0.515649514350849
"Q2 2004",451148,25.1589635465794,12.5807509701803,392729.166666667,58418.8333333333,133308.086174242,330551.375,120596.625,314706.159446023,1328148,0.33968202338896,0.515649514350849
"Q3 2004",429807,11.4925175679567,12.5807509701803,398076.5,31730.5,133308.086174242,338809.03125,90997.96875,314706.159446023,1351480,0.318026903838755,0.515649514350849
"Q4 2004",458702,9.83480553314066,12.5807509701803,402315.5,56386.5,133308.086174242,347409,111293,314706.159446023,1367080,0.335534131140826,0.515649514350849
"Q1 2005",471262,7.65551113649343,12.5807509701803,405636,65626,133308.086174242,356267.53125,114994.46875,314706.159446023,1380324,0.341414044818463,0.515649514350849
"Q2 2005",495914,9.922686125174,12.5807509701803,414870.833333333,81043.1666666667,133308.086174242,365101.15625,130812.84375,314706.159446023,1399608,0.354323496293248,0.515649514350849
"Q3 2005",517206,20.3344757065381,12.5807509701803,428699.5,88506.5,133308.086174242,374312.65625,142893.34375,314706.159446023,1436992,0.359922671803322,0.515649514350849
"Q4 2005",546868,19.2207577032583,12.5807509701803,442794.5,104073.5,133308.086174242,384279.40625,162588.59375,314706.159446023,1469436,0.372161836241932,0.515649514350849
"Q1 2006",600195,27.3590911212871,12.5807509701803,464370.333333333,135824.666666667,133308.086174242,395209.90625,204985.09375,314706.159446023,1476000,0.406636178861789,0.515649514350849
"Q2 2006",593887,19.7560464112729,12.5807509701803,483822.583333333,110064.416666667,133308.086174242,405768.34375,188118.65625,314706.159446023,1490716,0.398390437883541,0.515649514350849
"Q3 2006",644567,24.6248110037393,12.5807509701803,505411.25,139155.75,133308.086174242,418833.75,225733.25,314706.159446023,1504936,0.428301934434421,0.515649514350849
"Q4 2006",735963,34.5778140245909,12.5807509701803,531939.083333333,204023.916666667,133308.086174242,433229.15625,302733.84375,314706.159446023,1514764,0.485859843513577,0.515649514350849
"Q1 2007",781043,30.131540582644,12.5807509701803,560546.833333333,220496.166666667,133308.086174242,448554.5625,332488.4375,314706.159446023,1547276,0.504785830065224,0.515649514350849
"Q2 2007",796190,34.0642243389736,12.5807509701803,589300.333333333,206889.666666667,133308.086174242,463789.25,332400.75,314706.159446023,1576612,0.505000596215175,0.515649514350849
"Q3 2007",762428,18.2852985027158,12.5807509701803,617018.75,145409.25,133308.086174242,477773.59375,284654.40625,314706.159446023,1582248,0.481863778623831,0.515649514350849
"Q4 2007",764177,3.83361663561891,12.5807509701803,642475,121702,133308.086174242,490016.71875,274160.28125,314706.159446023,1604508,0.476268737831161,0.515649514350849
"Q1 2008",734380,-5.97444698947433,12.5807509701803,664401.5,69978.5,133308.086174242,500848.5625,233531.4375,314706.159446023,1637296,0.448532214089572,0.515649514350849
"Q2 2008",709265,-10.9176201660408,12.5807509701803,682180.75,27084.25,133308.086174242,510594.875,198670.125,314706.159446023,1677448,0.422823837162165,0.515649514350849
"Q3 2008",643752,-15.5655353685856,12.5807509701803,692726.25,-48974.25,133308.086174242,518103.625,125648.375,314706.159446023,1694512,0.379904066775567,0.515649514350849
"Q4 2008",583199,-23.6827331887769,12.5807509701803,695753.833333333,-112554.833333333,133308.086174242,523915.125,59283.875,314706.159446023,1618908,0.360242212651985,0.515649514350849
"Q1 2009",560038,-23.7400255998257,12.5807509701803,692407.416666667,-132369.416666667,133308.086174242,529368.1875,30669.8125,314706.159446023,1557232,0.359636842808265,0.515649514350849
"Q2 2009",603106,-14.9674663207687,12.5807509701803,693175.666666667,-90069.6666666666,133308.086174242,535771.84375,67334.15625,314706.159446023,1548488,0.389480577182387,0.515649514350849
"Q3 2009",634329,-1.46376244267979,12.5807509701803,692322.5,-57993.5,133308.086174242,544168.40625,90160.59375,314706.159446023,1567924,0.404566165196783,0.515649514350849
"Q4 2009",645272,10.643536768753,12.5807509701803,684764.916666667,-39492.9166666666,133308.086174242,551588.34375,93683.65625,314706.159446023,1611692,0.400369301330527,0.515649514350849
"Q1 2010",657820,17.4598866505487,12.5807509701803,674496.333333333,-16676.3333333334,133308.086174242,558663.46875,99156.53125,314706.159446023,1644032,0.40012603161009,0.515649514350849
"Q2 2010",636459,5.53020530387693,12.5807509701803,661185.416666667,-24726.4166666666,133308.086174242,566518.5625,69940.4375,314706.159446023,1653240,0.38497677288234,0.515649514350849
"Q3 2010",706485,11.3751696674754,12.5807509701803,656523.5,49961.5,133308.086174242,577619.28125,128865.71875,314706.159446023,1665372,0.424220534511208,0.515649514350849
"Q4 2010",739542,14.6093430367349,12.5807509701803,654470.583333333,85071.4166666666,133308.086174242,588925.96875,150616.03125,314706.159446023,1701548,0.434628937884797,0.515649514350849
"Q1 2011",754030,14.6255814660545,12.5807509701803,656108.083333333,97921.9166666666,133308.086174242,601824.25,152205.75,314706.159446023,1737952,0.433861234372411,0.515649514350849
"Q2 2011",757900,19.0807263311541,12.5807509701803,660161,97739,133308.086174242,614244.25,143655.75,314706.159446023,1759852,0.430661214693054,0.515649514350849
"Q3 2011",727703,3.00331924952405,12.5807509701803,667156.916666667,60546.0833333334,133308.086174242,624938,102765,314706.159446023,1785748,0.407505986286979,0.515649514350849
"Q4 2011",760606,2.84824932187759,12.5807509701803,681940.833333333,78665.1666666666,133308.086174242,635656.03125,124949.96875,314706.159446023,1812700,0.419598389143267,0.515649514350849
"Q1 2012",828858,9.92374308714507,12.5807509701803,704342.5,124515.5,133308.086174242,647878.15625,180979.84375,314706.159446023,1815120,0.456640883247389,0.515649514350849
"Q2 2012",821818,8.43356643356643,12.5807509701803,722568.5,99249.5,133308.086174242,659461.59375,162356.40625,314706.159446023,1818984,0.451800565590462,0.515649514350849
"Q3 2012",852070,17.0903514208406,12.5807509701803,740713.583333333,111356.416666667,133308.086174242,672657.3125,179412.6875,314706.159446023,1830636,0.465450258817154,0.515649514350849
"Q4 2012",899109,18.2095592198852,12.5807509701803,761866.666666667,137242.333333333,133308.086174242,686420.03125,212688.96875,314706.159446023,1844064,0.487569303451507,0.515649514350849
"Q1 2013",964853,16.4075149181163,12.5807509701803,787452.75,177400.25,133308.086174242,701844.75,263008.25,314706.159446023,1876844,0.51408268348355,0.515649514350849
"Q2 2013",992614,20.7827037129875,12.5807509701803,817132.333333333,175481.666666667,133308.086174242,717366.625,275247.375,314706.159446023,1886592,0.526141317253545,0.515649514350849
"Q3 2013",1029665,20.842771133827,12.5807509701803,844064,185601,133308.086174242,733380.96875,296284.03125,314706.159446023,1912428,0.538407197552012,0.515649514350849
"Q4 2013",1142724,27.0951575392972,12.5807509701803,877662.5,265061.5,133308.086174242,752001.46875,390722.53125,314706.159446023,1933124,0.591128142840294,0.515649514350849
"Q1 2014",1217165,26.1503047614507,12.5807509701803,916257.083333333,300907.916666667,133308.086174242,771281.78125,445883.21875,314706.159446023,1963452,0.619910749027733,0.515649514350849
"Q2 2014",1225093,23.4208866689368,12.5807509701803,955189.833333333,269903.166666667,133308.086174242,791006.96875,434086.03125,314706.159446023,1988404,0.61611875655048,0.515649514350849
"Q3 2014",1285551,24.8513837024663,12.5807509701803,1001677.16666667,283873.833333333,133308.086174242,811037.71875,474513.28125,314706.159446023,2013792,0.638373277875769,0.515649514350849
"Q4 2014",1374791,20.3082284086096,12.5807509701803,1052859.25,321931.75,133308.086174242,831001.09375,543789.90625,314706.159446023,2013944,0.682636160687686,0.515649514350849
"Q1 2015",1511690,24.1976231653063,12.5807509701803,1109761.91666667,401928.083333333,133308.086174242,853833.8125,657856.1875,314706.159446023,1984300,0.761825328831326,0.515649514350849
"Q2 2015",1515267,23.6858752764076,12.5807509701803,1167549.33333333,347717.666666667,133308.086174242,876304.96875,638962.03125,314706.159446023,1984920,0.763389456502025,0.515649514350849
"Q3 2015",1507963,17.3009083264686,12.5807509701803,1222207.08333333,285755.916666667,133308.086174242,899602.9375,608360.0625,314706.159446023,2000864,0.753655920642282,0.515649514350849
"Q4 2015",1662654,20.9386735874762,12.5807509701803,1285835.83333333,376818.166666667,133308.086174242,927680.34375,734973.65625,314706.159446023,1991680,0.834799767030848,0.515649514350849
"Q1 2016",1555712,2.91210499507174,12.5807509701803,1335074.08333333,220637.916666667,133308.086174242,953346.96875,602365.03125,314706.159446023,1998420,0.778470992083746,0.515649514350849
"Q2 2016",1575750,3.99157376224784,12.5807509701803,1383668.75,192081.25,133308.086174242,980424.625,595325.375,314706.159446023,2002152,0.787028157702312,0.515649514350849
"Q3 2016",1670138,10.7545742170067,12.5807509701803,1437041.5,233096.5,133308.086174242,1012499.1875,657638.8125,314706.159446023,2035420,0.820537284688172,0.515649514350849
"Q4 2016",1782486,7.20727222861762,12.5807509701803,1490355,292131,133308.086174242,1049976.90625,732509.09375,314706.159446023,2066148,0.862709738121374,0.515649514350849
"Q1 2017",1881404,20.935237370413,12.5807509701803,1545708.25,335695.75,133308.086174242,1091269.59375,790134.40625,314706.159446023,2107708,0.892630288446028,0.515649514350849
"Q2 2017",1907935,21.0810725051563,12.5807509701803,1602611.75,305323.25,133308.086174242,1132045.5,775889.5,314706.159446023,2130892,0.895369169343167,0.515649514350849
"Q3 2017",1909020,14.3031294419982,12.5807509701803,1654567.5,254452.5,133308.086174242,1171879.59375,737140.40625,314706.159446023,2143864,0.890457603653963,0.515649514350849
"Q4 2017",2130240,19.509494043712,12.5807509701803,1717521.58333333,412718.416666667,133308.086174242,1218284.84375,911955.15625,314706.159446023,2181964,0.976294750967477,0.515649514350849
"Q1 2018",2166788,15.168671906725,12.5807509701803,1772113.08333333,394674.916666667,133308.086174242,1265440.09375,901347.90625,314706.159446023,2202260,0.983892910010625,0.515649514350849
