"Period","Payments Cross-Border Financial Liabilities","percent_change","average","three Year Trend","Deviation From 3 Year Trend","Mean of 3 Year Trend","eight Year Trend","Deviation From 8 Year Trend","Mean of 8 Year Trend","GDP","Ratio: Payments Cross-Border Financial Liabilities to GDP","Mean_of_Ratio"
"Q1 1981",6478,NA,4.58713488731415,NA,NA,1286.76799242424,NA,NA,3172.24822443182,355992,NA,0.0138480630675787
"Q2 1981",7092,NA,4.58713488731415,NA,NA,1286.76799242424,NA,NA,3172.24822443182,367992,NA,0.0138480630675787
"Q3 1981",7611,NA,4.58713488731415,NA,NA,1286.76799242424,NA,NA,3172.24822443182,372820,NA,0.0138480630675787
"Q4 1981",7563,NA,4.58713488731415,NA,NA,1286.76799242424,NA,NA,3172.24822443182,376628,NA,0.0138480630675787
"Q1 1982",6368,NA,4.58713488731415,NA,NA,1286.76799242424,NA,NA,3172.24822443182,383004,NA,0.0138480630675787
"Q2 1982",7041,NA,4.58713488731415,NA,NA,1286.76799242424,NA,NA,3172.24822443182,386516,NA,0.0138480630675787
"Q3 1982",6627,NA,4.58713488731415,NA,NA,1286.76799242424,NA,NA,3172.24822443182,389560,NA,0.0138480630675787
"Q4 1982",6340,NA,4.58713488731415,NA,NA,1286.76799242424,NA,NA,3172.24822443182,393644,NA,0.0138480630675787
"Q1 1983",6167,NA,4.58713488731415,NA,NA,1286.76799242424,NA,NA,3172.24822443182,403236,NA,0.0138480630675787
"Q2 1983",6427,NA,4.58713488731415,NA,NA,1286.76799242424,NA,NA,3172.24822443182,415804,NA,0.0138480630675787
"Q3 1983",6790,NA,4.58713488731415,NA,NA,1286.76799242424,NA,NA,3172.24822443182,428960,NA,0.0138480630675787
"Q4 1983",6928,NA,4.58713488731415,NA,NA,1286.76799242424,NA,NA,3172.24822443182,437264,NA,0.0138480630675787
"Q1 1984",7083,NA,4.58713488731415,NA,NA,1286.76799242424,NA,NA,3172.24822443182,447840,NA,0.0138480630675787
"Q2 1984",7848,NA,4.58713488731415,NA,NA,1286.76799242424,NA,NA,3172.24822443182,459552,NA,0.0138480630675787
"Q3 1984",8479,NA,4.58713488731415,NA,NA,1286.76799242424,NA,NA,3172.24822443182,465180,NA,0.0138480630675787
