"Period","Public NFCs ST Debt Securities","percent_change","average","three Year Trend","Deviation From 3 Year Trend","Mean of 3 Year Trend","eight Year Trend","Deviation From 8 Year Trend","Mean of 8 Year Trend","GDP","Ratio: Public NFCs ST Debt Securities to GDP","Mean_of_Ratio"
"Q1 1990",30710,NA,8.77238435740659,NA,NA,2207.90340909091,NA,NA,5499.89098011364,691928,NA,0.0250540123414798
"Q2 1990",33061,NA,8.77238435740659,NA,NA,2207.90340909091,NA,NA,5499.89098011364,695624,NA,0.0250540123414798
"Q3 1990",32730,NA,8.77238435740659,NA,NA,2207.90340909091,NA,NA,5499.89098011364,697684,NA,0.0250540123414798
"Q4 1990",32481,NA,8.77238435740659,NA,NA,2207.90340909091,NA,NA,5499.89098011364,696768,NA,0.0250540123414798
"Q1 1991",31227,NA,8.77238435740659,NA,NA,2207.90340909091,NA,NA,5499.89098011364,694008,NA,0.0250540123414798
"Q2 1991",29936,NA,8.77238435740659,NA,NA,2207.90340909091,NA,NA,5499.89098011364,701572,NA,0.0250540123414798
"Q3 1991",29099,NA,8.77238435740659,NA,NA,2207.90340909091,NA,NA,5499.89098011364,704796,NA,0.0250540123414798
"Q4 1991",33345,NA,8.77238435740659,NA,NA,2207.90340909091,NA,NA,5499.89098011364,706716,NA,0.0250540123414798
"Q1 1992",26379,NA,8.77238435740659,NA,NA,2207.90340909091,NA,NA,5499.89098011364,710008,NA,0.0250540123414798
"Q2 1992",28865,NA,8.77238435740659,NA,NA,2207.90340909091,NA,NA,5499.89098011364,714744,NA,0.0250540123414798
"Q3 1992",23463,NA,8.77238435740659,NA,NA,2207.90340909091,NA,NA,5499.89098011364,721660,NA,0.0250540123414798
"Q4 1992",20145,NA,8.77238435740659,NA,NA,2207.90340909091,NA,NA,5499.89098011364,727332,NA,0.0250540123414798
"Q1 1993",16612,NA,8.77238435740659,NA,NA,2207.90340909091,NA,NA,5499.89098011364,733952,NA,0.0250540123414798
"Q2 1993",19264,NA,8.77238435740659,NA,NA,2207.90340909091,NA,NA,5499.89098011364,745360,NA,0.0250540123414798
"Q3 1993",19046,NA,8.77238435740659,NA,NA,2207.90340909091,NA,NA,5499.89098011364,750068,NA,0.0250540123414798
"Q4 1993",13358,NA,8.77238435740659,NA,NA,2207.90340909091,NA,NA,5499.89098011364,758768,NA,0.0250540123414798
"Q1 1994",16755,NA,8.77238435740659,NA,NA,2207.90340909091,NA,NA,5499.89098011364,772656,NA,0.0250540123414798
"Q2 1994",17190,NA,8.77238435740659,NA,NA,2207.90340909091,NA,NA,5499.89098011364,783660,NA,0.0250540123414798
"Q3 1994",17585,NA,8.77238435740659,NA,NA,2207.90340909091,NA,NA,5499.89098011364,800784,NA,0.0250540123414798
"Q4 1994",17404,NA,8.77238435740659,NA,NA,2207.90340909091,NA,NA,5499.89098011364,810788,NA,0.0250540123414798
"Q1 1995",20156,NA,8.77238435740659,NA,NA,2207.90340909091,NA,NA,5499.89098011364,823972,NA,0.0250540123414798
"Q2 1995",19201,NA,8.77238435740659,NA,NA,2207.90340909091,NA,NA,5499.89098011364,828856,NA,0.0250540123414798
"Q3 1995",19588,NA,8.77238435740659,NA,NA,2207.90340909091,NA,NA,5499.89098011364,832976,NA,0.0250540123414798
"Q4 1995",16060,NA,8.77238435740659,NA,NA,2207.90340909091,NA,NA,5499.89098011364,840680,NA,0.0250540123414798
"Q1 1996",17568,NA,8.77238435740659,NA,NA,2207.90340909091,NA,NA,5499.89098011364,844208,NA,0.0250540123414798
"Q2 1996",19311,NA,8.77238435740659,NA,NA,2207.90340909091,NA,NA,5499.89098011364,852904,NA,0.0250540123414798
"Q3 1996",17927,NA,8.77238435740659,NA,NA,2207.90340909091,NA,NA,5499.89098011364,864544,NA,0.0250540123414798
"Q4 1996",19061,NA,8.77238435740659,NA,NA,2207.90340909091,NA,NA,5499.89098011364,877680,NA,0.0250540123414798
"Q1 1997",21397,NA,8.77238435740659,NA,NA,2207.90340909091,NA,NA,5499.89098011364,891748,NA,0.0250540123414798
"Q2 1997",17102,NA,8.77238435740659,NA,NA,2207.90340909091,NA,NA,5499.89098011364,899412,NA,0.0250540123414798
"Q3 1997",17481,NA,8.77238435740659,NA,NA,2207.90340909091,NA,NA,5499.89098011364,912564,NA,0.0250540123414798
"Q4 1997",16974,NA,8.77238435740659,NA,NA,2207.90340909091,NA,NA,5499.89098011364,923980,NA,0.0250540123414798
"Q1 1998",15996,-25.2418563350002,8.77238435740659,18138.8333333333,-2142.83333333333,2207.90340909091,21742.71875,-5746.71875,5499.89098011364,934612,0.01711512370909,0.0250540123414798
"Q2 1998",16944,-0.923868553385569,8.77238435740659,17950.75,-1006.75,2207.90340909091,21239.0625,-4295.0625,5499.89098011364,935212,0.0181178171366492,0.0250540123414798
"Q3 1998",15834,-9.42165779989703,8.77238435740659,17637.9166666667,-1803.91666666667,2207.90340909091,20711.0625,-4877.0625,5499.89098011364,938872,0.0168649187535681,0.0250540123414798
"Q4 1998",16077,-5.28455284552845,8.77238435740659,17639.3333333333,-1562.33333333333,2207.90340909091,20198.4375,-4121.4375,5499.89098011364,953496,0.0168611090135669,0.0250540123414798
"Q1 1999",21338,33.3958489622406,8.77238435740659,17953.5,3384.5,2207.90340909091,19889.40625,1448.59375,5499.89098011364,975240,0.0218797424223781,0.0250540123414798
"Q2 1999",22517,32.8906987724268,8.77238435740659,18220.6666666667,4296.33333333333,2207.90340909091,19657.5625,2859.4375,5499.89098011364,994172,0.0226489983624564,0.0250540123414798
"Q3 1999",24157,52.5641025641026,8.77238435740659,18739.8333333333,5417.16666666667,2207.90340909091,19503.125,4653.875,5499.89098011364,1021308,0.0236530018368602,0.0250540123414798
"Q4 1999",24342,51.4088449337563,8.77238435740659,19179.9166666667,5162.08333333333,2207.90340909091,19221.78125,5120.21875,5499.89098011364,1040988,0.0233835548536583,0.0250540123414798
"Q1 2000",29715,39.2585996813197,8.77238435740659,19873.0833333333,9841.91666666667,2207.90340909091,19326.03125,10388.96875,5499.89098011364,1070188,0.0277661494989665,0.0250540123414798
"Q2 2000",31941,41.8528223120309,8.77238435740659,21109.6666666667,10831.3333333333,2207.90340909091,19422.15625,12518.84375,5499.89098011364,1099448,0.0290518514745581,0.0250540123414798
"Q3 2000",29422,21.7949248664983,8.77238435740659,22104.75,7317.25,2207.90340909091,19608.375,9813.625,5499.89098011364,1121768,0.0262282397073192,0.0250540123414798
"Q4 2000",33452,37.4250267028182,8.77238435740659,23477.9166666667,9974.08333333333,2207.90340909091,20024.21875,13427.78125,5499.89098011364,1132880,0.0295282819009957,0.0250540123414798
"Q1 2001",31150,4.82921083627797,8.77238435740659,24740.75,6409.25,2207.90340909091,20478.53125,10671.46875,5499.89098011364,1149924,0.0270887467345668,0.0250540123414798
"Q2 2001",30902,-3.25287248364171,8.77238435740659,25903.9166666667,4998.08333333333,2207.90340909091,20842.21875,10059.78125,5499.89098011364,1152860,0.0268046423676769,0.0250540123414798
"Q3 2001",30197,2.63408333899803,8.77238435740659,27100.8333333333,3096.16666666667,2207.90340909091,21190.6875,9006.3125,5499.89098011364,1138804,0.0265164154674553,0.0250540123414798
"Q4 2001",30892,-7.65275618797082,8.77238435740659,28335.4166666667,2556.58333333333,2207.90340909091,21738.625,9153.375,5499.89098011364,1136584,0.0271796893146481,0.0250540123414798
"Q1 2002",31230,0.256821829855538,8.77238435740659,29159.75,2070.25,2207.90340909091,22190.96875,9039.03125,5499.89098011364,1158640,0.0269540150521301,0.0250540123414798
