"Period","Residential Mortgages","percent_change","average","three Year Trend","Deviation From 3 Year Trend","Mean of 3 Year Trend","eight Year Trend","Deviation From 8 Year Trend","Mean of 8 Year Trend","Disposable Income","Ratio: Residential Mortgages to Disposable Income","Mean_of_Ratio"
"Q1 1969",14447,NA,6.94129375901625,NA,NA,77313.8611111111,NA,NA,202076.67485119,47792,NA,0.993496672595384
"Q2 1969",14915,NA,6.94129375901625,NA,NA,77313.8611111111,NA,NA,202076.67485119,47860,NA,0.993496672595384
"Q3 1969",15420,NA,6.94129375901625,NA,NA,77313.8611111111,NA,NA,202076.67485119,49284,NA,0.993496672595384
"Q4 1969",15895,NA,6.94129375901625,NA,NA,77313.8611111111,NA,NA,202076.67485119,50232,NA,0.993496672595384
"Q1 1970",16406,NA,6.94129375901625,NA,NA,77313.8611111111,NA,NA,202076.67485119,51532,NA,0.993496672595384
"Q2 1970",16858,NA,6.94129375901625,NA,NA,77313.8611111111,NA,NA,202076.67485119,50860,NA,0.993496672595384
"Q3 1970",17269,NA,6.94129375901625,NA,NA,77313.8611111111,NA,NA,202076.67485119,52364,NA,0.993496672595384
"Q4 1970",17754,NA,6.94129375901625,NA,NA,77313.8611111111,NA,NA,202076.67485119,53272,NA,0.993496672595384
"Q1 1971",18355,NA,6.94129375901625,NA,NA,77313.8611111111,NA,NA,202076.67485119,54748,NA,0.993496672595384
"Q2 1971",19013,NA,6.94129375901625,NA,NA,77313.8611111111,NA,NA,202076.67485119,55892,NA,0.993496672595384
"Q3 1971",19833,NA,6.94129375901625,NA,NA,77313.8611111111,NA,NA,202076.67485119,57556,NA,0.993496672595384
"Q4 1971",20715,NA,6.94129375901625,NA,NA,77313.8611111111,NA,NA,202076.67485119,59260,NA,0.993496672595384
"Q1 1972",21661,NA,6.94129375901625,NA,NA,77313.8611111111,NA,NA,202076.67485119,61736,NA,0.993496672595384
"Q2 1972",22696,NA,6.94129375901625,NA,NA,77313.8611111111,NA,NA,202076.67485119,63368,NA,0.993496672595384
"Q3 1972",23763,NA,6.94129375901625,NA,NA,77313.8611111111,NA,NA,202076.67485119,65088,NA,0.993496672595384
"Q4 1972",24921,NA,6.94129375901625,NA,NA,77313.8611111111,NA,NA,202076.67485119,68024,NA,0.993496672595384
"Q1 1973",26116,NA,6.94129375901625,NA,NA,77313.8611111111,NA,NA,202076.67485119,70212,NA,0.993496672595384
"Q2 1973",27441,NA,6.94129375901625,NA,NA,77313.8611111111,NA,NA,202076.67485119,73444,NA,0.993496672595384
"Q3 1973",29007,NA,6.94129375901625,NA,NA,77313.8611111111,NA,NA,202076.67485119,76404,NA,0.993496672595384
"Q4 1973",30497,NA,6.94129375901625,NA,NA,77313.8611111111,NA,NA,202076.67485119,80484,NA,0.993496672595384
"Q1 1974",32070,NA,6.94129375901625,NA,NA,77313.8611111111,NA,NA,202076.67485119,84168,NA,0.993496672595384
"Q2 1974",33841,NA,6.94129375901625,NA,NA,77313.8611111111,NA,NA,202076.67485119,84904,NA,0.993496672595384
