"Period","S&P 500 Composite","percent_change","average","three Year Trend","Deviation From 3 Year Trend","Mean of 3 Year Trend","eight Year Trend","Deviation From 8 Year Trend","Mean of 8 Year Trend","Gold","Ratio: S&P 500 Composite to Gold","Mean_of_Ratio"
"Q1 1970",92.06,NA,8.76651427794678,NA,NA,123.884358974359,NA,NA,302.007019230769,35.17,NA,2.21698080586708
"Q2 1970",90.07,NA,8.76651427794678,NA,NA,123.884358974359,NA,NA,302.007019230769,35.27,NA,2.21698080586708
"Q3 1970",73.04,NA,8.76651427794678,NA,NA,123.884358974359,NA,NA,302.007019230769,35.5,NA,2.21698080586708
"Q4 1970",84.32,NA,8.76651427794678,NA,NA,123.884358974359,NA,NA,302.007019230769,36.23,NA,2.21698080586708
"Q1 1971",92.15,NA,8.76651427794678,NA,NA,123.884358974359,NA,NA,302.007019230769,37.4,NA,2.21698080586708
"Q2 1971",100.39,NA,8.76651427794678,NA,NA,123.884358974359,NA,NA,302.007019230769,38.82,NA,2.21698080586708
"Q3 1971",99.78,NA,8.76651427794678,NA,NA,123.884358974359,NA,NA,302.007019230769,40.15,NA,2.21698080586708
"Q4 1971",98.93,NA,8.76651427794678,NA,NA,123.884358974359,NA,NA,302.007019230769,42.65,NA,2.21698080586708
"Q1 1972",101.67,NA,8.76651427794678,NA,NA,123.884358974359,NA,NA,302.007019230769,43.55,NA,2.21698080586708
"Q2 1972",107.48,NA,8.76651427794678,NA,NA,123.884358974359,NA,NA,302.007019230769,48.4,NA,2.21698080586708
"Q3 1972",107.49,NA,8.76651427794678,NA,NA,123.884358974359,NA,NA,302.007019230769,64,NA,2.21698080586708
"Q4 1972",110.16,NA,8.76651427794678,NA,NA,123.884358974359,NA,NA,302.007019230769,68.75,NA,2.21698080586708
"Q1 1973",118.05,NA,8.76651427794678,NA,NA,123.884358974359,NA,NA,302.007019230769,65,NA,2.21698080586708
"Q2 1973",110.18,NA,8.76651427794678,NA,NA,123.884358974359,NA,NA,302.007019230769,90.75,NA,2.21698080586708
"Q3 1973",102.9,NA,8.76651427794678,NA,NA,123.884358974359,NA,NA,302.007019230769,122,NA,2.21698080586708
"Q4 1973",108.21,NA,8.76651427794678,NA,NA,123.884358974359,NA,NA,302.007019230769,97.75,NA,2.21698080586708
"Q1 1974",97.55,NA,8.76651427794678,NA,NA,123.884358974359,NA,NA,302.007019230769,111.75,NA,2.21698080586708
"Q2 1974",93.25,NA,8.76651427794678,NA,NA,123.884358974359,NA,NA,302.007019230769,172.25,NA,2.21698080586708
"Q3 1974",86.02,NA,8.76651427794678,NA,NA,123.884358974359,NA,NA,302.007019230769,149.75,NA,2.21698080586708
"Q4 1974",63.39,NA,8.76651427794678,NA,NA,123.884358974359,NA,NA,302.007019230769,147.5,NA,2.21698080586708
"Q1 1975",68.56,NA,8.76651427794678,NA,NA,123.884358974359,NA,NA,302.007019230769,193,NA,2.21698080586708
"Q2 1975",82.64,NA,8.76651427794678,NA,NA,123.884358974359,NA,NA,302.007019230769,176.75,NA,2.21698080586708
"Q3 1975",94.85,NA,8.76651427794678,NA,NA,123.884358974359,NA,NA,302.007019230769,162.4,NA,2.21698080586708
"Q4 1975",82.93,NA,8.76651427794678,NA,NA,123.884358974359,NA,NA,302.007019230769,141.25,NA,2.21698080586708
"Q1 1976",90.19,NA,8.76651427794678,NA,NA,123.884358974359,NA,NA,302.007019230769,140.75,NA,2.21698080586708
