"Period","TSX 243 Net Income","percent_change","average","three Year Trend","Deviation From 3 Year Trend","Mean of 3 Year Trend","eight Year Trend","Deviation From 8 Year Trend","Mean of 8 Year Trend","Common Equity","Ratio: TSX 243 Net Income to Common Equity","Mean_of_Ratio"
"Q1 1981",2939058,NA,20.3661305141964,NA,NA,7295855.81570513,NA,NA,15629002.3737981,17696740,NA,0.115057566971936
"Q2 1981",3027083,NA,20.3661305141964,NA,NA,7295855.81570513,NA,NA,15629002.3737981,17996340,NA,0.115057566971936
"Q3 1981",3027083,NA,20.3661305141964,NA,NA,7295855.81570513,NA,NA,15629002.3737981,17996340,NA,0.115057566971936
"Q4 1981",3030662,NA,20.3661305141964,NA,NA,7295855.81570513,NA,NA,15629002.3737981,18079150,NA,0.115057566971936
"Q1 1982",3612973,NA,20.3661305141964,NA,NA,7295855.81570513,NA,NA,15629002.3737981,20725780,NA,0.115057566971936
"Q2 1982",3609343,NA,20.3661305141964,NA,NA,7295855.81570513,NA,NA,15629002.3737981,20926300,NA,0.115057566971936
"Q3 1982",3609343,NA,20.3661305141964,NA,NA,7295855.81570513,NA,NA,15629002.3737981,20926300,NA,0.115057566971936
"Q4 1982",3516196,NA,20.3661305141964,NA,NA,7295855.81570513,NA,NA,15629002.3737981,20873220,NA,0.115057566971936
"Q1 1983",3205261,NA,20.3661305141964,NA,NA,7295855.81570513,NA,NA,15629002.3737981,22803730,NA,0.115057566971936
"Q2 1983",3222668,NA,20.3661305141964,NA,NA,7295855.81570513,NA,NA,15629002.3737981,22829250,NA,0.115057566971936
"Q3 1983",3228324,NA,20.3661305141964,NA,NA,7295855.81570513,NA,NA,15629002.3737981,22870350,NA,0.115057566971936
"Q4 1983",3235279,NA,20.3661305141964,NA,NA,7295855.81570513,NA,NA,15629002.3737981,22859280,NA,0.115057566971936
"Q1 1984",3911660,NA,20.3661305141964,NA,NA,7295855.81570513,NA,NA,15629002.3737981,26533070,NA,0.115057566971936
"Q2 1984",3905752,NA,20.3661305141964,NA,NA,7295855.81570513,NA,NA,15629002.3737981,26732350,NA,0.115057566971936
"Q3 1984",3908569,NA,20.3661305141964,NA,NA,7295855.81570513,NA,NA,15629002.3737981,26739380,NA,0.115057566971936
"Q4 1984",3912450,NA,20.3661305141964,NA,NA,7295855.81570513,NA,NA,15629002.3737981,26809040,NA,0.115057566971936
"Q1 1985",4519539,NA,20.3661305141964,NA,NA,7295855.81570513,NA,NA,15629002.3737981,30285100,NA,0.115057566971936
"Q2 1985",4558045,NA,20.3661305141964,NA,NA,7295855.81570513,NA,NA,15629002.3737981,30325360,NA,0.115057566971936
"Q3 1985",4558145,NA,20.3661305141964,NA,NA,7295855.81570513,NA,NA,15629002.3737981,30330140,NA,0.115057566971936
"Q4 1985",4623056,NA,20.3661305141964,NA,NA,7295855.81570513,NA,NA,15629002.3737981,30480530,NA,0.115057566971936
"Q1 1986",5216118,NA,20.3661305141964,NA,NA,7295855.81570513,NA,NA,15629002.3737981,35779580,NA,0.115057566971936
"Q2 1986",5219083,NA,20.3661305141964,NA,NA,7295855.81570513,NA,NA,15629002.3737981,35945180,NA,0.115057566971936
"Q3 1986",5222860,NA,20.3661305141964,NA,NA,7295855.81570513,NA,NA,15629002.3737981,35955340,NA,0.115057566971936
"Q4 1986",5269255,NA,20.3661305141964,NA,NA,7295855.81570513,NA,NA,15629002.3737981,36056700,NA,0.115057566971936
"Q1 1987",5181949,NA,20.3661305141964,NA,NA,7295855.81570513,NA,NA,15629002.3737981,41912960,NA,0.115057566971936
"Q2 1987",5243371,NA,20.3661305141964,NA,NA,7295855.81570513,NA,NA,15629002.3737981,42161410,NA,0.115057566971936
"Q3 1987",5269461,NA,20.3661305141964,NA,NA,7295855.81570513,NA,NA,15629002.3737981,42243250,NA,0.115057566971936
"Q4 1987",5260364,NA,20.3661305141964,NA,NA,7295855.81570513,NA,NA,15629002.3737981,42548300,NA,0.115057566971936
"Q1 1988",3353343,NA,20.3661305141964,NA,NA,7295855.81570513,NA,NA,15629002.3737981,46532100,NA,0.115057566971936
"Q2 1988",3374133,NA,20.3661305141964,NA,NA,7295855.81570513,NA,NA,15629002.3737981,46800930,NA,0.115057566971936
"Q3 1988",3377262,NA,20.3661305141964,NA,NA,7295855.81570513,NA,NA,15629002.3737981,46790260,NA,0.115057566971936
"Q4 1988",3466699,NA,20.3661305141964,NA,NA,7295855.81570513,NA,NA,15629002.3737981,46535090,NA,0.115057566971936
"Q1 1989",7339910,NA,20.3661305141964,NA,NA,7295855.81570513,NA,NA,15629002.3737981,52314640,NA,0.115057566971936
"Q2 1989",7335816,NA,20.3661305141964,NA,NA,7295855.81570513,NA,NA,15629002.3737981,52360910,NA,0.115057566971936
"Q3 1989",7334927,NA,20.3661305141964,NA,NA,7295855.81570513,NA,NA,15629002.3737981,52491780,NA,0.115057566971936
"Q4 1989",7984358,NA,20.3661305141964,NA,NA,7295855.81570513,NA,NA,15629002.3737981,53255380,NA,0.115057566971936
"Q1 1990",7994926,NA,20.3661305141964,NA,NA,7295855.81570513,NA,NA,15629002.3737981,59011700,NA,0.115057566971936
"Q2 1990",7991394,NA,20.3661305141964,NA,NA,7295855.81570513,NA,NA,15629002.3737981,59356740,NA,0.115057566971936
"Q3 1990",7962544,NA,20.3661305141964,NA,NA,7295855.81570513,NA,NA,15629002.3737981,59380640,NA,0.115057566971936
"Q4 1990",7709427,NA,20.3661305141964,NA,NA,7295855.81570513,NA,NA,15629002.3737981,59206140,NA,0.115057566971936
"Q1 1991",7226200,NA,20.3661305141964,NA,NA,7295855.81570513,NA,NA,15629002.3737981,63491840,NA,0.115057566971936
"Q2 1991",7248697,NA,20.3661305141964,NA,NA,7295855.81570513,NA,NA,15629002.3737981,63725780,NA,0.115057566971936
"Q3 1991",7256361,NA,20.3661305141964,NA,NA,7295855.81570513,NA,NA,15629002.3737981,63730860,NA,0.115057566971936
"Q4 1991",7497961,NA,20.3661305141964,NA,NA,7295855.81570513,NA,NA,15629002.3737981,63784220,NA,0.115057566971936
"Q1 1992",7249859,NA,20.3661305141964,NA,NA,7295855.81570513,NA,NA,15629002.3737981,68812110,NA,0.115057566971936
"Q2 1992",7283836,NA,20.3661305141964,NA,NA,7295855.81570513,NA,NA,15629002.3737981,69192670,NA,0.115057566971936
"Q3 1992",7294022,NA,20.3661305141964,NA,NA,7295855.81570513,NA,NA,15629002.3737981,69216980,NA,0.115057566971936
"Q4 1992",7380866,NA,20.3661305141964,NA,NA,7295855.81570513,NA,NA,15629002.3737981,69627020,NA,0.115057566971936
"Q1 1993",5782323,NA,20.3661305141964,NA,NA,7295855.81570513,NA,NA,15629002.3737981,72652000,NA,0.115057566971936
"Q2 1993",5733602,NA,20.3661305141964,NA,NA,7295855.81570513,NA,NA,15629002.3737981,72968160,NA,0.115057566971936
"Q3 1993",5741146,NA,20.3661305141964,NA,NA,7295855.81570513,NA,NA,15629002.3737981,72975660,NA,0.115057566971936
"Q4 1993",5836188,NA,20.3661305141964,NA,NA,7295855.81570513,NA,NA,15629002.3737981,73581170,NA,0.115057566971936
"Q1 1994",5910430,2.21549366923985,20.3661305141964,6684607.58333333,-774177.583333333,7295855.81570513,6229142.90625,-318712.90625,15629002.3737981,78878270,0.0749310298007297,0.115057566971936
"Q2 1994",5561583,-3.00019080501228,20.3661305141964,6544014.75,-982431.75,7295855.81570513,6239846.03125,-678263.03125,15629002.3737981,79163300,0.0702545624045486,0.115057566971936
"Q3 1994",5581004,-2.7893734108138,20.3661305141964,6404401.66666667,-823397.666666667,7295855.81570513,6251038.03125,-670034.03125,15629002.3737981,79237600,0.0704337839611498,0.115057566971936
