"Period","Total Business Credit","percent_change","average","three Year Trend","Deviation From 3 Year Trend","Mean of 3 Year Trend","eight Year Trend","Deviation From 8 Year Trend","Mean of 8 Year Trend","GDP","Ratio: Total Business Credit to GDP","Mean_of_Ratio"
"Q1 1969",51761,NA,5.91467391293356,NA,NA,88278.1995192308,NA,NA,222287.810997596,83876,NA,0.765210175326671
"Q2 1969",52999,NA,5.91467391293356,NA,NA,88278.1995192308,NA,NA,222287.810997596,85564,NA,0.765210175326671
"Q3 1969",54030,NA,5.91467391293356,NA,NA,88278.1995192308,NA,NA,222287.810997596,87224,NA,0.765210175326671
"Q4 1969",54939,NA,5.91467391293356,NA,NA,88278.1995192308,NA,NA,222287.810997596,89408,NA,0.765210175326671
"Q1 1970",55226,NA,5.91467391293356,NA,NA,88278.1995192308,NA,NA,222287.810997596,91460,NA,0.765210175326671
"Q2 1970",55450,NA,5.91467391293356,NA,NA,88278.1995192308,NA,NA,222287.810997596,92284,NA,0.765210175326671
"Q3 1970",56427,NA,5.91467391293356,NA,NA,88278.1995192308,NA,NA,222287.810997596,94196,NA,0.765210175326671
"Q4 1970",57078,NA,5.91467391293356,NA,NA,88278.1995192308,NA,NA,222287.810997596,95004,NA,0.765210175326671
"Q1 1971",57890,NA,5.91467391293356,NA,NA,88278.1995192308,NA,NA,222287.810997596,96388,NA,0.765210175326671
"Q2 1971",58864,NA,5.91467391293356,NA,NA,88278.1995192308,NA,NA,222287.810997596,100420,NA,0.765210175326671
"Q3 1971",60366,NA,5.91467391293356,NA,NA,88278.1995192308,NA,NA,222287.810997596,103736,NA,0.765210175326671
"Q4 1971",61545,NA,5.91467391293356,NA,NA,88278.1995192308,NA,NA,222287.810997596,106528,NA,0.765210175326671
"Q1 1972",62745,NA,5.91467391293356,NA,NA,88278.1995192308,NA,NA,222287.810997596,108256,NA,0.765210175326671
"Q2 1972",63807,NA,5.91467391293356,NA,NA,88278.1995192308,NA,NA,222287.810997596,112364,NA,0.765210175326671
"Q3 1972",65127,NA,5.91467391293356,NA,NA,88278.1995192308,NA,NA,222287.810997596,114492,NA,0.765210175326671
"Q4 1972",66467,NA,5.91467391293356,NA,NA,88278.1995192308,NA,NA,222287.810997596,119384,NA,0.765210175326671
"Q1 1973",68093,NA,5.91467391293356,NA,NA,88278.1995192308,NA,NA,222287.810997596,124860,NA,0.765210175326671
"Q2 1973",69834,NA,5.91467391293356,NA,NA,88278.1995192308,NA,NA,222287.810997596,130152,NA,0.765210175326671
"Q3 1973",71493,NA,5.91467391293356,NA,NA,88278.1995192308,NA,NA,222287.810997596,134652,NA,0.765210175326671
"Q4 1973",74332,NA,5.91467391293356,NA,NA,88278.1995192308,NA,NA,222287.810997596,142656,NA,0.765210175326671
"Q1 1974",76324,NA,5.91467391293356,NA,NA,88278.1995192308,NA,NA,222287.810997596,149424,NA,0.765210175326671
"Q2 1974",78780,NA,5.91467391293356,NA,NA,88278.1995192308,NA,NA,222287.810997596,156088,NA,0.765210175326671
