"Period","Total Consumer Credit","percent_change","average","three Year Trend","Deviation From 3 Year Trend","Mean of 3 Year Trend","eight Year Trend","Deviation From 8 Year Trend","Mean of 8 Year Trend","GDP","Ratio: Total Consumer Credit to GDP","Mean_of_Ratio"
"Q1 1971",11085,NA,7.17037537819394,NA,NA,27522.9975961538,NA,NA,72930.0709134615,54748,NA,0.413713349622429
"Q2 1971",11552,NA,7.17037537819394,NA,NA,27522.9975961538,NA,NA,72930.0709134615,55892,NA,0.413713349622429
"Q3 1971",11890,NA,7.17037537819394,NA,NA,27522.9975961538,NA,NA,72930.0709134615,57556,NA,0.413713349622429
"Q4 1971",12686,NA,7.17037537819394,NA,NA,27522.9975961538,NA,NA,72930.0709134615,59260,NA,0.413713349622429
"Q1 1972",12746,NA,7.17037537819394,NA,NA,27522.9975961538,NA,NA,72930.0709134615,61736,NA,0.413713349622429
"Q2 1972",13512,NA,7.17037537819394,NA,NA,27522.9975961538,NA,NA,72930.0709134615,63368,NA,0.413713349622429
"Q3 1972",14042,NA,7.17037537819394,NA,NA,27522.9975961538,NA,NA,72930.0709134615,65088,NA,0.413713349622429
"Q4 1972",15038,NA,7.17037537819394,NA,NA,27522.9975961538,NA,NA,72930.0709134615,68024,NA,0.413713349622429
"Q1 1973",15337,NA,7.17037537819394,NA,NA,27522.9975961538,NA,NA,72930.0709134615,70212,NA,0.413713349622429
"Q2 1973",16462,NA,7.17037537819394,NA,NA,27522.9975961538,NA,NA,72930.0709134615,73444,NA,0.413713349622429
"Q3 1973",16991,NA,7.17037537819394,NA,NA,27522.9975961538,NA,NA,72930.0709134615,76404,NA,0.413713349622429
"Q4 1973",17869,NA,7.17037537819394,NA,NA,27522.9975961538,NA,NA,72930.0709134615,80484,NA,0.413713349622429
"Q1 1974",18306,NA,7.17037537819394,NA,NA,27522.9975961538,NA,NA,72930.0709134615,84168,NA,0.413713349622429
"Q2 1974",19405,NA,7.17037537819394,NA,NA,27522.9975961538,NA,NA,72930.0709134615,84904,NA,0.413713349622429
"Q3 1974",19877,NA,7.17037537819394,NA,NA,27522.9975961538,NA,NA,72930.0709134615,90764,NA,0.413713349622429
"Q4 1974",20918,NA,7.17037537819394,NA,NA,27522.9975961538,NA,NA,72930.0709134615,94492,NA,0.413713349622429
"Q1 1975",21115,NA,7.17037537819394,NA,NA,27522.9975961538,NA,NA,72930.0709134615,96948,NA,0.413713349622429
"Q2 1975",21999,NA,7.17037537819394,NA,NA,27522.9975961538,NA,NA,72930.0709134615,100688,NA,0.413713349622429
