"Period","Total Gross External Debt","percent_change","average","three Year Trend","Deviation From 3 Year Trend","Mean of 3 Year Trend","eight Year Trend","Deviation From 8 Year Trend","Mean of 8 Year Trend","GDP","Ratio: Total Gross External Debt to GDP","Mean_of_Ratio"
"Q1 1990",354800,NA,6.42219232453062,NA,NA,119033.269886364,NA,NA,303001.928267045,691928,NA,0.795509240361778
"Q2 1990",366316,NA,6.42219232453062,NA,NA,119033.269886364,NA,NA,303001.928267045,695624,NA,0.795509240361778
"Q3 1990",380482,NA,6.42219232453062,NA,NA,119033.269886364,NA,NA,303001.928267045,697684,NA,0.795509240361778
"Q4 1990",391165,NA,6.42219232453062,NA,NA,119033.269886364,NA,NA,303001.928267045,696768,NA,0.795509240361778
"Q1 1991",406658,NA,6.42219232453062,NA,NA,119033.269886364,NA,NA,303001.928267045,694008,NA,0.795509240361778
"Q2 1991",404373,NA,6.42219232453062,NA,NA,119033.269886364,NA,NA,303001.928267045,701572,NA,0.795509240361778
"Q3 1991",416272,NA,6.42219232453062,NA,NA,119033.269886364,NA,NA,303001.928267045,704796,NA,0.795509240361778
"Q4 1991",435980,NA,6.42219232453062,NA,NA,119033.269886364,NA,NA,303001.928267045,706716,NA,0.795509240361778
"Q1 1992",446270,NA,6.42219232453062,NA,NA,119033.269886364,NA,NA,303001.928267045,710008,NA,0.795509240361778
"Q2 1992",464795,NA,6.42219232453062,NA,NA,119033.269886364,NA,NA,303001.928267045,714744,NA,0.795509240361778
"Q3 1992",483039,NA,6.42219232453062,NA,NA,119033.269886364,NA,NA,303001.928267045,721660,NA,0.795509240361778
"Q4 1992",486147,NA,6.42219232453062,NA,NA,119033.269886364,NA,NA,303001.928267045,727332,NA,0.795509240361778
"Q1 1993",520583,NA,6.42219232453062,NA,NA,119033.269886364,NA,NA,303001.928267045,733952,NA,0.795509240361778
"Q2 1993",526531,NA,6.42219232453062,NA,NA,119033.269886364,NA,NA,303001.928267045,745360,NA,0.795509240361778
"Q3 1993",548548,NA,6.42219232453062,NA,NA,119033.269886364,NA,NA,303001.928267045,750068,NA,0.795509240361778
"Q4 1993",550414,NA,6.42219232453062,NA,NA,119033.269886364,NA,NA,303001.928267045,758768,NA,0.795509240361778
"Q1 1994",551806,NA,6.42219232453062,NA,NA,119033.269886364,NA,NA,303001.928267045,772656,NA,0.795509240361778
"Q2 1994",573879,NA,6.42219232453062,NA,NA,119033.269886364,NA,NA,303001.928267045,783660,NA,0.795509240361778
"Q3 1994",566888,NA,6.42219232453062,NA,NA,119033.269886364,NA,NA,303001.928267045,800784,NA,0.795509240361778
"Q4 1994",588986,NA,6.42219232453062,NA,NA,119033.269886364,NA,NA,303001.928267045,810788,NA,0.795509240361778
"Q1 1995",642676,NA,6.42219232453062,NA,NA,119033.269886364,NA,NA,303001.928267045,823972,NA,0.795509240361778
"Q2 1995",637186,NA,6.42219232453062,NA,NA,119033.269886364,NA,NA,303001.928267045,828856,NA,0.795509240361778
"Q3 1995",629594,NA,6.42219232453062,NA,NA,119033.269886364,NA,NA,303001.928267045,832976,NA,0.795509240361778
"Q4 1995",636063,NA,6.42219232453062,NA,NA,119033.269886364,NA,NA,303001.928267045,840680,NA,0.795509240361778
"Q1 1996",638064,NA,6.42219232453062,NA,NA,119033.269886364,NA,NA,303001.928267045,844208,NA,0.795509240361778
"Q2 1996",641406,NA,6.42219232453062,NA,NA,119033.269886364,NA,NA,303001.928267045,852904,NA,0.795509240361778
"Q3 1996",639898,NA,6.42219232453062,NA,NA,119033.269886364,NA,NA,303001.928267045,864544,NA,0.795509240361778
"Q4 1996",660819,NA,6.42219232453062,NA,NA,119033.269886364,NA,NA,303001.928267045,877680,NA,0.795509240361778
