"Period","Total Household & Business Credit","percent_change","average","three Year Trend","Deviation From 3 Year Trend","Mean of 3 Year Trend","eight Year Trend","Deviation From 8 Year Trend","Mean of 8 Year Trend","GDP","Ratio: Total Household & Business Credit to GDP","Mean_of_Ratio"
"Q1 1969",75768,NA,6.30824450374534,NA,NA,183024.836538462,NA,NA,472820.246995192,83876,NA,1.50266408021142
"Q2 1969",78150,NA,6.30824450374534,NA,NA,183024.836538462,NA,NA,472820.246995192,85564,NA,1.50266408021142
"Q3 1969",79899,NA,6.30824450374534,NA,NA,183024.836538462,NA,NA,472820.246995192,87224,NA,1.50266408021142
"Q4 1969",81573,NA,6.30824450374534,NA,NA,183024.836538462,NA,NA,472820.246995192,89408,NA,1.50266408021142
"Q1 1970",82008,NA,6.30824450374534,NA,NA,183024.836538462,NA,NA,472820.246995192,91460,NA,1.50266408021142
"Q2 1970",83043,NA,6.30824450374534,NA,NA,183024.836538462,NA,NA,472820.246995192,92284,NA,1.50266408021142
"Q3 1970",84600,NA,6.30824450374534,NA,NA,183024.836538462,NA,NA,472820.246995192,94196,NA,1.50266408021142
"Q4 1970",86041,NA,6.30824450374534,NA,NA,183024.836538462,NA,NA,472820.246995192,95004,NA,1.50266408021142
"Q1 1971",87178,NA,6.30824450374534,NA,NA,183024.836538462,NA,NA,472820.246995192,96388,NA,1.50266408021142
"Q2 1971",89487,NA,6.30824450374534,NA,NA,183024.836538462,NA,NA,472820.246995192,100420,NA,1.50266408021142
"Q3 1971",92134,NA,6.30824450374534,NA,NA,183024.836538462,NA,NA,472820.246995192,103736,NA,1.50266408021142
"Q4 1971",94803,NA,6.30824450374534,NA,NA,183024.836538462,NA,NA,472820.246995192,106528,NA,1.50266408021142
"Q1 1972",97073,NA,6.30824450374534,NA,NA,183024.836538462,NA,NA,472820.246995192,108256,NA,1.50266408021142
"Q2 1972",100096,NA,6.30824450374534,NA,NA,183024.836538462,NA,NA,472820.246995192,112364,NA,1.50266408021142
"Q3 1972",102951,NA,6.30824450374534,NA,NA,183024.836538462,NA,NA,472820.246995192,114492,NA,1.50266408021142
"Q4 1972",106209,NA,6.30824450374534,NA,NA,183024.836538462,NA,NA,472820.246995192,119384,NA,1.50266408021142
"Q1 1973",109447,NA,6.30824450374534,NA,NA,183024.836538462,NA,NA,472820.246995192,124860,NA,1.50266408021142
"Q2 1973",113853,NA,6.30824450374534,NA,NA,183024.836538462,NA,NA,472820.246995192,130152,NA,1.50266408021142
"Q3 1973",117502,NA,6.30824450374534,NA,NA,183024.836538462,NA,NA,472820.246995192,134652,NA,1.50266408021142
"Q4 1973",122412,NA,6.30824450374534,NA,NA,183024.836538462,NA,NA,472820.246995192,142656,NA,1.50266408021142
"Q1 1974",126652,NA,6.30824450374534,NA,NA,183024.836538462,NA,NA,472820.246995192,149424,NA,1.50266408021142
"Q2 1974",132193,NA,6.30824450374534,NA,NA,183024.836538462,NA,NA,472820.246995192,156088,NA,1.50266408021142
"Q3 1974",136826,NA,6.30824450374534,NA,NA,183024.836538462,NA,NA,472820.246995192,162384,NA,1.50266408021142
"Q4 1974",141520,NA,6.30824450374534,NA,NA,183024.836538462,NA,NA,472820.246995192,165328,NA,1.50266408021142
"Q1 1975",145815,NA,6.30824450374534,NA,NA,183024.836538462,NA,NA,472820.246995192,167572,NA,1.50266408021142
"Q2 1975",150988,NA,6.30824450374534,NA,NA,183024.836538462,NA,NA,472820.246995192,173748,NA,1.50266408021142
"Q3 1975",155777,NA,6.30824450374534,NA,NA,183024.836538462,NA,NA,472820.246995192,182328,NA,1.50266408021142
"Q4 1975",161085,NA,6.30824450374534,NA,NA,183024.836538462,NA,NA,472820.246995192,188532,NA,1.50266408021142
"Q1 1976",166471,NA,6.30824450374534,NA,NA,183024.836538462,NA,NA,472820.246995192,196288,NA,1.50266408021142
"Q2 1976",172626,NA,6.30824450374534,NA,NA,183024.836538462,NA,NA,472820.246995192,206268,NA,1.50266408021142
"Q3 1976",178378,NA,6.30824450374534,NA,NA,183024.836538462,NA,NA,472820.246995192,208464,NA,1.50266408021142
"Q4 1976",184662,NA,6.30824450374534,NA,NA,183024.836538462,NA,NA,472820.246995192,213008,NA,1.50266408021142
"Q1 1977",191518,NA,6.30824450374534,NA,NA,183024.836538462,NA,NA,472820.246995192,219892,NA,1.50266408021142
"Q2 1977",199319,NA,6.30824450374534,NA,NA,183024.836538462,NA,NA,472820.246995192,224772,NA,1.50266408021142
"Q3 1977",206246,NA,6.30824450374534,NA,NA,183024.836538462,NA,NA,472820.246995192,229704,NA,1.50266408021142
"Q4 1977",212980,NA,6.30824450374534,NA,NA,183024.836538462,NA,NA,472820.246995192,235948,NA,1.50266408021142
"Q1 1978",221039,NA,6.30824450374534,NA,NA,183024.836538462,NA,NA,472820.246995192,241296,NA,1.50266408021142
"Q2 1978",228462,NA,6.30824450374534,NA,NA,183024.836538462,NA,NA,472820.246995192,248648,NA,1.50266408021142
"Q3 1978",236341,NA,6.30824450374534,NA,NA,183024.836538462,NA,NA,472820.246995192,255176,NA,1.50266408021142
"Q4 1978",247865,NA,6.30824450374534,NA,NA,183024.836538462,NA,NA,472820.246995192,263056,NA,1.50266408021142
"Q1 1979",257493,NA,6.30824450374534,NA,NA,183024.836538462,NA,NA,472820.246995192,271352,NA,1.50266408021142
"Q2 1979",267745,NA,6.30824450374534,NA,NA,183024.836538462,NA,NA,472820.246995192,284116,NA,1.50266408021142
"Q3 1979",278921,NA,6.30824450374534,NA,NA,183024.836538462,NA,NA,472820.246995192,292900,NA,1.50266408021142
"Q4 1979",288345,NA,6.30824450374534,NA,NA,183024.836538462,NA,NA,472820.246995192,301924,NA,1.50266408021142
"Q1 1980",297545,NA,6.30824450374534,NA,NA,183024.836538462,NA,NA,472820.246995192,309756,NA,1.50266408021142
"Q2 1980",308020,NA,6.30824450374534,NA,NA,183024.836538462,NA,NA,472820.246995192,317208,NA,1.50266408021142
"Q3 1980",315513,NA,6.30824450374534,NA,NA,183024.836538462,NA,NA,472820.246995192,324720,NA,1.50266408021142
"Q4 1980",327032,NA,6.30824450374534,NA,NA,183024.836538462,NA,NA,472820.246995192,339304,NA,1.50266408021142
"Q1 1981",340155,NA,6.30824450374534,NA,NA,183024.836538462,NA,NA,472820.246995192,355992,NA,1.50266408021142
"Q2 1981",358574,NA,6.30824450374534,NA,NA,183024.836538462,NA,NA,472820.246995192,367992,NA,1.50266408021142
"Q3 1981",376969,NA,6.30824450374534,NA,NA,183024.836538462,NA,NA,472820.246995192,372820,NA,1.50266408021142
"Q4 1981",386478,NA,6.30824450374534,NA,NA,183024.836538462,NA,NA,472820.246995192,376628,NA,1.50266408021142
"Q1 1982",396966,NA,6.30824450374534,NA,NA,183024.836538462,NA,NA,472820.246995192,383004,NA,1.50266408021142
"Q2 1982",403183,NA,6.30824450374534,NA,NA,183024.836538462,NA,NA,472820.246995192,386516,NA,1.50266408021142
"Q3 1982",404863,NA,6.30824450374534,NA,NA,183024.836538462,NA,NA,472820.246995192,389560,NA,1.50266408021142
"Q4 1982",404774,NA,6.30824450374534,NA,NA,183024.836538462,NA,NA,472820.246995192,393644,NA,1.50266408021142
"Q1 1983",406671,NA,6.30824450374534,NA,NA,183024.836538462,NA,NA,472820.246995192,403236,NA,1.50266408021142
"Q2 1983",409113,NA,6.30824450374534,NA,NA,183024.836538462,NA,NA,472820.246995192,415804,NA,1.50266408021142
"Q3 1983",414011,NA,6.30824450374534,NA,NA,183024.836538462,NA,NA,472820.246995192,428960,NA,1.50266408021142
"Q4 1983",418845,NA,6.30824450374534,NA,NA,183024.836538462,NA,NA,472820.246995192,437264,NA,1.50266408021142
"Q1 1984",429697,NA,6.30824450374534,NA,NA,183024.836538462,NA,NA,472820.246995192,447840,NA,1.50266408021142
"Q2 1984",438135,NA,6.30824450374534,NA,NA,183024.836538462,NA,NA,472820.246995192,459552,NA,1.50266408021142
"Q3 1984",444262,NA,6.30824450374534,NA,NA,183024.836538462,NA,NA,472820.246995192,465180,NA,1.50266408021142
"Q4 1984",449830,NA,6.30824450374534,NA,NA,183024.836538462,NA,NA,472820.246995192,475372,NA,1.50266408021142
"Q1 1985",462254,NA,6.30824450374534,NA,NA,183024.836538462,NA,NA,472820.246995192,486096,NA,1.50266408021142
"Q2 1985",470129,NA,6.30824450374534,NA,NA,183024.836538462,NA,NA,472820.246995192,495352,NA,1.50266408021142
"Q3 1985",484512,NA,6.30824450374534,NA,NA,183024.836538462,NA,NA,472820.246995192,503872,NA,1.50266408021142
