"Period","Total Household Credit","percent_change","average","three Year Trend","Deviation From 3 Year Trend","Mean of 3 Year Trend","eight Year Trend","Deviation From 8 Year Trend","Mean of 8 Year Trend","Disposable Income","Ratio: Total Household Credit to Disposable Income","Mean_of_Ratio"
"Q1 1969",24127,NA,6.78348274075884,NA,NA,94758.0120192308,NA,NA,250590.173076923,47792,NA,1.35429011686757
"Q2 1969",25079,NA,6.78348274075884,NA,NA,94758.0120192308,NA,NA,250590.173076923,47860,NA,1.35429011686757
"Q3 1969",25809,NA,6.78348274075884,NA,NA,94758.0120192308,NA,NA,250590.173076923,49284,NA,1.35429011686757
"Q4 1969",26746,NA,6.78348274075884,NA,NA,94758.0120192308,NA,NA,250590.173076923,50232,NA,1.35429011686757
"Q1 1970",26840,NA,6.78348274075884,NA,NA,94758.0120192308,NA,NA,250590.173076923,51532,NA,1.35429011686757
"Q2 1970",27511,NA,6.78348274075884,NA,NA,94758.0120192308,NA,NA,250590.173076923,50860,NA,1.35429011686757
"Q3 1970",28135,NA,6.78348274075884,NA,NA,94758.0120192308,NA,NA,250590.173076923,52364,NA,1.35429011686757
"Q4 1970",29105,NA,6.78348274075884,NA,NA,94758.0120192308,NA,NA,250590.173076923,53272,NA,1.35429011686757
"Q1 1971",29389,NA,6.78348274075884,NA,NA,94758.0120192308,NA,NA,250590.173076923,54748,NA,1.35429011686757
"Q2 1971",30522,NA,6.78348274075884,NA,NA,94758.0120192308,NA,NA,250590.173076923,55892,NA,1.35429011686757
"Q3 1971",31767,NA,6.78348274075884,NA,NA,94758.0120192308,NA,NA,250590.173076923,57556,NA,1.35429011686757
"Q4 1971",33461,NA,6.78348274075884,NA,NA,94758.0120192308,NA,NA,250590.173076923,59260,NA,1.35429011686757
"Q1 1972",34337,NA,6.78348274075884,NA,NA,94758.0120192308,NA,NA,250590.173076923,61736,NA,1.35429011686757
"Q2 1972",36157,NA,6.78348274075884,NA,NA,94758.0120192308,NA,NA,250590.173076923,63368,NA,1.35429011686757
"Q3 1972",37868,NA,6.78348274075884,NA,NA,94758.0120192308,NA,NA,250590.173076923,65088,NA,1.35429011686757
"Q4 1972",40035,NA,6.78348274075884,NA,NA,94758.0120192308,NA,NA,250590.173076923,68024,NA,1.35429011686757
"Q1 1973",41353,NA,6.78348274075884,NA,NA,94758.0120192308,NA,NA,250590.173076923,70212,NA,1.35429011686757
"Q2 1973",43844,NA,6.78348274075884,NA,NA,94758.0120192308,NA,NA,250590.173076923,73444,NA,1.35429011686757
"Q3 1973",46085,NA,6.78348274075884,NA,NA,94758.0120192308,NA,NA,250590.173076923,76404,NA,1.35429011686757
"Q4 1973",48464,NA,6.78348274075884,NA,NA,94758.0120192308,NA,NA,250590.173076923,80484,NA,1.35429011686757
"Q1 1974",50234,NA,6.78348274075884,NA,NA,94758.0120192308,NA,NA,250590.173076923,84168,NA,1.35429011686757
"Q2 1974",53171,NA,6.78348274075884,NA,NA,94758.0120192308,NA,NA,250590.173076923,84904,NA,1.35429011686757
"Q3 1974",55210,NA,6.78348274075884,NA,NA,94758.0120192308,NA,NA,250590.173076923,90764,NA,1.35429011686757
"Q4 1974",57413,NA,6.78348274075884,NA,NA,94758.0120192308,NA,NA,250590.173076923,94492,NA,1.35429011686757
"Q1 1975",58673,NA,6.78348274075884,NA,NA,94758.0120192308,NA,NA,250590.173076923,96948,NA,1.35429011686757
"Q2 1975",61290,NA,6.78348274075884,NA,NA,94758.0120192308,NA,NA,250590.173076923,100688,NA,1.35429011686757
"Q3 1975",64197,NA,6.78348274075884,NA,NA,94758.0120192308,NA,NA,250590.173076923,105628,NA,1.35429011686757
"Q4 1975",67485,NA,6.78348274075884,NA,NA,94758.0120192308,NA,NA,250590.173076923,108216,NA,1.35429011686757
"Q1 1976",69115,NA,6.78348274075884,NA,NA,94758.0120192308,NA,NA,250590.173076923,110864,NA,1.35429011686757
"Q2 1976",72448,NA,6.78348274075884,NA,NA,94758.0120192308,NA,NA,250590.173076923,116596,NA,1.35429011686757
"Q3 1976",75702,NA,6.78348274075884,NA,NA,94758.0120192308,NA,NA,250590.173076923,114788,NA,1.35429011686757
"Q4 1976",79554,NA,6.78348274075884,NA,NA,94758.0120192308,NA,NA,250590.173076923,120168,NA,1.35429011686757
"Q1 1977",82155,NA,6.78348274075884,NA,NA,94758.0120192308,NA,NA,250590.173076923,121880,NA,1.35429011686757
"Q2 1977",86310,NA,6.78348274075884,NA,NA,94758.0120192308,NA,NA,250590.173076923,126976,NA,1.35429011686757
"Q3 1977",90638,NA,6.78348274075884,NA,NA,94758.0120192308,NA,NA,250590.173076923,128156,NA,1.35429011686757
"Q4 1977",94690,NA,6.78348274075884,NA,NA,94758.0120192308,NA,NA,250590.173076923,132176,NA,1.35429011686757
"Q1 1978",97294,NA,6.78348274075884,NA,NA,94758.0120192308,NA,NA,250590.173076923,139480,NA,1.35429011686757
"Q2 1978",101485,NA,6.78348274075884,NA,NA,94758.0120192308,NA,NA,250590.173076923,141024,NA,1.35429011686757
"Q3 1978",105956,NA,6.78348274075884,NA,NA,94758.0120192308,NA,NA,250590.173076923,143808,NA,1.35429011686757
"Q4 1978",110754,NA,6.78348274075884,NA,NA,94758.0120192308,NA,NA,250590.173076923,148396,NA,1.35429011686757
"Q1 1979",113334,NA,6.78348274075884,NA,NA,94758.0120192308,NA,NA,250590.173076923,151656,NA,1.35429011686757
"Q2 1979",118172,NA,6.78348274075884,NA,NA,94758.0120192308,NA,NA,250590.173076923,159628,NA,1.35429011686757
"Q3 1979",123425,NA,6.78348274075884,NA,NA,94758.0120192308,NA,NA,250590.173076923,161596,NA,1.35429011686757
"Q4 1979",127075,NA,6.78348274075884,NA,NA,94758.0120192308,NA,NA,250590.173076923,167800,NA,1.35429011686757
"Q1 1980",128896,NA,6.78348274075884,NA,NA,94758.0120192308,NA,NA,250590.173076923,171932,NA,1.35429011686757
"Q2 1980",131508,NA,6.78348274075884,NA,NA,94758.0120192308,NA,NA,250590.173076923,177336,NA,1.35429011686757
"Q3 1980",134479,NA,6.78348274075884,NA,NA,94758.0120192308,NA,NA,250590.173076923,183164,NA,1.35429011686757
"Q4 1980",138953,NA,6.78348274075884,NA,NA,94758.0120192308,NA,NA,250590.173076923,191896,NA,1.35429011686757
"Q1 1981",140498,NA,6.78348274075884,NA,NA,94758.0120192308,NA,NA,250590.173076923,201268,NA,1.35429011686757
"Q2 1981",143439,NA,6.78348274075884,NA,NA,94758.0120192308,NA,NA,250590.173076923,207200,NA,1.35429011686757
"Q3 1981",145686,NA,6.78348274075884,NA,NA,94758.0120192308,NA,NA,250590.173076923,212212,NA,1.35429011686757
"Q4 1981",144608,NA,6.78348274075884,NA,NA,94758.0120192308,NA,NA,250590.173076923,218892,NA,1.35429011686757
"Q1 1982",144229,NA,6.78348274075884,NA,NA,94758.0120192308,NA,NA,250590.173076923,227216,NA,1.35429011686757
"Q2 1982",143714,NA,6.78348274075884,NA,NA,94758.0120192308,NA,NA,250590.173076923,230392,NA,1.35429011686757
"Q3 1982",142625,NA,6.78348274075884,NA,NA,94758.0120192308,NA,NA,250590.173076923,234636,NA,1.35429011686757
"Q4 1982",144010,NA,6.78348274075884,NA,NA,94758.0120192308,NA,NA,250590.173076923,231684,NA,1.35429011686757
"Q1 1983",144194,NA,6.78348274075884,NA,NA,94758.0120192308,NA,NA,250590.173076923,233724,NA,1.35429011686757
"Q2 1983",147356,NA,6.78348274075884,NA,NA,94758.0120192308,NA,NA,250590.173076923,236040,NA,1.35429011686757
"Q3 1983",150586,NA,6.78348274075884,NA,NA,94758.0120192308,NA,NA,250590.173076923,253880,NA,1.35429011686757
"Q4 1983",154234,NA,6.78348274075884,NA,NA,94758.0120192308,NA,NA,250590.173076923,252176,NA,1.35429011686757
"Q1 1984",155872,NA,6.78348274075884,NA,NA,94758.0120192308,NA,NA,250590.173076923,252420,NA,1.35429011686757
"Q2 1984",159581,NA,6.78348274075884,NA,NA,94758.0120192308,NA,NA,250590.173076923,263432,NA,1.35429011686757
"Q3 1984",161663,NA,6.78348274075884,NA,NA,94758.0120192308,NA,NA,250590.173076923,268496,NA,1.35429011686757
"Q4 1984",165148,NA,6.78348274075884,NA,NA,94758.0120192308,NA,NA,250590.173076923,273244,NA,1.35429011686757
"Q1 1985",167033,NA,6.78348274075884,NA,NA,94758.0120192308,NA,NA,250590.173076923,277252,NA,1.35429011686757
"Q2 1985",171019,NA,6.78348274075884,NA,NA,94758.0120192308,NA,NA,250590.173076923,290440,NA,1.35429011686757
"Q3 1985",176267,NA,6.78348274075884,NA,NA,94758.0120192308,NA,NA,250590.173076923,292288,NA,1.35429011686757
"Q4 1985",183734,NA,6.78348274075884,NA,NA,94758.0120192308,NA,NA,250590.173076923,296528,NA,1.35429011686757
"Q1 1986",186969,NA,6.78348274075884,NA,NA,94758.0120192308,NA,NA,250590.173076923,300288,NA,1.35429011686757
"Q2 1986",191958,NA,6.78348274075884,NA,NA,94758.0120192308,NA,NA,250590.173076923,306380,NA,1.35429011686757
"Q3 1986",199925,NA,6.78348274075884,NA,NA,94758.0120192308,NA,NA,250590.173076923,307272,NA,1.35429011686757
"Q4 1986",206879,NA,6.78348274075884,NA,NA,94758.0120192308,NA,NA,250590.173076923,310016,NA,1.35429011686757
"Q1 1987",211976,NA,6.78348274075884,NA,NA,94758.0120192308,NA,NA,250590.173076923,318708,NA,1.35429011686757
"Q2 1987",222589,NA,6.78348274075884,NA,NA,94758.0120192308,NA,NA,250590.173076923,319140,NA,1.35429011686757
"Q3 1987",232124,NA,6.78348274075884,NA,NA,94758.0120192308,NA,NA,250590.173076923,333012,NA,1.35429011686757
"Q4 1987",241879,NA,6.78348274075884,NA,NA,94758.0120192308,NA,NA,250590.173076923,334768,NA,1.35429011686757
"Q1 1988",249452,NA,6.78348274075884,NA,NA,94758.0120192308,NA,NA,250590.173076923,336484,NA,1.35429011686757
"Q2 1988",261001,NA,6.78348274075884,NA,NA,94758.0120192308,NA,NA,250590.173076923,348876,NA,1.35429011686757
"Q3 1988",272601,NA,6.78348274075884,NA,NA,94758.0120192308,NA,NA,250590.173076923,362460,NA,1.35429011686757
"Q4 1988",281365,NA,6.78348274075884,NA,NA,94758.0120192308,NA,NA,250590.173076923,372548,NA,1.35429011686757
"Q1 1989",288657,NA,6.78348274075884,NA,NA,94758.0120192308,NA,NA,250590.173076923,379608,NA,1.35429011686757
"Q2 1989",298792,NA,6.78348274075884,NA,NA,94758.0120192308,NA,NA,250590.173076923,391460,NA,1.35429011686757
"Q3 1989",309945,NA,6.78348274075884,NA,NA,94758.0120192308,NA,NA,250590.173076923,386860,NA,1.35429011686757
"Q4 1989",322573,NA,6.78348274075884,NA,NA,94758.0120192308,NA,NA,250590.173076923,391912,NA,1.35429011686757
