"Period","WTI Crude Oil","percent_change","average","three Year Trend","Deviation From 3 Year Trend","Mean of 3 Year Trend","eight Year Trend","Deviation From 8 Year Trend","Mean of 8 Year Trend","GDP Price Deflator","Ratio: WTI Crude Oil to GDP Price Deflator","Mean_of_Ratio"
"Q1 1984",29.65,NA,9.33180124034466,NA,NA,2.08451923076923,NA,NA,5.963359375,49.9,NA,0.558257416459237
"Q2 1984",30.75,NA,9.33180124034466,NA,NA,2.08451923076923,NA,NA,5.963359375,50.2,NA,0.558257416459237
"Q3 1984",29.6,NA,9.33180124034466,NA,NA,2.08451923076923,NA,NA,5.963359375,50.6,NA,0.558257416459237
"Q4 1984",29.65,NA,9.33180124034466,NA,NA,2.08451923076923,NA,NA,5.963359375,50.9,NA,0.558257416459237
"Q1 1985",26.4,NA,9.33180124034466,NA,NA,2.08451923076923,NA,NA,5.963359375,51.3,NA,0.558257416459237
"Q2 1985",28.7,NA,9.33180124034466,NA,NA,2.08451923076923,NA,NA,5.963359375,52.1,NA,0.558257416459237
"Q3 1985",26.7,NA,9.33180124034466,NA,NA,2.08451923076923,NA,NA,5.963359375,52.3,NA,0.558257416459237
"Q4 1985",29.05,NA,9.33180124034466,NA,NA,2.08451923076923,NA,NA,5.963359375,52.6,NA,0.558257416459237
"Q1 1986",26.3,NA,9.33180124034466,NA,NA,2.08451923076923,NA,NA,5.963359375,53,NA,0.558257416459237
"Q2 1986",11.3,NA,9.33180124034466,NA,NA,2.08451923076923,NA,NA,5.963359375,53.3,NA,0.558257416459237
"Q3 1986",12.4,NA,9.33180124034466,NA,NA,2.08451923076923,NA,NA,5.963359375,53.9,NA,0.558257416459237
"Q4 1986",15.15,NA,9.33180124034466,NA,NA,2.08451923076923,NA,NA,5.963359375,54.6,NA,0.558257416459237
"Q1 1987",17.95,NA,9.33180124034466,NA,NA,2.08451923076923,NA,NA,5.963359375,55.3,NA,0.558257416459237
"Q2 1987",18.8,NA,9.33180124034466,NA,NA,2.08451923076923,NA,NA,5.963359375,56,NA,0.558257416459237
"Q3 1987",20.5,NA,9.33180124034466,NA,NA,2.08451923076923,NA,NA,5.963359375,56.6,NA,0.558257416459237
"Q4 1987",19.62,NA,9.33180124034466,NA,NA,2.08451923076923,NA,NA,5.963359375,57.2,NA,0.558257416459237
"Q1 1988",16.7,NA,9.33180124034466,NA,NA,2.08451923076923,NA,NA,5.963359375,57.8,NA,0.558257416459237
"Q2 1988",17.08,NA,9.33180124034466,NA,NA,2.08451923076923,NA,NA,5.963359375,58.3,NA,0.558257416459237
"Q3 1988",14.94,NA,9.33180124034466,NA,NA,2.08451923076923,NA,NA,5.963359375,59.2,NA,0.558257416459237
"Q4 1988",13.05,NA,9.33180124034466,NA,NA,2.08451923076923,NA,NA,5.963359375,60,NA,0.558257416459237
"Q1 1989",17.25,NA,9.33180124034466,NA,NA,2.08451923076923,NA,NA,5.963359375,60.4,NA,0.558257416459237
"Q2 1989",19.95,NA,9.33180124034466,NA,NA,2.08451923076923,NA,NA,5.963359375,61.4,NA,0.558257416459237
"Q3 1989",20.27,NA,9.33180124034466,NA,NA,2.08451923076923,NA,NA,5.963359375,62.1,NA,0.558257416459237
"Q4 1989",20,NA,9.33180124034466,NA,NA,2.08451923076923,NA,NA,5.963359375,62.4,NA,0.558257416459237
"Q1 1990",21.8,NA,9.33180124034466,NA,NA,2.08451923076923,NA,NA,5.963359375,62.8,NA,0.558257416459237
"Q2 1990",20.48,NA,9.33180124034466,NA,NA,2.08451923076923,NA,NA,5.963359375,63.4,NA,0.558257416459237
"Q3 1990",17.02,NA,9.33180124034466,NA,NA,2.08451923076923,NA,NA,5.963359375,64,NA,0.558257416459237
"Q4 1990",37.05,NA,9.33180124034466,NA,NA,2.08451923076923,NA,NA,5.963359375,64.5,NA,0.558257416459237
"Q1 1991",28.44,NA,9.33180124034466,NA,NA,2.08451923076923,NA,NA,5.963359375,65.2,NA,0.558257416459237
"Q2 1991",19.29,NA,9.33180124034466,NA,NA,2.08451923076923,NA,NA,5.963359375,65.6,NA,0.558257416459237
"Q3 1991",20.76,NA,9.33180124034466,NA,NA,2.08451923076923,NA,NA,5.963359375,65.8,NA,0.558257416459237
"Q4 1991",22.06,NA,9.33180124034466,NA,NA,2.08451923076923,NA,NA,5.963359375,65.9,NA,0.558257416459237
"Q1 1992",19.1,NA,9.33180124034466,NA,NA,2.08451923076923,NA,NA,5.963359375,66.1,NA,0.558257416459237
"Q2 1992",19.84,NA,9.33180124034466,NA,NA,2.08451923076923,NA,NA,5.963359375,66.5,NA,0.558257416459237
"Q3 1992",21.88,NA,9.33180124034466,NA,NA,2.08451923076923,NA,NA,5.963359375,66.8,NA,0.558257416459237
"Q4 1992",21.79,NA,9.33180124034466,NA,NA,2.08451923076923,NA,NA,5.963359375,66.9,NA,0.558257416459237
"Q1 1993",19.5,NA,9.33180124034466,NA,NA,2.08451923076923,NA,NA,5.963359375,67.1,NA,0.558257416459237
"Q2 1993",20.54,NA,9.33180124034466,NA,NA,2.08451923076923,NA,NA,5.963359375,67.5,NA,0.558257416459237
"Q3 1993",18.45,NA,9.33180124034466,NA,NA,2.08451923076923,NA,NA,5.963359375,67.3,NA,0.558257416459237
"Q4 1993",18.61,NA,9.33180124034466,NA,NA,2.08451923076923,NA,NA,5.963359375,67.8,NA,0.558257416459237
"Q1 1994",14.56,-25.3333333333333,9.33180124034466,19.6983333333333,-5.13833333333333,2.08451923076923,19.2540625,-4.6940625,5.963359375,68,0.214117647058824,0.558257416459237
"Q2 1994",14.79,-27.9941577409932,9.33180124034466,19.3233333333333,-4.53333333333333,2.08451923076923,19.363125,-4.573125,5.963359375,68,0.2175,0.558257416459237
"Q3 1994",19.37,4.98644986449865,9.33180124034466,19.2075,0.162500000000001,2.08451923076923,19.5809375,-0.2109375,5.963359375,68.6,0.282361516034985,0.558257416459237
"Q4 1994",18.19,-2.25685115529284,9.33180124034466,18.885,-0.695,2.08451923076923,19.6759375,-1.4859375,5.963359375,69,0.263623188405797,0.558257416459237
"Q1 1995",17.76,21.978021978022,9.33180124034466,18.7733333333333,-1.01333333333333,2.08451923076923,19.67,-1.91,5.963359375,69.5,0.255539568345324,0.558257416459237
"Q2 1995",19,28.4651791751183,9.33180124034466,18.7033333333333,0.296666666666667,2.08451923076923,19.67625,-0.67625,5.963359375,69.8,0.272206303724928,0.558257416459237
"Q3 1995",17.48,-9.75735673722251,9.33180124034466,18.3366666666667,-0.856666666666666,2.08451923076923,19.581875,-2.101875,5.963359375,70.1,0.249358059914408,0.558257416459237
"Q4 1995",17.63,-3.07861462341947,9.33180124034466,17.99,-0.359999999999999,2.08451923076923,19.5196875,-1.8896875,5.963359375,70.5,0.250070921985816,0.558257416459237
"Q1 1996",19.58,10.2477477477477,9.33180124034466,17.9966666666667,1.58333333333333,2.08451923076923,19.6096875,-0.0296875000000014,5.963359375,70.7,0.276944837340877,0.558257416459237
"Q2 1996",22.28,17.2631578947368,9.33180124034466,18.1416666666667,4.13833333333334,2.08451923076923,19.7721875,2.5078125,5.963359375,70.9,0.314245416078984,0.558257416459237
"Q3 1996",21.53,23.1693363844394,9.33180124034466,18.3983333333333,3.13166666666667,2.08451923076923,19.978125,1.551875,5.963359375,71.3,0.301963534361851,0.558257416459237
"Q4 1996",24.13,36.8689733408962,9.33180124034466,18.8583333333333,5.27166666666666,2.08451923076923,20.324375,3.805625,5.963359375,71.8,0.336072423398329,0.558257416459237
"Q1 1997",25.93,32.4310520939734,9.33180124034466,19.8058333333333,6.12416666666667,2.08451923076923,20.595625,5.334375,5.963359375,72,0.360138888888889,0.558257416459237
"Q2 1997",20.28,-8.97666068222621,9.33180124034466,20.2633333333333,0.0166666666666657,2.08451923076923,20.6059375,-0.325937499999998,5.963359375,71.8,0.282451253481894,0.558257416459237
"Q3 1997",20.13,-6.50255457501162,9.33180124034466,20.3266666666667,-0.196666666666669,2.08451923076923,20.6015625,-0.471562500000001,5.963359375,72,0.279583333333333,0.558257416459237
